"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Text_f"
56,25.7,25.7,74.3,"Embrach ZH","Embrach (ZH)","Embrach ZH","Les habitants d'Embrach rejettent une augmentation du taux de TVA pour couvrir les besoins financiers de l'AVS avec 74,3 pour cent de non. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 56,4 pour cent de non. Les citoyens d'Embrach avaient déjà refusé la précédente révision de l'AVS en 2017."
57,33.1,33.1,66.9,"Freienstein-Teufen ZH","Freienstein-Teufen (ZH)","Freienstein-Teufen ZH","Les habitants de Freienstein-Teufen s'opposent à une augmentation du taux de TVA pour couvrir les besoins financiers de l'AVS avec 66,9 pour cent de non. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 57,3 pour cent de non. Les citoyens de Freienstein-Teufen avaient déjà refusé la précédente révision de l'AVS en 2017."
58,80.8,80.8,19.2,"Glattfelden ZH","Glattfelden (ZH)","Glattfelden ZH","A Glattfelden, les habitants disent oui à 80,8 pour cent à une augmentation du taux de TVA pour financer la réforme de l'AVS. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 95,1 pour cent de non. Les citoyens de Glattfelden avaient déjà refusé la précédente révision de l'AVS en 2017."
59,72.1,72.1,27.9,"Hochfelden ZH","Hochfelden (ZH)","Hochfelden ZH","A Hochfelden, les habitants disent oui à 72,1 pour cent à une augmentation du taux de TVA pour financer la réforme de l'AVS. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée avec 91,8 pour cent des voix. Dans le camp du non en 2017 lors de la précédente révision de l'AVS, Hochfelden passe cette fois-ci du côté du oui."
60,59.8,59.8,40.2,"Höri ZH","Höri (ZH)","Höri ZH","A Höri, les habitants disent oui à 59,8 pour cent à une augmentation du taux de TVA pour financer la réforme de l'AVS. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée avec 53,2 pour cent des voix. Dans le camp du non en 2017 lors de la précédente révision de l'AVS, Höri passe cette fois-ci du côté du oui."
61,43.5,43.5,56.5,"Hüntwangen ZH","Hüntwangen (ZH)","Hüntwangen ZH","A Hüntwangen, les habitants sont défavorables à une augmentation du taux de TVA pour couvrir les besoins financiers de l'AVS avec 56,5 pour cent de non. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 71,5 pour cent de non. Les citoyens de Hüntwangen avaient déjà refusé la précédente révision de l'AVS en 2017."
62,46.7,46.7,53.3,"Kloten ZH","Kloten (ZH)","Kloten ZH","A Kloten, les habitants sont défavorables à une augmentation du taux de TVA pour couvrir les besoins financiers de l'AVS avec 53,3 pour cent de non. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 98,4 pour cent de non. Les citoyens de Kloten avaient déjà refusé la précédente révision de l'AVS en 2017."
63,56.7,56.7,43.3,"Lufingen ZH","Lufingen (ZH)","Lufingen ZH","A Lufingen, les habitants disent oui à 56,7 pour cent à une augmentation du taux de TVA pour financer la réforme de l'AVS. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée avec 69 pour cent des voix. Dans le camp du non en 2017 lors de la précédente révision de l'AVS, Lufingen passe cette fois-ci du côté du oui."
64,31.8,31.8,68.2,"Nürensdorf ZH","Nürensdorf (ZH)","Nürensdorf ZH","A Nürensdorf, les habitants sont défavorables à une augmentation du taux de TVA pour couvrir les besoins financiers de l'AVS avec 68,2 pour cent de non. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 53,7 pour cent de non. Les citoyens de Nürensdorf avaient déjà refusé la précédente révision de l'AVS en 2017."
65,84.3,84.3,15.7,"Oberembrach ZH","Oberembrach (ZH)","Oberembrach ZH","Une augmentation du taux de TVA pour couvrir les besoins financiers de l'AVS passe la rampe à Oberembrach avec 84,3 pour cent des voix. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 89 pour cent de non. Les citoyens d'Oberembrach avaient déjà refusé la précédente révision de l'AVS en 2017."
66,23.7,23.7,76.3,"Opfikon ZH","Opfikon (ZH)","Opfikon ZH","C'est non à 76,3 pour cent à une augmentation du taux de TVA pour couvrir les besoins financiers de l'AVS à Opfikon. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 51 pour cent de non. Les citoyens d'Opfikon avaient déjà refusé la précédente révision de l'AVS en 2017."
67,86.2,86.2,13.8,"Rafz ZH","Rafz (ZH)","Rafz ZH","Les électeurs de Rafz valident une hausse du taux de TVA pour couvrir les besoins financiers de l'AVS avec 86,2 pour cent des suffrages. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée avec 73 pour cent des voix. Dans le camp du non en 2017 lors de la précédente révision de l'AVS, Rafz passe cette fois-ci du côté du oui."
68,27.8,27.8,72.2,"Rorbas ZH","Rorbas (ZH)","Rorbas ZH","A Rorbas, les habitants sont défavorables à une augmentation du taux de TVA pour couvrir les besoins financiers de l'AVS avec 72,2 pour cent de non. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 79,8 pour cent de non. Les citoyens de Rorbas avaient déjà refusé la précédente révision de l'AVS en 2017."
69,4.4,4.4,95.6,"Wallisellen ZH","Wallisellen (ZH)","Wallisellen ZH","Les habitants de Wallisellen rejettent une augmentation du taux de TVA pour couvrir les besoins financiers de l'AVS avec 95,6 pour cent de non. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 62,3 pour cent de non. Les citoyens de Wallisellen avaient déjà refusé la précédente révision de l'AVS en 2017."
70,75.7,75.7,24.3,"Wasterkingen ZH","Wasterkingen (ZH)","Wasterkingen ZH","A Wasterkingen, les habitants disent oui à 75,7 pour cent à une augmentation du taux de TVA pour financer la réforme de l'AVS. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée avec 59,4 pour cent des voix. Dans le camp du non en 2017 lors de la précédente révision de l'AVS, Wasterkingen passe cette fois-ci du côté du oui."
71,41.7,41.7,58.3,"Wil ZH","Wil (ZH)","Wil ZH ZH","A Wil (ZH), les habitants disent non à 58,3 pour cent à une augmentation du taux de TVA pour couvrir les besoins financiers de l'AVS. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 59,5 pour cent de non. Les citoyens de Wil (ZH) avaient déjà refusé la précédente révision de l'AVS en 2017."
72,77.4,77.4,22.6,"Winkel ZH","Winkel (ZH)","Winkel ZH","C'est oui à 77,4 pour cent à une hausse du taux de TVA pour couvrir les besoins financiers de l'AVS à Winkel. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 62,3 pour cent de non. Les citoyens de Winkel avaient déjà refusé la précédente révision de l'AVS en 2017."
81,70.3,70.3,29.7,"Bachs ZH","Bachs (ZH)","Bachs ZH","A Bachs, les habitants sont favorables à une augmentation du taux de TVA pour couvrir les besoins financiers de l'AVS avec 70,3 pour cent des voix. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée avec 73,8 pour cent des voix. Dans le camp du non en 2017 lors de la précédente révision de l'AVS, Bachs passe cette fois-ci du côté du oui."
82,57.6,57.6,42.4,"Boppelsen ZH","Boppelsen (ZH)","Boppelsen ZH","Les habitants de Boppelsen acceptent une hausse du taux de TVA pour couvrir les besoins financiers de l'AVS avec 57,6 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée avec 50,9 pour cent des voix. Dans le camp du non en 2017 lors de la précédente révision de l'AVS, Boppelsen passe cette fois-ci du côté du oui."
83,57.2,57.2,42.8,"Buchs ZH","Buchs (ZH)","Buchs ZH","Les habitants de Buchs (ZH) acceptent une hausse du taux de TVA pour couvrir les besoins financiers de l'AVS avec 57,2 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée avec 60,6 pour cent des voix. Dans le camp du non en 2017 lors de la précédente révision de l'AVS, Buchs (ZH) passe cette fois-ci du côté du oui."
84,42.5,42.5,57.5,"Dällikon ZH","Dällikon (ZH)","Dällikon ZH","Une augmentation du taux de TVA pour couvrir les besoins financiers de l'AVS ne passe pas la rampe à Dällikon avec 57,5 pour cent des voix. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 83,5 pour cent de oui. Les citoyens de Dällikon avaient déjà refusé la précédente révision de l'AVS en 2017."
85,11.3,11.3,88.7,"Dänikon ZH","Dänikon (ZH)","Dänikon ZH","Les habitants de Dänikon rejettent une augmentation du taux de TVA pour couvrir les besoins financiers de l'AVS avec 88,7 pour cent de non. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 79,1 pour cent de non. Les citoyens de Dänikon avaient déjà refusé la précédente révision de l'AVS en 2017."
86,54.6,54.6,45.4,"Dielsdorf ZH","Dielsdorf (ZH)","Dielsdorf ZH","A Dielsdorf, les habitants disent oui à 54,6 pour cent à une augmentation du taux de TVA pour financer la réforme de l'AVS. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée avec 59,8 pour cent des voix. Dans le camp du non en 2017 lors de la précédente révision de l'AVS, Dielsdorf passe cette fois-ci du côté du oui."
87,58.5,58.5,41.5,"Hüttikon ZH","Hüttikon (ZH)","Hüttikon ZH","Une augmentation du taux de TVA pour couvrir les besoins financiers de l'AVS passe la rampe à Hüttikon avec 58,5 pour cent des voix. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée avec 89,9 pour cent des voix. Dans le camp du non en 2017 lors de la précédente révision de l'AVS, Hüttikon passe cette fois-ci du côté du oui."
88,64.7,64.7,35.3,"Neerach ZH","Neerach (ZH)","Neerach ZH","Les électeurs de Neerach valident une hausse du taux de TVA pour couvrir les besoins financiers de l'AVS avec 64,7 pour cent des suffrages. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée avec 50,1 pour cent des voix. Dans le camp du non en 2017 lors de la précédente révision de l'AVS, Neerach passe cette fois-ci du côté du oui."
89,24.1,24.1,75.9,"Niederglatt ZH","Niederglatt (ZH)","Niederglatt ZH","C'est non à 75,9 pour cent à une augmentation du taux de TVA pour couvrir les besoins financiers de l'AVS à Niederglatt. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 50,1 pour cent de oui. Les citoyens de Niederglatt avaient déjà refusé la précédente révision de l'AVS en 2017."
90,39.9,39.9,60.1,"Niederhasli ZH","Niederhasli (ZH)","Niederhasli ZH","A Niederhasli, les habitants sont défavorables à une augmentation du taux de TVA pour couvrir les besoins financiers de l'AVS avec 60,1 pour cent de non. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 89,8 pour cent de non. Les citoyens de Niederhasli avaient déjà refusé la précédente révision de l'AVS en 2017."
91,10,10,90,"Niederweningen ZH","Niederweningen (ZH)","Niederweningen ZH","C'est non à 90 pour cent à une augmentation du taux de TVA pour couvrir les besoins financiers de l'AVS à Niederweningen. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 66,4 pour cent de oui. Niederweningen avait accepté la précédente révision en 2017. Elle dit non cette fois-ci."
