"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Text_i"
12,76.2,76.2,23.8,"Rifferswil ZH","Rifferswil (ZH)","Rifferswil ZH","Sì all'aumento dell'IVA per coprire i bisogni finanziari dell'AVS nel comune di Rifferswil: i cittadini hanno approvato il testo con il 76,2 percento dei voti. La seconda proposta concernente l'AVS è stata invece respinta con il 28,8 percento dei voti. Rifferswil ha cambiato fazione: nel 2017 era a favore della riforma AVS, mentre ora la boccia."
13,72,72,28,"Stallikon ZH","Stallikon (ZH)","Stallikon ZH","Nel comune di Stallikon l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS  è stato approvato con il 72 percento dei voti. La seconda proposta concernente l'AVS è stata invece respinta con il 42,9 percento dei voti. A Stallikon come nel 2017 gli elettroi hanno detto no - con il 55,8 percento dei voti – alla riforma dell'AVS."
14,98.1,98.1,1.9,"Wettswil am Albis ZH","Wettswil am Albis (ZH)","Wettswil am Albis ZH","Nel comune di Wettswil am Albis l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS è stato accettato con il 98,1 percento dei voti. La seconda proposta concernente l'AVS è stata invece respinta con il 15 percento dei voti. A Wettswil am Albis come nel 2017 gli elettroi hanno detto no - con il 52,3 percento dei voti – alla riforma dell'AVS."
21,89.5,89.5,10.5,"Adlikon ZH","Adlikon (ZH)","Adlikon ZH","A Adlikon i cittadini hanno accolto, con il 89,5 percento dei voti, l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS. Anche la seconda proposta concernente l'AVS è stata accettata con il 57,2 percento dei voti. Adlikon ha cambiato fazione: nel 2017 aveva rifiutato la riforma dell'AVS, mentre ora la approva."
22,36.6,36.6,63.4,"Benken ZH","Benken (ZH)","Benken ZH","Da Benken ZH è arrivato un ""no"" alle urne per l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS. I cittadini hanno respinto il testo con il 63,4 percento dei voti. La seconda proposta concernente l'AVS è stata invece accettata con il 53,2 percento dei voti. A Benken ZH come nel 2017 gli elettroi hanno detto no - con il 65,8 percento dei voti – alla riforma dell'AVS."
23,63.3,63.3,36.7,"Berg am Irchel ZH","Berg am Irchel (ZH)","Berg am Irchel ZH","Con il 63,3 percento di ""sì"", i cittadini del comune di Berg am Irchel hanno accolto l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS . Anche la seconda proposta concernente l'AVS è stata accettata con il 60 percento dei voti. Berg am Irchel ha cambiato fazione: nel 2017 aveva rifiutato la riforma dell'AVS, mentre ora la approva."
24,85.1,85.1,14.9,"Buch am Irchel ZH","Buch am Irchel (ZH)","Buch am Irchel ZH","A Buch am Irchel i cittadini hanno accolto, con il 85,1 percento dei voti, l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS. La seconda proposta concernente l'AVS è stata invece respinta con il 32,3 percento dei voti. A Buch am Irchel come nel 2017 gli elettroi hanno detto no - con il 57,9 percento dei voti – alla riforma dell'AVS."
25,52.3,52.3,47.7,"Dachsen ZH","Dachsen (ZH)","Dachsen ZH","A Dachsen i cittadini hanno accolto, con il 52,3 percento dei voti, l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS. Anche la seconda proposta concernente l'AVS è stata accettata con il 53,4 percento dei voti. Dachsen ha cambiato fazione: nel 2017 aveva rifiutato la riforma dell'AVS, mentre ora la approva."
26,8.6,8.6,91.4,"Dorf ZH","Dorf (ZH)","Dorf ZH","I cittadini di Dorf si sono opposti all'aumento dell'IVA per coprire i bisogni finanziari dell'AVS . Il testo è stato respinto con il 91,4 percento dei voti. La seconda proposta concernente l'AVS è stata invece accettata con il 66,8 percento dei voti. A Dorf come nel 2017 gli elettroi hanno detto no - con il 66,5 percento dei voti – alla riforma dell'AVS."
27,67.7,67.7,32.3,"Feuerthalen ZH","Feuerthalen (ZH)","Feuerthalen ZH","Con il 67,7 percento di ""sì"", i cittadini del comune di Feuerthalen hanno accolto l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS . Anche la seconda proposta concernente l'AVS è stata accettata con il 92,8 percento dei voti. Feuerthalen ha cambiato fazione: nel 2017 aveva rifiutato la riforma dell'AVS, mentre ora la approva."
28,29.9,29.9,70.1,"Flaach ZH","Flaach (ZH)","Flaach ZH","Nel comune di Flaach l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS è stato bocciato con il 70,1 percento dei voti. La seconda proposta concernente l'AVS è stata invece accettata con il 57,7 percento dei voti. A Flaach come nel 2017 gli elettroi hanno detto no - con il 61,9 percento dei voti – alla riforma dell'AVS."
29,88.6,88.6,11.4,"Flurlingen ZH","Flurlingen (ZH)","Flurlingen ZH","Con il 88,6 percento di ""sì"", i cittadini del comune di Flurlingen hanno accolto l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS . La seconda proposta concernente l'AVS è stata invece respinta con il 49,9 percento dei voti. Flurlingen ha cambiato fazione: nel 2017 era a favore della riforma AVS, mentre ora la boccia."
30,24.4,24.4,75.6,"Andelfingen ZH","Andelfingen (ZH)","Andelfingen ZH","No all'aumento dell'IVA per coprire i bisogni finanziari dell'AVS nel comune di Andelfingen: i cittadini hanno bocciato il testo con il 75,6 percento dei voti. La seconda proposta concernente l'AVS è stata invece accettata con il 89,4 percento dei voti. A Andelfingen come nel 2017 gli elettroi hanno detto no - con il 51,7 percento dei voti – alla riforma dell'AVS."
31,41.9,41.9,58.1,"Henggart ZH","Henggart (ZH)","Henggart ZH","Con il 58,1 percento di ""no"", i cittadini del comune di Henggart hanno bocciato l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS. Anche la seconda proposta concernente l'AVS è stata respinta con il 7,8 percento dei voti. A Henggart come nel 2017 gli elettroi hanno detto no - con il 52,1 percento dei voti – alla riforma dell'AVS."
32,14.2,14.2,85.8,"Humlikon ZH","Humlikon (ZH)","Humlikon ZH","A Humlikon i cittadini hanno respinto, con il 85,8 percento dei voti, l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS . La seconda proposta concernente l'AVS è stata invece accettata con il 85,8 percento dei voti. A Humlikon come nel 2017 gli elettroi hanno detto no - con il 66,1 percento dei voti – alla riforma dell'AVS."
33,59.1,59.1,40.9,"Kleinandelfingen ZH","Kleinandelfingen (ZH)","Kleinandelfingen ZH","Sì all'aumento dell'IVA per coprire i bisogni finanziari dell'AVS nel comune di Kleinandelfingen: i cittadini hanno approvato il testo con il 59,1 percento dei voti. La seconda proposta concernente l'AVS è stata invece respinta con il 18,4 percento dei voti. A Kleinandelfingen come nel 2017 gli elettroi hanno detto no - con il 56,9 percento dei voti – alla riforma dell'AVS."
34,38,38,62,"Laufen-Uhwiesen ZH","Laufen-Uhwiesen (ZH)","Laufen-Uhwiesen ZH","Con il 62 percento di ""no"", i cittadini del comune di Laufen-Uhwiesen hanno bocciato l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS. La seconda proposta concernente l'AVS è stata invece accettata con il 78,1 percento dei voti. A Laufen-Uhwiesen come nel 2017 gli elettroi hanno detto no - con il 58,1 percento dei voti – alla riforma dell'AVS."
35,68.3,68.3,31.7,"Marthalen ZH","Marthalen (ZH)","Marthalen ZH","Sì all'aumento dell'IVA per coprire i bisogni finanziari dell'AVS nel comune di Marthalen: i cittadini hanno approvato il testo con il 68,3 percento dei voti. Anche la seconda proposta concernente l'AVS è stata accettata con il 86,8 percento dei voti. Marthalen ha cambiato fazione: nel 2017 aveva rifiutato la riforma dell'AVS, mentre ora la approva."
37,44.7,44.7,55.3,"Ossingen ZH","Ossingen (ZH)","Ossingen ZH","Da Ossingen è arrivato un ""no"" alle urne per l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS. I cittadini hanno respinto il testo con il 55,3 percento dei voti. La seconda proposta concernente l'AVS è stata invece accettata con il 52,4 percento dei voti. A Ossingen come nel 2017 gli elettroi hanno detto no - con il 54,3 percento dei voti – alla riforma dell'AVS."
38,68.1,68.1,31.9,"Rheinau ZH","Rheinau (ZH)","Rheinau ZH","Nel comune di Rheinau l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS è stato accettato con il 68,1 percento dei voti. La seconda proposta concernente l'AVS è stata invece respinta con il 44,1 percento dei voti. Rheinau ha cambiato fazione: nel 2017 era a favore della riforma AVS, mentre ora la boccia."
39,39.2,39.2,60.8,"Thalheim an der Thur ZH","Thalheim an der Thur (ZH)","Thalheim an der Thur ZH","Nel comune di Thalheim an der Thur l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS è stato bocciato con il 60,8 percento dei voti. Anche la seconda proposta concernente l'AVS è stata respinta con il 49,7 percento dei voti. A Thalheim an der Thur come nel 2017 gli elettroi hanno detto no - con il 65,6 percento dei voti – alla riforma dell'AVS."
40,53.4,53.4,46.6,"Trüllikon ZH","Trüllikon (ZH)","Trüllikon ZH","A Trüllikon i cittadini hanno accolto, con il 53,4 percento dei voti, l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS. Anche la seconda proposta concernente l'AVS è stata accettata con il 64,3 percento dei voti. Trüllikon ha cambiato fazione: nel 2017 aveva rifiutato la riforma dell'AVS, mentre ora la approva."
41,16.7,16.7,83.3,"Truttikon ZH","Truttikon (ZH)","Truttikon ZH","Nel comune di Truttikon l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS  è stato respinto con il 83,3 percento dei voti. Anche la seconda proposta concernente l'AVS è stata respinta con il 30,8 percento dei voti. A Truttikon come nel 2017 gli elettroi hanno detto no - con il 57,8 percento dei voti – alla riforma dell'AVS."
43,49.7,49.7,50.3,"Volken ZH","Volken (ZH)","Volken ZH","I cittadini di Volken si sono opposti all'aumento dell'IVA per coprire i bisogni finanziari dell'AVS . Il testo è stato respinto con il 50,3 percento dei voti. Anche la seconda proposta concernente l'AVS è stata respinta con il 44,5 percento dei voti. A Volken come nel 2017 gli elettroi hanno detto no - con il 66,4 percento dei voti – alla riforma dell'AVS."
51,34.2,34.2,65.8,"Bachenbülach ZH","Bachenbülach (ZH)","Bachenbülach ZH","A Bachenbülach i cittadini hanno respinto, con il 65,8 percento dei voti, l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS . La seconda proposta concernente l'AVS è stata invece accettata con il 76 percento dei voti. A Bachenbülach come nel 2017 gli elettroi hanno detto no - con il 53,9 percento dei voti – alla riforma dell'AVS."
52,61.6,61.6,38.4,"Bassersdorf ZH","Bassersdorf (ZH)","Bassersdorf ZH","Nel comune di Bassersdorf l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS  è stato approvato con il 61,6 percento dei voti. Anche la seconda proposta concernente l'AVS è stata accettata con il 71,1 percento dei voti. Bassersdorf ha cambiato fazione: nel 2017 aveva rifiutato la riforma dell'AVS, mentre ora la approva."
53,21.4,21.4,78.6,"Bülach ZH","Bülach (ZH)","Bülach ZH","Da Bülach è arrivato un ""no"" alle urne per l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS. I cittadini hanno respinto il testo con il 78,6 percento dei voti. La seconda proposta concernente l'AVS è stata invece accettata con il 77,5 percento dei voti. A Bülach come nel 2017 gli elettroi hanno detto no - con il 51,9 percento dei voti – alla riforma dell'AVS."
54,10.3,10.3,89.7,"Dietlikon ZH","Dietlikon (ZH)","Dietlikon ZH","A Dietlikon i cittadini hanno respinto, con il 89,7 percento dei voti, l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS . Anche la seconda proposta concernente l'AVS è stata respinta con il 39,6 percento dei voti."
55,39.1,39.1,60.9,"Eglisau ZH","Eglisau (ZH)","Eglisau ZH","Da Eglisau è arrivato un ""no"" alle urne per l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS. I cittadini hanno respinto il testo con il 60,9 percento dei voti. Anche la seconda proposta concernente l'AVS è stata respinta con il 43 percento dei voti. A Eglisau come nel 2017 gli elettroi hanno detto no - con il 50,9 percento dei voti – alla riforma dell'AVS."
56,25.7,25.7,74.3,"Embrach ZH","Embrach (ZH)","Embrach ZH","Nel comune di Embrach l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS è stato bocciato con il 74,3 percento dei voti. Anche la seconda proposta concernente l'AVS è stata respinta con il 43,6 percento dei voti. A Embrach come nel 2017 gli elettroi hanno detto no - con il 54,5 percento dei voti – alla riforma dell'AVS."
57,33.1,33.1,66.9,"Freienstein-Teufen ZH","Freienstein-Teufen (ZH)","Freienstein-Teufen ZH","No all'aumento dell'IVA per coprire i bisogni finanziari dell'AVS nel comune di Freienstein-Teufen: i cittadini hanno bocciato il testo con il 66,9 percento dei voti. Anche la seconda proposta concernente l'AVS è stata respinta con il 42,7 percento dei voti. A Freienstein-Teufen come nel 2017 gli elettroi hanno detto no - con il 54,6 percento dei voti – alla riforma dell'AVS."
58,80.8,80.8,19.2,"Glattfelden ZH","Glattfelden (ZH)","Glattfelden ZH","Nel comune di Glattfelden l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS  è stato approvato con il 80,8 percento dei voti. La seconda proposta concernente l'AVS è stata invece respinta con il 4,9 percento dei voti. A Glattfelden come nel 2017 gli elettroi hanno detto no - con il 58,4 percento dei voti – alla riforma dell'AVS."
59,72.1,72.1,27.9,"Hochfelden ZH","Hochfelden (ZH)","Hochfelden ZH","Nel comune di Hochfelden l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS  è stato approvato con il 72,1 percento dei voti. Anche la seconda proposta concernente l'AVS è stata accettata con il 91,8 percento dei voti. Hochfelden ha cambiato fazione: nel 2017 aveva rifiutato la riforma dell'AVS, mentre ora la approva."
60,59.8,59.8,40.2,"Höri ZH","Höri (ZH)","Höri ZH","Nel comune di Höri l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS  è stato approvato con il 59,8 percento dei voti. Anche la seconda proposta concernente l'AVS è stata accettata con il 53,2 percento dei voti. Höri ha cambiato fazione: nel 2017 aveva rifiutato la riforma dell'AVS, mentre ora la approva."
61,43.5,43.5,56.5,"Hüntwangen ZH","Hüntwangen (ZH)","Hüntwangen ZH","I cittadini di Hüntwangen si sono opposti all'aumento dell'IVA per coprire i bisogni finanziari dell'AVS . Il testo è stato respinto con il 56,5 percento dei voti. Anche la seconda proposta concernente l'AVS è stata respinta con il 28,5 percento dei voti. A Hüntwangen come nel 2017 gli elettroi hanno detto no - con il 54 percento dei voti – alla riforma dell'AVS."
62,46.7,46.7,53.3,"Kloten ZH","Kloten (ZH)","Kloten ZH","I cittadini di Kloten si sono opposti all'aumento dell'IVA per coprire i bisogni finanziari dell'AVS . Il testo è stato respinto con il 53,3 percento dei voti. Anche la seconda proposta concernente l'AVS è stata respinta con il 1,6 percento dei voti. A Kloten come nel 2017 gli elettroi hanno detto no - con il 55,9 percento dei voti – alla riforma dell'AVS."
63,56.7,56.7,43.3,"Lufingen ZH","Lufingen (ZH)","Lufingen ZH","Nel comune di Lufingen l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS  è stato approvato con il 56,7 percento dei voti. Anche la seconda proposta concernente l'AVS è stata accettata con il 69 percento dei voti. Lufingen ha cambiato fazione: nel 2017 aveva rifiutato la riforma dell'AVS, mentre ora la approva."
64,31.8,31.8,68.2,"Nürensdorf ZH","Nürensdorf (ZH)","Nürensdorf ZH","I cittadini di Nürensdorf si sono opposti all'aumento dell'IVA per coprire i bisogni finanziari dell'AVS . Il testo è stato respinto con il 68,2 percento dei voti. Anche la seconda proposta concernente l'AVS è stata respinta con il 46,3 percento dei voti. A Nürensdorf come nel 2017 gli elettroi hanno detto no - con il 59,8 percento dei voti – alla riforma dell'AVS."
65,84.3,84.3,15.7,"Oberembrach ZH","Oberembrach (ZH)","Oberembrach ZH","Da Oberembrach è arrivato un ""sì"" alle urne per l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS. I cittadini hanno accolto il testo con il 84,3 percento dei voti. La seconda proposta concernente l'AVS è stata invece respinta con il 11 percento dei voti. A Oberembrach come nel 2017 gli elettroi hanno detto no - con il 64,7 percento dei voti – alla riforma dell'AVS."
66,23.7,23.7,76.3,"Opfikon ZH","Opfikon (ZH)","Opfikon ZH","Con il 76,3 percento di ""no"", i cittadini del comune di Opfikon hanno bocciato l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS. Anche la seconda proposta concernente l'AVS è stata respinta con il 49 percento dei voti. A Opfikon come nel 2017 gli elettroi hanno detto no - con il 57,3 percento dei voti – alla riforma dell'AVS."
67,86.2,86.2,13.8,"Rafz ZH","Rafz (ZH)","Rafz ZH","A Rafz i cittadini hanno accolto, con il 86,2 percento dei voti, l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS. Anche la seconda proposta concernente l'AVS è stata accettata con il 73 percento dei voti. Rafz ha cambiato fazione: nel 2017 aveva rifiutato la riforma dell'AVS, mentre ora la approva."
68,27.8,27.8,72.2,"Rorbas ZH","Rorbas (ZH)","Rorbas ZH","I cittadini di Rorbas si sono opposti all'aumento dell'IVA per coprire i bisogni finanziari dell'AVS . Il testo è stato respinto con il 72,2 percento dei voti. Anche la seconda proposta concernente l'AVS è stata respinta con il 20,2 percento dei voti. A Rorbas come nel 2017 gli elettroi hanno detto no - con il 54 percento dei voti – alla riforma dell'AVS."
69,4.4,4.4,95.6,"Wallisellen ZH","Wallisellen (ZH)","Wallisellen ZH","Nel comune di Wallisellen l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS è stato bocciato con il 95,6 percento dei voti. Anche la seconda proposta concernente l'AVS è stata respinta con il 37,7 percento dei voti. A Wallisellen come nel 2017 gli elettroi hanno detto no - con il 53,3 percento dei voti – alla riforma dell'AVS."
70,75.7,75.7,24.3,"Wasterkingen ZH","Wasterkingen (ZH)","Wasterkingen ZH","Nel comune di Wasterkingen l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS  è stato approvato con il 75,7 percento dei voti. Anche la seconda proposta concernente l'AVS è stata accettata con il 59,4 percento dei voti. Wasterkingen ha cambiato fazione: nel 2017 aveva rifiutato la riforma dell'AVS, mentre ora la approva."
71,41.7,41.7,58.3,"Wil ZH","Wil (ZH)","Wil ZH ZH","Nel comune di Wil ZH l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS  è stato respinto con il 58,3 percento dei voti. Anche la seconda proposta concernente l'AVS è stata respinta con il 40,5 percento dei voti. A Wil ZH come nel 2017 gli elettroi hanno detto no - con il 61,9 percento dei voti – alla riforma dell'AVS."
72,77.4,77.4,22.6,"Winkel ZH","Winkel (ZH)","Winkel ZH","Con il 77,4 percento di ""sì"", i cittadini del comune di Winkel hanno accolto l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS . La seconda proposta concernente l'AVS è stata invece respinta con il 37,7 percento dei voti. A Winkel come nel 2017 gli elettroi hanno detto no - con il 61,8 percento dei voti – alla riforma dell'AVS."
81,70.3,70.3,29.7,"Bachs ZH","Bachs (ZH)","Bachs ZH","I cittadini di Bachs si sono espressi a favore dell'aumento dell'IVA per coprire i bisogni finanziari dell'AVS. Il testo è stato approvato con il 70,3 percento dei voti. Anche la seconda proposta concernente l'AVS è stata accettata con il 73,8 percento dei voti. Bachs ha cambiato fazione: nel 2017 aveva rifiutato la riforma dell'AVS, mentre ora la approva."
82,57.6,57.6,42.4,"Boppelsen ZH","Boppelsen (ZH)","Boppelsen ZH","Nel comune di Boppelsen l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS è stato accettato con il 57,6 percento dei voti. Anche la seconda proposta concernente l'AVS è stata accettata con il 50,9 percento dei voti. Boppelsen ha cambiato fazione: nel 2017 aveva rifiutato la riforma dell'AVS, mentre ora la approva."
83,57.2,57.2,42.8,"Buchs ZH","Buchs (ZH)","Buchs ZH","Nel comune di Buchs ZH l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS è stato accettato con il 57,2 percento dei voti. Anche la seconda proposta concernente l'AVS è stata accettata con il 60,6 percento dei voti. Buchs ZH ha cambiato fazione: nel 2017 aveva rifiutato la riforma dell'AVS, mentre ora la approva."
84,42.5,42.5,57.5,"Dällikon ZH","Dällikon (ZH)","Dällikon ZH","Da Dällikon è arrivato un ""no"" alle urne per l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS. I cittadini hanno respinto il testo con il 57,5 percento dei voti. La seconda proposta concernente l'AVS è stata invece accettata con il 83,5 percento dei voti. A Dällikon come nel 2017 gli elettroi hanno detto no - con il 58,6 percento dei voti – alla riforma dell'AVS."
85,11.3,11.3,88.7,"Dänikon ZH","Dänikon (ZH)","Dänikon ZH","Nel comune di Dänikon l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS è stato bocciato con il 88,7 percento dei voti. Anche la seconda proposta concernente l'AVS è stata respinta con il 20,9 percento dei voti. A Dänikon come nel 2017 gli elettroi hanno detto no - con il 60,6 percento dei voti – alla riforma dell'AVS."
86,54.6,54.6,45.4,"Dielsdorf ZH","Dielsdorf (ZH)","Dielsdorf ZH","Nel comune di Dielsdorf l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS  è stato approvato con il 54,6 percento dei voti. Anche la seconda proposta concernente l'AVS è stata accettata con il 59,8 percento dei voti. Dielsdorf ha cambiato fazione: nel 2017 aveva rifiutato la riforma dell'AVS, mentre ora la approva."
87,58.5,58.5,41.5,"Hüttikon ZH","Hüttikon (ZH)","Hüttikon ZH","Da Hüttikon è arrivato un ""sì"" alle urne per l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS. I cittadini hanno accolto il testo con il 58,5 percento dei voti. Anche la seconda proposta concernente l'AVS è stata accettata con il 89,9 percento dei voti. Hüttikon ha cambiato fazione: nel 2017 aveva rifiutato la riforma dell'AVS, mentre ora la approva."
88,64.7,64.7,35.3,"Neerach ZH","Neerach (ZH)","Neerach ZH","A Neerach i cittadini hanno accolto, con il 64,7 percento dei voti, l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS. Anche la seconda proposta concernente l'AVS è stata accettata con il 50,1 percento dei voti. Neerach ha cambiato fazione: nel 2017 aveva rifiutato la riforma dell'AVS, mentre ora la approva."
89,24.1,24.1,75.9,"Niederglatt ZH","Niederglatt (ZH)","Niederglatt ZH","Con il 75,9 percento di ""no"", i cittadini del comune di Niederglatt hanno bocciato l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS. La seconda proposta concernente l'AVS è stata invece accettata con il 50,1 percento dei voti. A Niederglatt come nel 2017 gli elettroi hanno detto no - con il 62,4 percento dei voti – alla riforma dell'AVS."
90,39.9,39.9,60.1,"Niederhasli ZH","Niederhasli (ZH)","Niederhasli ZH","I cittadini di Niederhasli si sono opposti all'aumento dell'IVA per coprire i bisogni finanziari dell'AVS . Il testo è stato respinto con il 60,1 percento dei voti. Anche la seconda proposta concernente l'AVS è stata respinta con il 10,2 percento dei voti. A Niederhasli come nel 2017 gli elettroi hanno detto no - con il 56,8 percento dei voti – alla riforma dell'AVS."
