"Kantons_Nr","Gemeinde_Nr","Ja_Stimmen_In_Prozent","Ja_Stimmen_Absolut","Nein_Stimmen_Absolut","Stimmbeteiligung_In_Prozent","Eingelegte_Stimmzettel","Anzahl_Stimmberechtigte","Gueltige_Stimmen","Gebiet_Ausgezaehlt","Kanton_Short","Gemeinde_d","Gemeinde_f","Gemeinde_i","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Kanton_d","Kanton_f","Kanton_i","Ja_Stimmen_In_Prozent_Kanton","Highest_Yes_Kant","Highest_No_Kant"
1,11,73.0319839490145,6188,2285,,,,8473,TRUE,"ZH","Ottenbach","Ottenbach","Ottenbach","Ottenbach ZH","Ottenbach (ZH)","Ottenbach ZH","Zürich","Zurich","Zurigo",68.1783264502883,FALSE,FALSE
1,12,76.1996754501198,9861,3080,,,,12941,TRUE,"ZH","Rifferswil","Rifferswil","Rifferswil","Rifferswil ZH","Rifferswil (ZH)","Rifferswil ZH","Zürich","Zurich","Zurigo",68.1783264502883,FALSE,FALSE
1,13,71.9519175729823,7542,2940,,,,10482,TRUE,"ZH","Stallikon","Stallikon","Stallikon","Stallikon ZH","Stallikon (ZH)","Stallikon ZH","Zürich","Zurich","Zurigo",68.1783264502883,FALSE,FALSE
1,14,98.051948051948,6493,129,,,,6622,TRUE,"ZH","Wettswil am Albis","Wettswil am Albis","Wettswil am Albis","Wettswil am Albis ZH","Wettswil am Albis (ZH)","Wettswil am Albis ZH","Zürich","Zurich","Zurigo",68.1783264502883,FALSE,FALSE
1,21,89.4867736830206,3958,465,,,,4423,TRUE,"ZH","Adlikon","Adlikon","Adlikon","Adlikon ZH","Adlikon (ZH)","Adlikon ZH","Zürich","Zurich","Zurigo",68.1783264502883,FALSE,FALSE
1,22,36.6336633663366,962,1664,,,,2626,TRUE,"ZH","Benken ZH","Benken (ZH)","Benken ZH","Benken ZH","Benken (ZH)","Benken ZH","Zürich","Zurich","Zurigo",68.1783264502883,FALSE,FALSE
1,23,63.2943013270882,4054,2351,,,,6405,TRUE,"ZH","Berg am Irchel","Berg am Irchel","Berg am Irchel","Berg am Irchel ZH","Berg am Irchel (ZH)","Berg am Irchel ZH","Zürich","Zurich","Zurigo",68.1783264502883,FALSE,FALSE
1,24,85.0569476082005,7468,1312,,,,8780,TRUE,"ZH","Buch am Irchel","Buch am Irchel","Buch am Irchel","Buch am Irchel ZH","Buch am Irchel (ZH)","Buch am Irchel ZH","Zürich","Zurich","Zurigo",68.1783264502883,FALSE,FALSE
1,25,52.2647880763857,8977,8199,,,,17176,TRUE,"ZH","Dachsen","Dachsen","Dachsen","Dachsen ZH","Dachsen (ZH)","Dachsen ZH","Zürich","Zurich","Zurigo",68.1783264502883,FALSE,FALSE
1,26,8.62840342579573,675,7148,,,,7823,TRUE,"ZH","Dorf","Dorf","Dorf","Dorf ZH","Dorf (ZH)","Dorf ZH","Zürich","Zurich","Zurigo",68.1783264502883,FALSE,FALSE
1,27,67.6910423209212,9053,4321,,,,13374,TRUE,"ZH","Feuerthalen","Feuerthalen","Feuerthalen","Feuerthalen ZH","Feuerthalen (ZH)","Feuerthalen ZH","Zürich","Zurich","Zurigo",68.1783264502883,FALSE,FALSE
1,28,29.8528629675589,1684,3957,,,,5641,TRUE,"ZH","Flaach","Flaach","Flaach","Flaach ZH","Flaach (ZH)","Flaach ZH","Zürich","Zurich","Zurigo",68.1783264502883,FALSE,FALSE
1,29,88.5613585389298,2764,357,,,,3121,TRUE,"ZH","Flurlingen","Flurlingen","Flurlingen","Flurlingen ZH","Flurlingen (ZH)","Flurlingen ZH","Zürich","Zurich","Zurigo",68.1783264502883,FALSE,FALSE
1,30,24.4102965645493,2494,7723,,,,10217,TRUE,"ZH","Andelfingen","Andelfingen","Andelfingen","Andelfingen ZH","Andelfingen (ZH)","Andelfingen ZH","Zürich","Zurich","Zurigo",68.1783264502883,FALSE,FALSE
1,31,41.9351998591301,4763,6595,,,,11358,TRUE,"ZH","Henggart","Henggart","Henggart","Henggart ZH","Henggart (ZH)","Henggart ZH","Zürich","Zurich","Zurigo",68.1783264502883,FALSE,FALSE
1,32,14.2164082127696,1641,9902,,,,11543,TRUE,"ZH","Humlikon","Humlikon","Humlikon","Humlikon ZH","Humlikon (ZH)","Humlikon ZH","Zürich","Zurich","Zurigo",68.1783264502883,FALSE,FALSE
1,33,59.1009143244158,6981,4831,,,,11812,TRUE,"ZH","Kleinandelfingen","Kleinandelfingen","Kleinandelfingen","Kleinandelfingen ZH","Kleinandelfingen (ZH)","Kleinandelfingen ZH","Zürich","Zurich","Zurigo",68.1783264502883,FALSE,FALSE
1,34,37.9891864057672,5902,9634,,,,15536,TRUE,"ZH","Laufen-Uhwiesen","Laufen-Uhwiesen","Laufen-Uhwiesen","Laufen-Uhwiesen ZH","Laufen-Uhwiesen (ZH)","Laufen-Uhwiesen ZH","Zürich","Zurich","Zurigo",68.1783264502883,FALSE,FALSE
1,35,68.283103558833,8519,3957,,,,12476,TRUE,"ZH","Marthalen","Marthalen","Marthalen","Marthalen ZH","Marthalen (ZH)","Marthalen ZH","Zürich","Zurich","Zurigo",68.1783264502883,FALSE,FALSE
1,37,44.6527981248169,6096,7556,,,,13652,TRUE,"ZH","Ossingen","Ossingen","Ossingen","Ossingen ZH","Ossingen (ZH)","Ossingen ZH","Zürich","Zurich","Zurigo",68.1783264502883,FALSE,FALSE
1,38,68.0974325213957,5172,2423,,,,7595,TRUE,"ZH","Rheinau","Rheinau","Rheinau","Rheinau ZH","Rheinau (ZH)","Rheinau ZH","Zürich","Zurich","Zurigo",68.1783264502883,FALSE,FALSE
1,39,39.1675493800237,6286,9763,,,,16049,TRUE,"ZH","Thalheim an der Thur","Thalheim an der Thur","Thalheim an der Thur","Thalheim an der Thur ZH","Thalheim an der Thur (ZH)","Thalheim an der Thur ZH","Zürich","Zurich","Zurigo",68.1783264502883,FALSE,FALSE
1,40,53.3963411264025,9661,8432,,,,18093,TRUE,"ZH","Trüllikon","Trüllikon","Trüllikon","Trüllikon ZH","Trüllikon (ZH)","Trüllikon ZH","Zürich","Zurich","Zurigo",68.1783264502883,FALSE,FALSE
1,41,16.6512011547582,1615,8084,,,,9699,TRUE,"ZH","Truttikon","Truttikon","Truttikon","Truttikon ZH","Truttikon (ZH)","Truttikon ZH","Zürich","Zurich","Zurigo",68.1783264502883,FALSE,FALSE
1,43,49.683995922528,4874,4936,,,,9810,TRUE,"ZH","Volken","Volken","Volken","Volken ZH","Volken (ZH)","Volken ZH","Zürich","Zurich","Zurigo",68.1783264502883,FALSE,FALSE
1,51,34.1711011051985,4174,8041,,,,12215,TRUE,"ZH","Bachenbülach","Bachenbülach","Bachenbülach","Bachenbülach ZH","Bachenbülach (ZH)","Bachenbülach ZH","Zürich","Zurich","Zurigo",68.1783264502883,FALSE,FALSE
1,52,61.570493753718,7245,4522,,,,11767,TRUE,"ZH","Bassersdorf","Bassersdorf","Bassersdorf","Bassersdorf ZH","Bassersdorf (ZH)","Bassersdorf ZH","Zürich","Zurich","Zurigo",68.1783264502883,FALSE,FALSE
1,53,21.3597383078419,2416,8895,,,,11311,TRUE,"ZH","Bülach","Bülach","Bülach","Bülach ZH","Bülach (ZH)","Bülach ZH","Zürich","Zurich","Zurigo",68.1783264502883,FALSE,FALSE
1,54,10.2832244008715,472,4118,,,,4590,TRUE,"ZH","Dietlikon","Dietlikon","Dietlikon","Dietlikon ZH","Dietlikon (ZH)","Dietlikon ZH","Zürich","Zurich","Zurigo",68.1783264502883,FALSE,FALSE
1,55,39.0674023585416,3611,5632,,,,9243,TRUE,"ZH","Eglisau","Eglisau","Eglisau","Eglisau ZH","Eglisau (ZH)","Eglisau ZH","Zürich","Zurich","Zurigo",68.1783264502883,FALSE,FALSE
1,56,25.7270693512304,1495,4316,,,,5811,TRUE,"ZH","Embrach","Embrach","Embrach","Embrach ZH","Embrach (ZH)","Embrach ZH","Zürich","Zurich","Zurigo",68.1783264502883,FALSE,FALSE
1,57,33.0974250865833,2198,4443,,,,6641,TRUE,"ZH","Freienstein-Teufen","Freienstein-Teufen","Freienstein-Teufen","Freienstein-Teufen ZH","Freienstein-Teufen (ZH)","Freienstein-Teufen ZH","Zürich","Zurich","Zurigo",68.1783264502883,FALSE,FALSE
1,58,80.8415841584158,9798,2322,,,,12120,TRUE,"ZH","Glattfelden","Glattfelden","Glattfelden","Glattfelden ZH","Glattfelden (ZH)","Glattfelden ZH","Zürich","Zurich","Zurigo",68.1783264502883,FALSE,FALSE
1,59,72.0999405116002,8484,3283,,,,11767,TRUE,"ZH","Hochfelden","Hochfelden","Hochfelden","Hochfelden ZH","Hochfelden (ZH)","Hochfelden ZH","Zürich","Zurich","Zurigo",68.1783264502883,FALSE,FALSE
1,60,59.8252628461425,4040,2713,,,,6753,TRUE,"ZH","Höri","Höri","Höri","Höri ZH","Höri (ZH)","Höri ZH","Zürich","Zurich","Zurigo",68.1783264502883,FALSE,FALSE
1,61,43.466283387232,7258,9440,,,,16698,TRUE,"ZH","Hüntwangen","Hüntwangen","Hüntwangen","Hüntwangen ZH","Hüntwangen (ZH)","Hüntwangen ZH","Zürich","Zurich","Zurigo",68.1783264502883,FALSE,FALSE
1,62,46.6634890371783,1958,2238,,,,4196,TRUE,"ZH","Kloten","Kloten","Kloten","Kloten ZH","Kloten (ZH)","Kloten ZH","Zürich","Zurich","Zurigo",68.1783264502883,FALSE,FALSE
1,63,56.6841798015178,6797,5194,,,,11991,TRUE,"ZH","Lufingen","Lufingen","Lufingen","Lufingen ZH","Lufingen (ZH)","Lufingen ZH","Zürich","Zurich","Zurigo",68.1783264502883,FALSE,FALSE
1,64,31.7584696934778,2756,5922,,,,8678,TRUE,"ZH","Nürensdorf","Nürensdorf","Nürensdorf","Nürensdorf ZH","Nürensdorf (ZH)","Nürensdorf ZH","Zürich","Zurich","Zurigo",68.1783264502883,FALSE,FALSE
1,65,84.2918454935622,2946,549,,,,3495,TRUE,"ZH","Oberembrach","Oberembrach","Oberembrach","Oberembrach ZH","Oberembrach (ZH)","Oberembrach ZH","Zürich","Zurich","Zurigo",68.1783264502883,FALSE,FALSE
1,66,23.6836018811194,3072,9899,,,,12971,TRUE,"ZH","Opfikon","Opfikon","Opfikon","Opfikon ZH","Opfikon (ZH)","Opfikon ZH","Zürich","Zurich","Zurigo",68.1783264502883,FALSE,FALSE
1,67,86.1940876025383,5569,892,,,,6461,TRUE,"ZH","Rafz","Rafz","Rafz","Rafz ZH","Rafz (ZH)","Rafz ZH","Zürich","Zurich","Zurigo",68.1783264502883,FALSE,FALSE
1,68,27.7753544165758,2547,6623,,,,9170,TRUE,"ZH","Rorbas","Rorbas","Rorbas","Rorbas ZH","Rorbas (ZH)","Rorbas ZH","Zürich","Zurich","Zurigo",68.1783264502883,FALSE,FALSE
1,69,4.4404259594133,442,9512,,,,9954,TRUE,"ZH","Wallisellen","Wallisellen","Wallisellen","Wallisellen ZH","Wallisellen (ZH)","Wallisellen ZH","Zürich","Zurich","Zurigo",68.1783264502883,FALSE,FALSE
1,70,75.6992128621671,9040,2902,,,,11942,TRUE,"ZH","Wasterkingen","Wasterkingen","Wasterkingen","Wasterkingen ZH","Wasterkingen (ZH)","Wasterkingen ZH","Zürich","Zurich","Zurigo",68.1783264502883,FALSE,FALSE
1,71,41.7403562732282,6514,9092,,,,15606,TRUE,"ZH","Wil ZH","Wil (ZH)","Wil ZH","Wil ZH","Wil (ZH)","Wil ZH ZH","Zürich","Zurich","Zurigo",68.1783264502883,FALSE,FALSE
1,72,77.3811391809195,9863,2883,,,,12746,TRUE,"ZH","Winkel","Winkel","Winkel","Winkel ZH","Winkel (ZH)","Winkel ZH","Zürich","Zurich","Zurigo",68.1783264502883,FALSE,FALSE
1,81,70.3426604818195,4701,1982,,,,6683,TRUE,"ZH","Bachs","Bachs","Bachs","Bachs ZH","Bachs (ZH)","Bachs ZH","Zürich","Zurich","Zurigo",68.1783264502883,FALSE,FALSE
1,82,57.5897169180474,7751,5708,,,,13459,TRUE,"ZH","Boppelsen","Boppelsen","Boppelsen","Boppelsen ZH","Boppelsen (ZH)","Boppelsen ZH","Zürich","Zurich","Zurigo",68.1783264502883,FALSE,FALSE
1,83,57.2172693579084,5712,4271,,,,9983,TRUE,"ZH","Buchs ZH","Buchs (ZH)","Buchs ZH","Buchs ZH","Buchs (ZH)","Buchs ZH","Zürich","Zurich","Zurigo",68.1783264502883,FALSE,FALSE
1,84,42.5064707355765,5091,6886,,,,11977,TRUE,"ZH","Dällikon","Dällikon","Dällikon","Dällikon ZH","Dällikon (ZH)","Dällikon ZH","Zürich","Zurich","Zurigo",68.1783264502883,FALSE,FALSE
1,85,11.287577992059,199,1564,,,,1763,TRUE,"ZH","Dänikon","Dänikon","Dänikon","Dänikon ZH","Dänikon (ZH)","Dänikon ZH","Zürich","Zurich","Zurigo",68.1783264502883,FALSE,FALSE
1,86,54.5813938659695,8560,7123,,,,15683,TRUE,"ZH","Dielsdorf","Dielsdorf","Dielsdorf","Dielsdorf ZH","Dielsdorf (ZH)","Dielsdorf ZH","Zürich","Zurich","Zurigo",68.1783264502883,FALSE,FALSE
1,87,58.5415384615385,9513,6737,,,,16250,TRUE,"ZH","Hüttikon","Hüttikon","Hüttikon","Hüttikon ZH","Hüttikon (ZH)","Hüttikon ZH","Zürich","Zurich","Zurigo",68.1783264502883,FALSE,FALSE
1,88,64.6971704731468,8300,4529,,,,12829,TRUE,"ZH","Neerach","Neerach","Neerach","Neerach ZH","Neerach (ZH)","Neerach ZH","Zürich","Zurich","Zurigo",68.1783264502883,FALSE,FALSE
1,89,24.0976645435244,1589,5005,,,,6594,TRUE,"ZH","Niederglatt","Niederglatt","Niederglatt","Niederglatt ZH","Niederglatt (ZH)","Niederglatt ZH","Zürich","Zurich","Zurigo",68.1783264502883,FALSE,FALSE
1,90,39.9281335869795,3778,5684,,,,9462,TRUE,"ZH","Niederhasli","Niederhasli","Niederhasli","Niederhasli ZH","Niederhasli (ZH)","Niederhasli ZH","Zürich","Zurich","Zurigo",68.1783264502883,FALSE,FALSE
1,91,10.0462174653369,826,7396,,,,8222,TRUE,"ZH","Niederweningen","Niederweningen","Niederweningen","Niederweningen ZH","Niederweningen (ZH)","Niederweningen ZH","Zürich","Zurich","Zurigo",68.1783264502883,FALSE,FALSE
1,92,50.1685873886568,9969,9902,,,,19871,TRUE,"ZH","Oberglatt","Oberglatt","Oberglatt","Oberglatt ZH","Oberglatt (ZH)","Oberglatt ZH","Zürich","Zurich","Zurigo",68.1783264502883,FALSE,FALSE
1,93,56.6090999667884,6818,5226,,,,12044,TRUE,"ZH","Oberweningen","Oberweningen","Oberweningen","Oberweningen ZH","Oberweningen (ZH)","Oberweningen ZH","Zürich","Zurich","Zurigo",68.1783264502883,FALSE,FALSE
1,94,38.9091149798107,5878,9229,,,,15107,TRUE,"ZH","Otelfingen","Otelfingen","Otelfingen","Otelfingen ZH","Otelfingen (ZH)","Otelfingen ZH","Zürich","Zurich","Zurigo",68.1783264502883,FALSE,FALSE
1,95,18.8203646507921,1889,8148,,,,10037,TRUE,"ZH","Regensberg","Regensberg","Regensberg","Regensberg ZH","Regensberg (ZH)","Regensberg ZH","Zürich","Zurich","Zurigo",68.1783264502883,FALSE,FALSE
1,96,16.9354838709677,567,2781,,,,3348,TRUE,"ZH","Regensdorf","Regensdorf","Regensdorf","Regensdorf ZH","Regensdorf (ZH)","Regensdorf ZH","Zürich","Zurich","Zurigo",68.1783264502883,FALSE,FALSE
1,97,73.4050066703288,9354,3389,,,,12743,TRUE,"ZH","Rümlang","Rümlang","Rümlang","Rümlang ZH","Rümlang (ZH)","Rümlang ZH","Zürich","Zurich","Zurigo",68.1783264502883,FALSE,FALSE
1,98,91.3867138166204,3618,341,,,,3959,TRUE,"ZH","Schleinikon","Schleinikon","Schleinikon","Schleinikon ZH","Schleinikon (ZH)","Schleinikon ZH","Zürich","Zurich","Zurigo",68.1783264502883,FALSE,FALSE
1,99,83.3282489322758,5463,1093,,,,6556,TRUE,"ZH","Schöfflisdorf","Schöfflisdorf","Schöfflisdorf","Schöfflisdorf ZH","Schöfflisdorf (ZH)","Schöfflisdorf ZH","Zürich","Zurich","Zurigo",68.1783264502883,FALSE,FALSE
1,100,58.1114236131889,9711,7000,,,,16711,TRUE,"ZH","Stadel","Stadel","Stadel","Stadel ZH","Stadel (ZH)","Stadel ZH","Zürich","Zurich","Zurigo",68.1783264502883,FALSE,FALSE
1,101,98.100912306833,5269,102,,,,5371,TRUE,"ZH","Steinmaur","Steinmaur","Steinmaur","Steinmaur ZH","Steinmaur (ZH)","Steinmaur ZH","Zürich","Zurich","Zurigo",68.1783264502883,FALSE,FALSE
1,102,78.9042378833997,3370,901,,,,4271,TRUE,"ZH","Weiach","Weiach","Weiach","Weiach ZH","Weiach (ZH)","Weiach ZH","Zürich","Zurich","Zurigo",68.1783264502883,FALSE,FALSE
1,111,57.0987654320988,2775,2085,,,,4860,TRUE,"ZH","Bäretswil","Bäretswil","Bäretswil","Bäretswil ZH","Bäretswil (ZH)","Bäretswil ZH","Zürich","Zurich","Zurigo",68.1783264502883,FALSE,FALSE
1,112,23.5335626709006,2668,8669,,,,11337,TRUE,"ZH","Bubikon","Bubikon","Bubikon","Bubikon ZH","Bubikon (ZH)","Bubikon ZH","Zürich","Zurich","Zurigo",68.1783264502883,FALSE,FALSE
1,113,8.67305061559508,317,3338,,,,3655,TRUE,"ZH","Dürnten","Dürnten","Dürnten","Dürnten ZH","Dürnten (ZH)","Dürnten ZH","Zürich","Zurich","Zurigo",68.1783264502883,FALSE,FALSE
1,114,54.7628254704821,8497,7019,,,,15516,TRUE,"ZH","Fischenthal","Fischenthal","Fischenthal","Fischenthal ZH","Fischenthal (ZH)","Fischenthal ZH","Zürich","Zurich","Zurigo",68.1783264502883,FALSE,FALSE
1,115,72.6544622425629,3810,1434,,,,5244,TRUE,"ZH","Gossau ZH","Gossau (ZH)","Gossau ZH","Gossau ZH","Gossau (ZH)","Gossau ZH","Zürich","Zurich","Zurigo",68.1783264502883,FALSE,FALSE
1,116,78.6869481598042,9001,2438,,,,11439,TRUE,"ZH","Grüningen","Grüningen","Grüningen","Grüningen ZH","Grüningen (ZH)","Grüningen ZH","Zürich","Zurich","Zurigo",68.1783264502883,FALSE,FALSE
1,117,57.7045973263776,8849,6486,,,,15335,TRUE,"ZH","Hinwil","Hinwil","Hinwil","Hinwil ZH","Hinwil (ZH)","Hinwil ZH","Zürich","Zurich","Zurigo",68.1783264502883,FALSE,FALSE
1,118,56.0007857002553,2851,2240,,,,5091,TRUE,"ZH","Rüti ZH","Rüti (ZH)","Rüti ZH","Rüti ZH","Rüti (ZH)","Rüti ZH","Zürich","Zurich","Zurigo",68.1783264502883,FALSE,FALSE
1,119,70.9371293001186,4784,1960,,,,6744,TRUE,"ZH","Seegräben","Seegräben","Seegräben","Seegräben ZH","Seegräben (ZH)","Seegräben ZH","Zürich","Zurich","Zurigo",68.1783264502883,FALSE,FALSE
1,120,31.419727029689,2233,4874,,,,7107,TRUE,"ZH","Wald ZH","Wald (ZH)","Wald ZH","Wald ZH","Wald (ZH)","Wald ZH","Zürich","Zurich","Zurigo",68.1783264502883,FALSE,FALSE
1,121,17.1917404129793,1457,7018,,,,8475,TRUE,"ZH","Wetzikon ZH","Wetzikon (ZH)","Wetzikon ZH","Wetzikon ZH","Wetzikon (ZH)","Wetzikon ZH","Zürich","Zurich","Zurigo",68.1783264502883,FALSE,FALSE
1,131,9.10229645093946,436,4354,,,,4790,TRUE,"ZH","Adliswil","Adliswil","Adliswil","Adliswil ZH","Adliswil (ZH)","Adliswil ZH","Zürich","Zurich","Zurigo",68.1783264502883,FALSE,FALSE
1,135,95.1859170109574,5299,268,,,,5567,TRUE,"ZH","Kilchberg ZH","Kilchberg (ZH)","Kilchberg ZH","Kilchberg ZH","Kilchberg (ZH)","Kilchberg ZH","Zürich","Zurich","Zurigo",68.1783264502883,FALSE,FALSE
1,136,39.529793843547,5599,8565,,,,14164,TRUE,"ZH","Langnau am Albis","Langnau am Albis","Langnau am Albis","Langnau am Albis ZH","Langnau am Albis (ZH)","Langnau am Albis ZH","Zürich","Zurich","Zurigo",68.1783264502883,FALSE,FALSE
1,137,21.3692038495188,977,3595,,,,4572,TRUE,"ZH","Oberrieden","Oberrieden","Oberrieden","Oberrieden ZH","Oberrieden (ZH)","Oberrieden ZH","Zürich","Zurich","Zurigo",68.1783264502883,FALSE,FALSE
1,138,76.5456252934732,9781,2997,,,,12778,TRUE,"ZH","Richterswil","Richterswil","Richterswil","Richterswil ZH","Richterswil (ZH)","Richterswil ZH","Zürich","Zurich","Zurigo",68.1783264502883,FALSE,FALSE
1,139,76.2232316677482,5873,1832,,,,7705,TRUE,"ZH","Rüschlikon","Rüschlikon","Rüschlikon","Rüschlikon ZH","Rüschlikon (ZH)","Rüschlikon ZH","Zürich","Zurich","Zurigo",68.1783264502883,FALSE,FALSE
1,141,74.6402146515977,9180,3119,,,,12299,TRUE,"ZH","Thalwil","Thalwil","Thalwil","Thalwil ZH","Thalwil (ZH)","Thalwil ZH","Zürich","Zurich","Zurigo",68.1783264502883,FALSE,FALSE
1,151,90.0260078023407,6923,767,,,,7690,TRUE,"ZH","Erlenbach ZH","Erlenbach (ZH)","Erlenbach ZH","Erlenbach ZH","Erlenbach (ZH)","Erlenbach ZH","Zürich","Zurich","Zurigo",68.1783264502883,FALSE,FALSE
1,152,39.6814272061166,6228,9467,,,,15695,TRUE,"ZH","Herrliberg","Herrliberg","Herrliberg","Herrliberg ZH","Herrliberg (ZH)","Herrliberg ZH","Zürich","Zurich","Zurigo",68.1783264502883,FALSE,FALSE
1,153,94.8599093531108,9209,499,,,,9708,TRUE,"ZH","Hombrechtikon","Hombrechtikon","Hombrechtikon","Hombrechtikon ZH","Hombrechtikon (ZH)","Hombrechtikon ZH","Zürich","Zurich","Zurigo",68.1783264502883,FALSE,FALSE
1,154,57.3383889762323,6200,4613,,,,10813,TRUE,"ZH","Küsnacht ZH","Küsnacht (ZH)","Küsnacht ZH","Küsnacht ZH","Küsnacht (ZH)","Küsnacht ZH","Zürich","Zurich","Zurigo",68.1783264502883,FALSE,FALSE
1,155,46.6339208321294,8070,9235,,,,17305,TRUE,"ZH","Männedorf","Männedorf","Männedorf","Männedorf ZH","Männedorf (ZH)","Männedorf ZH","Zürich","Zurich","Zurigo",68.1783264502883,FALSE,FALSE
1,156,28.6482522610609,1172,2919,,,,4091,TRUE,"ZH","Meilen","Meilen","Meilen","Meilen ZH","Meilen (ZH)","Meilen ZH","Zürich","Zurich","Zurigo",68.1783264502883,FALSE,FALSE
1,157,60.5193247064873,7062,4607,,,,11669,TRUE,"ZH","Oetwil am See","Oetwil am See","Oetwil am See","Oetwil am See ZH","Oetwil am See (ZH)","Oetwil am See ZH","Zürich","Zurich","Zurigo",68.1783264502883,FALSE,FALSE
1,158,57.7868040420052,5833,4261,,,,10094,TRUE,"ZH","Stäfa","Stäfa","Stäfa","Stäfa ZH","Stäfa (ZH)","Stäfa ZH","Zürich","Zurich","Zurigo",68.1783264502883,FALSE,FALSE
1,159,52.019019232134,7330,6761,,,,14091,TRUE,"ZH","Uetikon am See","Uetikon am See","Uetikon am See","Uetikon am See ZH","Uetikon am See (ZH)","Uetikon am See ZH","Zürich","Zurich","Zurigo",68.1783264502883,FALSE,FALSE
1,160,71.5009918448314,3244,1293,,,,4537,TRUE,"ZH","Zumikon","Zumikon","Zumikon","Zumikon ZH","Zumikon (ZH)","Zumikon ZH","Zürich","Zurich","Zurigo",68.1783264502883,FALSE,FALSE
1,161,16.6405199462125,1485,7439,,,,8924,TRUE,"ZH","Zollikon","Zollikon","Zollikon","Zollikon ZH","Zollikon (ZH)","Zollikon ZH","Zürich","Zurich","Zurigo",68.1783264502883,FALSE,FALSE
1,172,94.6757679180887,8322,468,,,,8790,TRUE,"ZH","Fehraltorf","Fehraltorf","Fehraltorf","Fehraltorf ZH","Fehraltorf (ZH)","Fehraltorf ZH","Zürich","Zurich","Zurigo",68.1783264502883,FALSE,FALSE
1,173,39.117199391172,6168,9600,,,,15768,TRUE,"ZH","Hittnau","Hittnau","Hittnau","Hittnau ZH","Hittnau (ZH)","Hittnau ZH","Zürich","Zurich","Zurigo",68.1783264502883,FALSE,FALSE
1,176,67.5,8100,3900,,,,12000,TRUE,"ZH","Lindau","Lindau","Lindau","Lindau ZH","Lindau (ZH)","Lindau ZH","Zürich","Zurich","Zurigo",68.1783264502883,FALSE,FALSE
