"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Text_d"
11,69.4,69.4,30.6,"Ottenbach ZH","Ottenbach (ZH)","Ottenbach ZH","Ja zur Erhöhung des Frauenrentenalters auf 65 in Ottenbach mit 69,4 Prozent. Weil die Gemeinde die Erhöhung der Mehrwertsteuer aber mit 50,4 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Ottenbach damit trotzdem gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Ottenbach eine Rentenreform mit 51,3 Prozent Nein-Stimmen abgelehnt."
12,62.3,62.3,37.7,"Rifferswil ZH","Rifferswil (ZH)","Rifferswil ZH","Ja zur Erhöhung des Frauenrentenalters auf 65 in Rifferswil mit 62,3 Prozent. Da die Gemeinde auch der Erhöhung der Mehrwertsteuer mit 71,8 Prozent zugestimmt hat, ist die AHV-Reform in Rifferswil damit angenommen worden. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Rifferswil der Rentenreform mit 57,7 Prozent zugestimmt."
13,4.2,4.2,95.8,"Stallikon ZH","Stallikon (ZH)","Stallikon ZH","Nein zur Erhöhung des Frauenrentenalters auf 65 in Stallikon. Die Gemeinde hat das Volksbegehren mit 95,8 Prozent abgelehnt. Da die Gemeinde auch die Erhöhung der Mehrwertsteuer mit 74,1 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Stallikon damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Stallikon eine Rentenreform mit 55,8 Prozent Nein-Stimmen abgelehnt."
14,93.6,93.6,6.4,"Wettswil am Albis ZH","Wettswil am Albis (ZH)","Wettswil am Albis ZH","Wettswil am Albis hat der Erhöhung des Frauenrentenalters auf 65 mit 93,6 Prozent  zugestimmt. Weil die Gemeinde die Erhöhung der Mehrwertsteuer aber mit 54,8 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Wettswil am Albis damit trotzdem gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Wettswil am Albis eine Rentenreform mit 52,3 Prozent Nein-Stimmen abgelehnt."
21,38.2,38.2,61.8,"Adlikon ZH","Adlikon (ZH)","Adlikon ZH","61,8 Prozent Nein zur Erhöhung des Frauenrentenalters auf 65 in Adlikon. Da die Gemeinde auch die Erhöhung der Mehrwertsteuer mit 66,6 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Adlikon damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Adlikon eine Rentenreform mit 65 Prozent Nein-Stimmen abgelehnt."
22,71.6,71.6,28.4,"Benken ZH","Benken (ZH)","Benken ZH","71,6 Prozent in Benken ZH sagen Ja zur Erhöhung des Frauenrentenalters auf 65 . Weil die Gemeinde die Erhöhung der Mehrwertsteuer aber mit 56,7 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Benken ZH damit trotzdem gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Benken ZH eine Rentenreform mit 65,8 Prozent Nein-Stimmen abgelehnt."
23,33.9,33.9,66.1,"Berg am Irchel ZH","Berg am Irchel (ZH)","Berg am Irchel ZH","Keine Mehrheit für die Erhöhung des Frauenrentenalters auf 65 in Berg am Irchel: Mit 66,1 Prozent hat die Gemeinde die Vorlage verworfen. Obwohl die Gemeinde der Erhöhung der Mehrwertsteuer mit 51,3 Prozent angenommen hat, ist die AHV-Reform in Berg am Irchel damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Berg am Irchel eine Rentenreform mit 60,2 Prozent Nein-Stimmen abgelehnt."
24,26.9,26.9,73.1,"Buch am Irchel ZH","Buch am Irchel (ZH)","Buch am Irchel ZH","73,1 Prozent Nein zur Erhöhung des Frauenrentenalters auf 65 in Buch am Irchel. Obwohl die Gemeinde der Erhöhung der Mehrwertsteuer mit 69,7 Prozent angenommen hat, ist die AHV-Reform in Buch am Irchel damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Buch am Irchel eine Rentenreform mit 57,9 Prozent Nein-Stimmen abgelehnt."
25,61.8,61.8,38.2,"Dachsen ZH","Dachsen (ZH)","Dachsen ZH","61,8 Prozent der Stimmbürgerinnen und Stimmbürger von Dachsen haben die Erhöhung des Frauenrentenalters auf 65 angenommen. Weil die Gemeinde die Erhöhung der Mehrwertsteuer aber mit 77,3 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Dachsen damit trotzdem gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Dachsen eine Rentenreform mit 52,7 Prozent Nein-Stimmen abgelehnt."
26,28.5,28.5,71.5,"Dorf ZH","Dorf (ZH)","Dorf ZH","In Dorf hat die Stimmbevölkerung die Erhöhung des Frauenrentenalters auf 65 mit 71,5 Prozent abgelehnt. Da die Gemeinde auch die Erhöhung der Mehrwertsteuer mit 55,6 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Dorf damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Dorf eine Rentenreform mit 66,5 Prozent Nein-Stimmen abgelehnt."
27,42.4,42.4,57.6,"Feuerthalen ZH","Feuerthalen (ZH)","Feuerthalen ZH","Keine Mehrheit für die Erhöhung des Frauenrentenalters auf 65 in Feuerthalen: Mit 57,6 Prozent hat die Gemeinde die Vorlage verworfen. Obwohl die Gemeinde der Erhöhung der Mehrwertsteuer mit 62,4 Prozent angenommen hat, ist die AHV-Reform in Feuerthalen damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Feuerthalen eine Rentenreform mit 52 Prozent Nein-Stimmen abgelehnt."
28,31,31,69,"Flaach ZH","Flaach (ZH)","Flaach ZH","In Flaach hat die Erhöhung des Frauenrentenalters auf 65 keine Mehrheit gefunden. Auf 69 Prozent der abgegebenen Stimmzettel stand ein Nein. Da die Gemeinde auch die Erhöhung der Mehrwertsteuer mit 61,1 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Flaach damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Flaach eine Rentenreform mit 61,9 Prozent Nein-Stimmen abgelehnt."
29,52.2,52.2,47.8,"Flurlingen ZH","Flurlingen (ZH)","Flurlingen ZH","52,2 Prozent der Abstimmenden in der Gemeinde Flurlingen haben Ja gesagt zur Erhöhung des Frauenrentenalters auf 65. Weil die Gemeinde die Erhöhung der Mehrwertsteuer aber mit 76,2 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Flurlingen damit trotzdem gescheitert. Damit hat in Flurlingen im Vergleich zur letzten AHV-Abstimmung im Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 53,5 Prozent ein Ja in die Urne gelegt."
30,86.3,86.3,13.7,"Andelfingen ZH","Andelfingen (ZH)","Andelfingen ZH","Ja zur Erhöhung des Frauenrentenalters auf 65 in Andelfingen mit 86,3 Prozent. Weil die Gemeinde die Erhöhung der Mehrwertsteuer aber mit 53,1 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Andelfingen damit trotzdem gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Andelfingen eine Rentenreform mit 51,7 Prozent Nein-Stimmen abgelehnt."
31,74,74,26,"Henggart ZH","Henggart (ZH)","Henggart ZH","74 Prozent der Abstimmenden in der Gemeinde Henggart haben Ja gesagt zur Erhöhung des Frauenrentenalters auf 65. Da die Gemeinde auch der Erhöhung der Mehrwertsteuer mit 68 Prozent zugestimmt hat, ist die AHV-Reform in Henggart damit angenommen worden. Damit hat in Henggart im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 52,1 Prozent ein Nein in die Urne gelegt."
32,26.6,26.6,73.4,"Humlikon ZH","Humlikon (ZH)","Humlikon ZH","73,4 Prozent Nein zur Erhöhung des Frauenrentenalters auf 65 in Humlikon. Obwohl die Gemeinde der Erhöhung der Mehrwertsteuer mit 58,9 Prozent angenommen hat, ist die AHV-Reform in Humlikon damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Humlikon eine Rentenreform mit 66,1 Prozent Nein-Stimmen abgelehnt."
33,90.5,90.5,9.5,"Kleinandelfingen ZH","Kleinandelfingen (ZH)","Kleinandelfingen ZH","Ja zur Erhöhung des Frauenrentenalters auf 65 in Kleinandelfingen mit 90,5 Prozent. Weil die Gemeinde die Erhöhung der Mehrwertsteuer aber mit 71,2 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Kleinandelfingen damit trotzdem gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Kleinandelfingen eine Rentenreform mit 56,9 Prozent Nein-Stimmen abgelehnt."
34,41.5,41.5,58.5,"Laufen-Uhwiesen ZH","Laufen-Uhwiesen (ZH)","Laufen-Uhwiesen ZH","Keine Mehrheit für die Erhöhung des Frauenrentenalters auf 65 in Laufen-Uhwiesen: Mit 58,5 Prozent hat die Gemeinde die Vorlage verworfen. Da die Gemeinde auch die Erhöhung der Mehrwertsteuer mit 64,8 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Laufen-Uhwiesen damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Laufen-Uhwiesen eine Rentenreform mit 58,1 Prozent Nein-Stimmen abgelehnt."
35,57.7,57.7,42.3,"Marthalen ZH","Marthalen (ZH)","Marthalen ZH","Ja zur Erhöhung des Frauenrentenalters auf 65 in Marthalen mit 57,7 Prozent. Da die Gemeinde auch der Erhöhung der Mehrwertsteuer mit 86,2 Prozent zugestimmt hat, ist die AHV-Reform in Marthalen damit angenommen worden. Damit hat in Marthalen im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 61,9 Prozent ein Nein in die Urne gelegt."
37,3.1,3.1,96.9,"Ossingen ZH","Ossingen (ZH)","Ossingen ZH","Ossingen hat die Erhöhung des Frauenrentenalters auf 65 mit 96,9 Prozent abgelehnt. Da die Gemeinde auch die Erhöhung der Mehrwertsteuer mit 64,9 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Ossingen damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Ossingen eine Rentenreform mit 54,3 Prozent Nein-Stimmen abgelehnt."
38,93.7,93.7,6.3,"Rheinau ZH","Rheinau (ZH)","Rheinau ZH","Rheinau hat der Erhöhung des Frauenrentenalters auf 65 mit 93,7 Prozent  zugestimmt. Da die Gemeinde auch der Erhöhung der Mehrwertsteuer mit 51,2 Prozent zugestimmt hat, ist die AHV-Reform in Rheinau damit angenommen worden. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Rheinau der Rentenreform mit 52,7 Prozent zugestimmt."
39,39.4,39.4,60.6,"Thalheim an der Thur ZH","Thalheim an der Thur (ZH)","Thalheim an der Thur ZH","In Thalheim an der Thur hat die Erhöhung des Frauenrentenalters auf 65 keine Mehrheit gefunden. Auf 60,6 Prozent der abgegebenen Stimmzettel stand ein Nein. Obwohl die Gemeinde der Erhöhung der Mehrwertsteuer mit 66,3 Prozent angenommen hat, ist die AHV-Reform in Thalheim an der Thur damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Thalheim an der Thur eine Rentenreform mit 65,6 Prozent Nein-Stimmen abgelehnt."
40,40.3,40.3,59.7,"Trüllikon ZH","Trüllikon (ZH)","Trüllikon ZH","59,7 Prozent Nein zur Erhöhung des Frauenrentenalters auf 65 in Trüllikon. Obwohl die Gemeinde der Erhöhung der Mehrwertsteuer mit 66,1 Prozent angenommen hat, ist die AHV-Reform in Trüllikon damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Trüllikon eine Rentenreform mit 59,6 Prozent Nein-Stimmen abgelehnt."
41,39.6,39.6,60.4,"Truttikon ZH","Truttikon (ZH)","Truttikon ZH","Nein zur Erhöhung des Frauenrentenalters auf 65 in Truttikon. Die Gemeinde hat das Volksbegehren mit 60,4 Prozent abgelehnt. Obwohl die Gemeinde der Erhöhung der Mehrwertsteuer mit 64,1 Prozent angenommen hat, ist die AHV-Reform in Truttikon damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Truttikon eine Rentenreform mit 57,8 Prozent Nein-Stimmen abgelehnt."
43,1.4,1.4,98.6,"Volken ZH","Volken (ZH)","Volken ZH","In Volken hat die Stimmbevölkerung die Erhöhung des Frauenrentenalters auf 65 mit 98,6 Prozent abgelehnt. Obwohl die Gemeinde der Erhöhung der Mehrwertsteuer mit 56,9 Prozent angenommen hat, ist die AHV-Reform in Volken damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Volken eine Rentenreform mit 66,4 Prozent Nein-Stimmen abgelehnt."
51,77.5,77.5,22.5,"Bachenbülach ZH","Bachenbülach (ZH)","Bachenbülach ZH","77,5 Prozent der Stimmbürgerinnen und Stimmbürger von Bachenbülach haben die Erhöhung des Frauenrentenalters auf 65 angenommen. Da die Gemeinde auch der Erhöhung der Mehrwertsteuer mit 77,4 Prozent zugestimmt hat, ist die AHV-Reform in Bachenbülach damit angenommen worden. Damit hat in Bachenbülach im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 53,9 Prozent ein Nein in die Urne gelegt."
52,53.8,53.8,46.2,"Bassersdorf ZH","Bassersdorf (ZH)","Bassersdorf ZH","Die Gemeinde Bassersdorf hat die Erhöhung des Frauenrentenalters auf 65 mit 53,8 Prozent angenommen. Weil die Gemeinde die Erhöhung der Mehrwertsteuer aber mit 74,6 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Bassersdorf damit trotzdem gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Bassersdorf eine Rentenreform mit 53,6 Prozent Nein-Stimmen abgelehnt."
53,21.3,21.3,78.7,"Bülach ZH","Bülach (ZH)","Bülach ZH","Bülach hat die Erhöhung des Frauenrentenalters auf 65 mit 78,7 Prozent abgelehnt. Obwohl die Gemeinde der Erhöhung der Mehrwertsteuer mit 61,9 Prozent angenommen hat, ist die AHV-Reform in Bülach damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Bülach eine Rentenreform mit 51,9 Prozent Nein-Stimmen abgelehnt."
54,55.8,55.8,44.2,"Dietlikon ZH","Dietlikon (ZH)","Dietlikon ZH","55,8 Prozent der Stimmbürgerinnen und Stimmbürger von Dietlikon haben die Erhöhung des Frauenrentenalters auf 65 angenommen. Weil die Gemeinde die Erhöhung der Mehrwertsteuer aber mit 62,7 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Dietlikon damit trotzdem gescheitert."
55,48.9,48.9,51.1,"Eglisau ZH","Eglisau (ZH)","Eglisau ZH","Eglisau hat die Erhöhung des Frauenrentenalters auf 65 mit 51,1 Prozent abgelehnt. Obwohl die Gemeinde der Erhöhung der Mehrwertsteuer mit 67,1 Prozent angenommen hat, ist die AHV-Reform in Eglisau damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Eglisau eine Rentenreform mit 50,9 Prozent Nein-Stimmen abgelehnt."
56,49.6,49.6,50.4,"Embrach ZH","Embrach (ZH)","Embrach ZH","In Embrach hat die Erhöhung des Frauenrentenalters auf 65 keine Mehrheit gefunden. Auf 50,4 Prozent der abgegebenen Stimmzettel stand ein Nein. Obwohl die Gemeinde der Erhöhung der Mehrwertsteuer mit 61,9 Prozent angenommen hat, ist die AHV-Reform in Embrach damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Embrach eine Rentenreform mit 54,5 Prozent Nein-Stimmen abgelehnt."
57,49.4,49.4,50.6,"Freienstein-Teufen ZH","Freienstein-Teufen (ZH)","Freienstein-Teufen ZH","50,6 Prozent der Stimmbürgerinnen und Stimmbürger von Freienstein-Teufen sagen Nein zur Erhöhung des Frauenrentenalters auf 65. Obwohl die Gemeinde der Erhöhung der Mehrwertsteuer mit 88,8 Prozent angenommen hat, ist die AHV-Reform in Freienstein-Teufen damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Freienstein-Teufen eine Rentenreform mit 54,6 Prozent Nein-Stimmen abgelehnt."
58,41.2,41.2,58.8,"Glattfelden ZH","Glattfelden (ZH)","Glattfelden ZH","Nein zur Erhöhung des Frauenrentenalters auf 65 in Glattfelden. Die Gemeinde hat das Volksbegehren mit 58,8 Prozent abgelehnt. Da die Gemeinde auch die Erhöhung der Mehrwertsteuer mit 51,7 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Glattfelden damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Glattfelden eine Rentenreform mit 58,4 Prozent Nein-Stimmen abgelehnt."
59,51.4,51.4,48.6,"Hochfelden ZH","Hochfelden (ZH)","Hochfelden ZH","Die Gemeinde Hochfelden hat die Erhöhung des Frauenrentenalters auf 65 mit 51,4 Prozent angenommen. Da die Gemeinde auch der Erhöhung der Mehrwertsteuer mit 50,8 Prozent zugestimmt hat, ist die AHV-Reform in Hochfelden damit angenommen worden. Damit hat in Hochfelden im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 58,9 Prozent ein Nein in die Urne gelegt."
60,52,52,48,"Höri ZH","Höri (ZH)","Höri ZH","Die Gemeinde Höri hat die Erhöhung des Frauenrentenalters auf 65 mit 52 Prozent angenommen. Da die Gemeinde auch der Erhöhung der Mehrwertsteuer mit 64,2 Prozent zugestimmt hat, ist die AHV-Reform in Höri damit angenommen worden. Damit hat in Höri im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 64 Prozent ein Nein in die Urne gelegt."
61,52.2,52.2,47.8,"Hüntwangen ZH","Hüntwangen (ZH)","Hüntwangen ZH","In Hüntwangen hat die Stimmbevölkerung der Erhöhung des Frauenrentenalters auf 65 mit einem Ja-Stimmen-Anteil von 52,2 Prozent zugestimmt. Da die Gemeinde auch der Erhöhung der Mehrwertsteuer mit 61,7 Prozent zugestimmt hat, ist die AHV-Reform in Hüntwangen damit angenommen worden. Damit hat in Hüntwangen im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 54 Prozent ein Nein in die Urne gelegt."
62,28.1,28.1,71.9,"Kloten ZH","Kloten (ZH)","Kloten ZH","In Kloten hat die Stimmbevölkerung die Erhöhung des Frauenrentenalters auf 65 mit 71,9 Prozent abgelehnt. Obwohl die Gemeinde der Erhöhung der Mehrwertsteuer mit 94,2 Prozent angenommen hat, ist die AHV-Reform in Kloten damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Kloten eine Rentenreform mit 55,9 Prozent Nein-Stimmen abgelehnt."
63,59.7,59.7,40.3,"Lufingen ZH","Lufingen (ZH)","Lufingen ZH","Die Gemeinde Lufingen hat die Erhöhung des Frauenrentenalters auf 65 mit 59,7 Prozent angenommen. Da die Gemeinde auch der Erhöhung der Mehrwertsteuer mit 73,5 Prozent zugestimmt hat, ist die AHV-Reform in Lufingen damit angenommen worden. Damit hat in Lufingen im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 62,6 Prozent ein Nein in die Urne gelegt."
64,35.4,35.4,64.6,"Nürensdorf ZH","Nürensdorf (ZH)","Nürensdorf ZH","In Nürensdorf hat die Stimmbevölkerung die Erhöhung des Frauenrentenalters auf 65 mit 64,6 Prozent abgelehnt. Obwohl die Gemeinde der Erhöhung der Mehrwertsteuer mit 81,6 Prozent angenommen hat, ist die AHV-Reform in Nürensdorf damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Nürensdorf eine Rentenreform mit 59,8 Prozent Nein-Stimmen abgelehnt."
65,53.5,53.5,46.5,"Oberembrach ZH","Oberembrach (ZH)","Oberembrach ZH","53,5 Prozent in Oberembrach sagen Ja zur Erhöhung des Frauenrentenalters auf 65 . Weil die Gemeinde die Erhöhung der Mehrwertsteuer aber mit 99,5 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Oberembrach damit trotzdem gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Oberembrach eine Rentenreform mit 64,7 Prozent Nein-Stimmen abgelehnt."
66,14.1,14.1,85.9,"Opfikon ZH","Opfikon (ZH)","Opfikon ZH","Keine Mehrheit für die Erhöhung des Frauenrentenalters auf 65 in Opfikon: Mit 85,9 Prozent hat die Gemeinde die Vorlage verworfen. Obwohl die Gemeinde der Erhöhung der Mehrwertsteuer mit 59,3 Prozent angenommen hat, ist die AHV-Reform in Opfikon damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Opfikon eine Rentenreform mit 57,3 Prozent Nein-Stimmen abgelehnt."
67,46.9,46.9,53.1,"Rafz ZH","Rafz (ZH)","Rafz ZH","53,1 Prozent Nein zur Erhöhung des Frauenrentenalters auf 65 in Rafz. Da die Gemeinde auch die Erhöhung der Mehrwertsteuer mit 76,8 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Rafz damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Rafz eine Rentenreform mit 54,3 Prozent Nein-Stimmen abgelehnt."
