"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Text_i"
11,69.4,69.4,30.6,"Ottenbach ZH","Ottenbach (ZH)","Ottenbach ZH","Sì all'aumento dell'età pensionabile delle donne a 65 anni nel comune di Ottenbach: i cittadini hanno approvato il testo con il 69,4 percento dei voti. La seconda proposta concernente l'AVS è stata invece respinta con il 49,6 percento dei voti. A Ottenbach come nel 2017 gli elettroi hanno detto no - con il 51,3 percento dei voti – alla riforma dell'AVS."
12,62.3,62.3,37.7,"Rifferswil ZH","Rifferswil (ZH)","Rifferswil ZH","Sì all'aumento dell'età pensionabile delle donne a 65 anni nel comune di Rifferswil: i cittadini hanno approvato il testo con il 62,3 percento dei voti. Anche la seconda proposta concernente l'AVS è stata accettata con il 71,8 percento dei voti. A Rifferswil come nel 2017 gli elettori hanno detto sì - con il 57,7 percento dei voti – alla riforma dell'AVS."
13,4.2,4.2,95.8,"Stallikon ZH","Stallikon (ZH)","Stallikon ZH","Nel comune di Stallikon l'aumento dell'età pensionabile delle donne a 65 anni è stato respinto con il 95,8 percento dei voti. Anche la seconda proposta concernente l'AVS è stata respinta con il 25,9 percento dei voti. A Stallikon come nel 2017 gli elettroi hanno detto no - con il 55,8 percento dei voti – alla riforma dell'AVS."
14,93.6,93.6,6.4,"Wettswil am Albis ZH","Wettswil am Albis (ZH)","Wettswil am Albis ZH","Nel comune di Wettswil am Albis l'aumento dell'età pensionabile delle donne a 65 anni è stato accettato con il 93,6 percento dei voti. La seconda proposta concernente l'AVS è stata invece respinta con il 45,2 percento dei voti. A Wettswil am Albis come nel 2017 gli elettroi hanno detto no - con il 52,3 percento dei voti – alla riforma dell'AVS."
21,38.2,38.2,61.8,"Adlikon ZH","Adlikon (ZH)","Adlikon ZH","A Adlikon i cittadini hanno respinto, con il 61,8 percento dei voti, l'aumento dell'età pensionabile delle donne a 65 anni. Anche la seconda proposta concernente l'AVS è stata respinta con il 33,4 percento dei voti. A Adlikon come nel 2017 gli elettroi hanno detto no - con il 65 percento dei voti – alla riforma dell'AVS."
22,71.6,71.6,28.4,"Benken ZH","Benken (ZH)","Benken ZH","Da Benken ZH è arrivato un ""sì"" alle urne per l'aumento dell'età pensionabile delle donne a 65 anni. I cittadini hanno accolto il testo con il 71,6 percento dei voti. La seconda proposta concernente l'AVS è stata invece respinta con il 43,3 percento dei voti. A Benken ZH come nel 2017 gli elettroi hanno detto no - con il 65,8 percento dei voti – alla riforma dell'AVS."
23,33.9,33.9,66.1,"Berg am Irchel ZH","Berg am Irchel (ZH)","Berg am Irchel ZH","Con il 66,1 percento di ""no"", i cittadini del comune di Berg am Irchel hanno bocciato l'aumento dell'età pensionabile delle donne a 65 anni. La seconda proposta concernente l'AVS è stata invece accettata con il 51,3 percento dei voti. A Berg am Irchel come nel 2017 gli elettroi hanno detto no - con il 60,2 percento dei voti – alla riforma dell'AVS."
24,26.9,26.9,73.1,"Buch am Irchel ZH","Buch am Irchel (ZH)","Buch am Irchel ZH","A Buch am Irchel i cittadini hanno respinto, con il 73,1 percento dei voti, l'aumento dell'età pensionabile delle donne a 65 anni. La seconda proposta concernente l'AVS è stata invece accettata con il 69,7 percento dei voti. A Buch am Irchel come nel 2017 gli elettroi hanno detto no - con il 57,9 percento dei voti – alla riforma dell'AVS."
25,61.8,61.8,38.2,"Dachsen ZH","Dachsen (ZH)","Dachsen ZH","A Dachsen i cittadini hanno accolto, con il 61,8 percento dei voti, l'aumento dell'età pensionabile delle donne a 65 anni. La seconda proposta concernente l'AVS è stata invece respinta con il 22,7 percento dei voti. A Dachsen come nel 2017 gli elettroi hanno detto no - con il 52,7 percento dei voti – alla riforma dell'AVS."
26,28.5,28.5,71.5,"Dorf ZH","Dorf (ZH)","Dorf ZH","I cittadini di Dorf si sono opposti all'aumento dell'età pensionabile delle donne a 65 anni. Il testo è stato respinto con il 71,5 percento dei voti. Anche la seconda proposta concernente l'AVS è stata respinta con il 44,4 percento dei voti. A Dorf come nel 2017 gli elettroi hanno detto no - con il 66,5 percento dei voti – alla riforma dell'AVS."
27,42.4,42.4,57.6,"Feuerthalen ZH","Feuerthalen (ZH)","Feuerthalen ZH","Con il 57,6 percento di ""no"", i cittadini del comune di Feuerthalen hanno bocciato l'aumento dell'età pensionabile delle donne a 65 anni. La seconda proposta concernente l'AVS è stata invece accettata con il 62,4 percento dei voti. A Feuerthalen come nel 2017 gli elettroi hanno detto no - con il 52 percento dei voti – alla riforma dell'AVS."
28,31,31,69,"Flaach ZH","Flaach (ZH)","Flaach ZH","Nel comune di Flaach l'aumento dell'età pensionabile delle donne a 65 anni è stato bocciato con il 69 percento dei voti. Anche la seconda proposta concernente l'AVS è stata respinta con il 38,9 percento dei voti. A Flaach come nel 2017 gli elettroi hanno detto no - con il 61,9 percento dei voti – alla riforma dell'AVS."
29,52.2,52.2,47.8,"Flurlingen ZH","Flurlingen (ZH)","Flurlingen ZH","Con il 52,2 percento di ""sì"", i cittadini del comune di Flurlingen hanno accolto l'aumento dell'età pensionabile delle donne a 65 anni. La seconda proposta concernente l'AVS è stata invece respinta con il 23,8 percento dei voti. Flurlingen ha cambiato fazione: nel 2017 era a favore della riforma AVS, mentre ora la boccia."
30,86.3,86.3,13.7,"Andelfingen ZH","Andelfingen (ZH)","Andelfingen ZH","Sì all'aumento dell'età pensionabile delle donne a 65 anni nel comune di Andelfingen: i cittadini hanno approvato il testo con il 86,3 percento dei voti. La seconda proposta concernente l'AVS è stata invece respinta con il 46,9 percento dei voti. A Andelfingen come nel 2017 gli elettroi hanno detto no - con il 51,7 percento dei voti – alla riforma dell'AVS."
31,74,74,26,"Henggart ZH","Henggart (ZH)","Henggart ZH","Con il 74 percento di ""sì"", i cittadini del comune di Henggart hanno accolto l'aumento dell'età pensionabile delle donne a 65 anni. Anche la seconda proposta concernente l'AVS è stata accettata con il 68 percento dei voti. Henggart ha cambiato fazione: nel 2017 aveva rifiutato la riforma dell'AVS, mentre ora la approva."
32,26.6,26.6,73.4,"Humlikon ZH","Humlikon (ZH)","Humlikon ZH","A Humlikon i cittadini hanno respinto, con il 73,4 percento dei voti, l'aumento dell'età pensionabile delle donne a 65 anni. La seconda proposta concernente l'AVS è stata invece accettata con il 58,9 percento dei voti. A Humlikon come nel 2017 gli elettroi hanno detto no - con il 66,1 percento dei voti – alla riforma dell'AVS."
33,90.5,90.5,9.5,"Kleinandelfingen ZH","Kleinandelfingen (ZH)","Kleinandelfingen ZH","Sì all'aumento dell'età pensionabile delle donne a 65 anni nel comune di Kleinandelfingen: i cittadini hanno approvato il testo con il 90,5 percento dei voti. La seconda proposta concernente l'AVS è stata invece respinta con il 28,8 percento dei voti. A Kleinandelfingen come nel 2017 gli elettroi hanno detto no - con il 56,9 percento dei voti – alla riforma dell'AVS."
34,41.5,41.5,58.5,"Laufen-Uhwiesen ZH","Laufen-Uhwiesen (ZH)","Laufen-Uhwiesen ZH","Con il 58,5 percento di ""no"", i cittadini del comune di Laufen-Uhwiesen hanno bocciato l'aumento dell'età pensionabile delle donne a 65 anni. Anche la seconda proposta concernente l'AVS è stata respinta con il 35,2 percento dei voti. A Laufen-Uhwiesen come nel 2017 gli elettroi hanno detto no - con il 58,1 percento dei voti – alla riforma dell'AVS."
35,57.7,57.7,42.3,"Marthalen ZH","Marthalen (ZH)","Marthalen ZH","Sì all'aumento dell'età pensionabile delle donne a 65 anni nel comune di Marthalen: i cittadini hanno approvato il testo con il 57,7 percento dei voti. Anche la seconda proposta concernente l'AVS è stata accettata con il 86,2 percento dei voti. Marthalen ha cambiato fazione: nel 2017 aveva rifiutato la riforma dell'AVS, mentre ora la approva."
37,3.1,3.1,96.9,"Ossingen ZH","Ossingen (ZH)","Ossingen ZH","Da Ossingen è arrivato un ""no"" alle urne per l'aumento dell'età pensionabile delle donne a 65 anni. I cittadini hanno respinto il testo con il 96,9 percento dei voti. Anche la seconda proposta concernente l'AVS è stata respinta con il 35,1 percento dei voti. A Ossingen come nel 2017 gli elettroi hanno detto no - con il 54,3 percento dei voti – alla riforma dell'AVS."
38,93.7,93.7,6.3,"Rheinau ZH","Rheinau (ZH)","Rheinau ZH","Nel comune di Rheinau l'aumento dell'età pensionabile delle donne a 65 anni è stato accettato con il 93,7 percento dei voti. Anche la seconda proposta concernente l'AVS è stata accettata con il 51,2 percento dei voti. A Rheinau come nel 2017 gli elettori hanno detto sì - con il 52,7 percento dei voti – alla riforma dell'AVS."
39,39.4,39.4,60.6,"Thalheim an der Thur ZH","Thalheim an der Thur (ZH)","Thalheim an der Thur ZH","Nel comune di Thalheim an der Thur l'aumento dell'età pensionabile delle donne a 65 anni è stato bocciato con il 60,6 percento dei voti. La seconda proposta concernente l'AVS è stata invece accettata con il 66,3 percento dei voti. A Thalheim an der Thur come nel 2017 gli elettroi hanno detto no - con il 65,6 percento dei voti – alla riforma dell'AVS."
40,40.3,40.3,59.7,"Trüllikon ZH","Trüllikon (ZH)","Trüllikon ZH","A Trüllikon i cittadini hanno respinto, con il 59,7 percento dei voti, l'aumento dell'età pensionabile delle donne a 65 anni. La seconda proposta concernente l'AVS è stata invece accettata con il 66,1 percento dei voti. A Trüllikon come nel 2017 gli elettroi hanno detto no - con il 59,6 percento dei voti – alla riforma dell'AVS."
41,39.6,39.6,60.4,"Truttikon ZH","Truttikon (ZH)","Truttikon ZH","Nel comune di Truttikon l'aumento dell'età pensionabile delle donne a 65 anni è stato respinto con il 60,4 percento dei voti. La seconda proposta concernente l'AVS è stata invece accettata con il 64,1 percento dei voti. A Truttikon come nel 2017 gli elettroi hanno detto no - con il 57,8 percento dei voti – alla riforma dell'AVS."
43,1.4,1.4,98.6,"Volken ZH","Volken (ZH)","Volken ZH","I cittadini di Volken si sono opposti all'aumento dell'età pensionabile delle donne a 65 anni. Il testo è stato respinto con il 98,6 percento dei voti. La seconda proposta concernente l'AVS è stata invece accettata con il 56,9 percento dei voti. A Volken come nel 2017 gli elettroi hanno detto no - con il 66,4 percento dei voti – alla riforma dell'AVS."
51,77.5,77.5,22.5,"Bachenbülach ZH","Bachenbülach (ZH)","Bachenbülach ZH","A Bachenbülach i cittadini hanno accolto, con il 77,5 percento dei voti, l'aumento dell'età pensionabile delle donne a 65 anni. Anche la seconda proposta concernente l'AVS è stata accettata con il 77,4 percento dei voti. Bachenbülach ha cambiato fazione: nel 2017 aveva rifiutato la riforma dell'AVS, mentre ora la approva."
52,53.8,53.8,46.2,"Bassersdorf ZH","Bassersdorf (ZH)","Bassersdorf ZH","Nel comune di Bassersdorf l'aumento dell'età pensionabile delle donne a 65 anni è stato approvato con il 53,8 percento dei voti. La seconda proposta concernente l'AVS è stata invece respinta con il 25,4 percento dei voti. A Bassersdorf come nel 2017 gli elettroi hanno detto no - con il 53,6 percento dei voti – alla riforma dell'AVS."
53,21.3,21.3,78.7,"Bülach ZH","Bülach (ZH)","Bülach ZH","Da Bülach è arrivato un ""no"" alle urne per l'aumento dell'età pensionabile delle donne a 65 anni. I cittadini hanno respinto il testo con il 78,7 percento dei voti. La seconda proposta concernente l'AVS è stata invece accettata con il 61,9 percento dei voti. A Bülach come nel 2017 gli elettroi hanno detto no - con il 51,9 percento dei voti – alla riforma dell'AVS."
54,55.8,55.8,44.2,"Dietlikon ZH","Dietlikon (ZH)","Dietlikon ZH","A Dietlikon i cittadini hanno accolto, con il 55,8 percento dei voti, l'aumento dell'età pensionabile delle donne a 65 anni. La seconda proposta concernente l'AVS è stata invece respinta con il 37,3 percento dei voti."
55,48.9,48.9,51.1,"Eglisau ZH","Eglisau (ZH)","Eglisau ZH","Da Eglisau è arrivato un ""no"" alle urne per l'aumento dell'età pensionabile delle donne a 65 anni. I cittadini hanno respinto il testo con il 51,1 percento dei voti. La seconda proposta concernente l'AVS è stata invece accettata con il 67,1 percento dei voti. A Eglisau come nel 2017 gli elettroi hanno detto no - con il 50,9 percento dei voti – alla riforma dell'AVS."
56,49.6,49.6,50.4,"Embrach ZH","Embrach (ZH)","Embrach ZH","Nel comune di Embrach l'aumento dell'età pensionabile delle donne a 65 anni è stato bocciato con il 50,4 percento dei voti. La seconda proposta concernente l'AVS è stata invece accettata con il 61,9 percento dei voti. A Embrach come nel 2017 gli elettroi hanno detto no - con il 54,5 percento dei voti – alla riforma dell'AVS."
57,49.4,49.4,50.6,"Freienstein-Teufen ZH","Freienstein-Teufen (ZH)","Freienstein-Teufen ZH","No all'aumento dell'età pensionabile delle donne a 65 anni nel comune di Freienstein-Teufen: i cittadini hanno bocciato il testo con il 50,6 percento dei voti. La seconda proposta concernente l'AVS è stata invece accettata con il 88,8 percento dei voti. A Freienstein-Teufen come nel 2017 gli elettroi hanno detto no - con il 54,6 percento dei voti – alla riforma dell'AVS."
58,41.2,41.2,58.8,"Glattfelden ZH","Glattfelden (ZH)","Glattfelden ZH","Nel comune di Glattfelden l'aumento dell'età pensionabile delle donne a 65 anni è stato respinto con il 58,8 percento dei voti. Anche la seconda proposta concernente l'AVS è stata respinta con il 48,3 percento dei voti. A Glattfelden come nel 2017 gli elettroi hanno detto no - con il 58,4 percento dei voti – alla riforma dell'AVS."
59,51.4,51.4,48.6,"Hochfelden ZH","Hochfelden (ZH)","Hochfelden ZH","Nel comune di Hochfelden l'aumento dell'età pensionabile delle donne a 65 anni è stato approvato con il 51,4 percento dei voti. Anche la seconda proposta concernente l'AVS è stata accettata con il 50,8 percento dei voti. Hochfelden ha cambiato fazione: nel 2017 aveva rifiutato la riforma dell'AVS, mentre ora la approva."
60,52,52,48,"Höri ZH","Höri (ZH)","Höri ZH","Nel comune di Höri l'aumento dell'età pensionabile delle donne a 65 anni è stato approvato con il 52 percento dei voti. Anche la seconda proposta concernente l'AVS è stata accettata con il 64,2 percento dei voti. Höri ha cambiato fazione: nel 2017 aveva rifiutato la riforma dell'AVS, mentre ora la approva."
61,52.2,52.2,47.8,"Hüntwangen ZH","Hüntwangen (ZH)","Hüntwangen ZH","I cittadini di Hüntwangen si sono espressi a favore dell'aumento dell'età pensionabile delle donne a 65 anni. Il testo è stato approvato con il 52,2 percento dei voti. Anche la seconda proposta concernente l'AVS è stata accettata con il 61,7 percento dei voti. Hüntwangen ha cambiato fazione: nel 2017 aveva rifiutato la riforma dell'AVS, mentre ora la approva."
62,28.1,28.1,71.9,"Kloten ZH","Kloten (ZH)","Kloten ZH","I cittadini di Kloten si sono opposti all'aumento dell'età pensionabile delle donne a 65 anni. Il testo è stato respinto con il 71,9 percento dei voti. La seconda proposta concernente l'AVS è stata invece accettata con il 94,2 percento dei voti. A Kloten come nel 2017 gli elettroi hanno detto no - con il 55,9 percento dei voti – alla riforma dell'AVS."
63,59.7,59.7,40.3,"Lufingen ZH","Lufingen (ZH)","Lufingen ZH","Nel comune di Lufingen l'aumento dell'età pensionabile delle donne a 65 anni è stato approvato con il 59,7 percento dei voti. Anche la seconda proposta concernente l'AVS è stata accettata con il 73,5 percento dei voti. Lufingen ha cambiato fazione: nel 2017 aveva rifiutato la riforma dell'AVS, mentre ora la approva."
64,35.4,35.4,64.6,"Nürensdorf ZH","Nürensdorf (ZH)","Nürensdorf ZH","I cittadini di Nürensdorf si sono opposti all'aumento dell'età pensionabile delle donne a 65 anni. Il testo è stato respinto con il 64,6 percento dei voti. La seconda proposta concernente l'AVS è stata invece accettata con il 81,6 percento dei voti. A Nürensdorf come nel 2017 gli elettroi hanno detto no - con il 59,8 percento dei voti – alla riforma dell'AVS."
65,53.5,53.5,46.5,"Oberembrach ZH","Oberembrach (ZH)","Oberembrach ZH","Da Oberembrach è arrivato un ""sì"" alle urne per l'aumento dell'età pensionabile delle donne a 65 anni. I cittadini hanno accolto il testo con il 53,5 percento dei voti. La seconda proposta concernente l'AVS è stata invece respinta con il 0,5 percento dei voti. A Oberembrach come nel 2017 gli elettroi hanno detto no - con il 64,7 percento dei voti – alla riforma dell'AVS."
66,14.1,14.1,85.9,"Opfikon ZH","Opfikon (ZH)","Opfikon ZH","Con il 85,9 percento di ""no"", i cittadini del comune di Opfikon hanno bocciato l'aumento dell'età pensionabile delle donne a 65 anni. La seconda proposta concernente l'AVS è stata invece accettata con il 59,3 percento dei voti. A Opfikon come nel 2017 gli elettroi hanno detto no - con il 57,3 percento dei voti – alla riforma dell'AVS."
67,46.9,46.9,53.1,"Rafz ZH","Rafz (ZH)","Rafz ZH","A Rafz i cittadini hanno respinto, con il 53,1 percento dei voti, l'aumento dell'età pensionabile delle donne a 65 anni. Anche la seconda proposta concernente l'AVS è stata respinta con il 23,2 percento dei voti. A Rafz come nel 2017 gli elettroi hanno detto no - con il 54,3 percento dei voti – alla riforma dell'AVS."
68,15.3,15.3,84.7,"Rorbas ZH","Rorbas (ZH)","Rorbas ZH","I cittadini di Rorbas si sono opposti all'aumento dell'età pensionabile delle donne a 65 anni. Il testo è stato respinto con il 84,7 percento dei voti. La seconda proposta concernente l'AVS è stata invece accettata con il 57,4 percento dei voti. A Rorbas come nel 2017 gli elettroi hanno detto no - con il 54 percento dei voti – alla riforma dell'AVS."
69,70,70,30,"Wallisellen ZH","Wallisellen (ZH)","Wallisellen ZH","Nel comune di Wallisellen l'aumento dell'età pensionabile delle donne a 65 anni è stato accettato con il 70 percento dei voti. La seconda proposta concernente l'AVS è stata invece respinta con il 47,2 percento dei voti. A Wallisellen come nel 2017 gli elettroi hanno detto no - con il 53,3 percento dei voti – alla riforma dell'AVS."
70,92.3,92.3,7.7,"Wasterkingen ZH","Wasterkingen (ZH)","Wasterkingen ZH","Nel comune di Wasterkingen l'aumento dell'età pensionabile delle donne a 65 anni è stato approvato con il 92,3 percento dei voti. La seconda proposta concernente l'AVS è stata invece respinta con il 49,8 percento dei voti. A Wasterkingen come nel 2017 gli elettroi hanno detto no - con il 55,6 percento dei voti – alla riforma dell'AVS."
71,73.3,73.3,26.7,"Wil ZH","Wil (ZH)","Wil ZH ZH","Nel comune di Wil ZH l'aumento dell'età pensionabile delle donne a 65 anni è stato approvato con il 73,3 percento dei voti. Anche la seconda proposta concernente l'AVS è stata accettata con il 61,4 percento dei voti. Wil ZH ha cambiato fazione: nel 2017 aveva rifiutato la riforma dell'AVS, mentre ora la approva."
72,6.4,6.4,93.6,"Winkel ZH","Winkel (ZH)","Winkel ZH","Con il 93,6 percento di ""no"", i cittadini del comune di Winkel hanno bocciato l'aumento dell'età pensionabile delle donne a 65 anni. La seconda proposta concernente l'AVS è stata invece accettata con il 75,8 percento dei voti. A Winkel come nel 2017 gli elettroi hanno detto no - con il 61,8 percento dei voti – alla riforma dell'AVS."
81,96.7,96.7,3.3,"Bachs ZH","Bachs (ZH)","Bachs ZH","I cittadini di Bachs si sono espressi a favore dell'aumento dell'età pensionabile delle donne a 65 anni. Il testo è stato approvato con il 96,7 percento dei voti. La seconda proposta concernente l'AVS è stata invece respinta con il 43,7 percento dei voti. A Bachs come nel 2017 gli elettroi hanno detto no - con il 61,5 percento dei voti – alla riforma dell'AVS."
82,6.4,6.4,93.6,"Boppelsen ZH","Boppelsen (ZH)","Boppelsen ZH","Nel comune di Boppelsen l'aumento dell'età pensionabile delle donne a 65 anni è stato bocciato con il 93,6 percento dei voti. La seconda proposta concernente l'AVS è stata invece accettata con il 57,2 percento dei voti. A Boppelsen come nel 2017 gli elettroi hanno detto no - con il 53,3 percento dei voti – alla riforma dell'AVS."
83,43.5,43.5,56.5,"Buchs ZH","Buchs (ZH)","Buchs ZH","Nel comune di Buchs ZH l'aumento dell'età pensionabile delle donne a 65 anni è stato bocciato con il 56,5 percento dei voti. La seconda proposta concernente l'AVS è stata invece accettata con il 72,4 percento dei voti. A Buchs ZH come nel 2017 gli elettroi hanno detto no - con il 59 percento dei voti – alla riforma dell'AVS."
84,55.6,55.6,44.4,"Dällikon ZH","Dällikon (ZH)","Dällikon ZH","Da Dällikon è arrivato un ""sì"" alle urne per l'aumento dell'età pensionabile delle donne a 65 anni. I cittadini hanno accolto il testo con il 55,6 percento dei voti. La seconda proposta concernente l'AVS è stata invece respinta con il 46 percento dei voti. A Dällikon come nel 2017 gli elettroi hanno detto no - con il 58,6 percento dei voti – alla riforma dell'AVS."
85,83.1,83.1,16.9,"Dänikon ZH","Dänikon (ZH)","Dänikon ZH","Nel comune di Dänikon l'aumento dell'età pensionabile delle donne a 65 anni è stato accettato con il 83,1 percento dei voti. Anche la seconda proposta concernente l'AVS è stata accettata con il 61,3 percento dei voti. Dänikon ha cambiato fazione: nel 2017 aveva rifiutato la riforma dell'AVS, mentre ora la approva."
86,33.1,33.1,66.9,"Dielsdorf ZH","Dielsdorf (ZH)","Dielsdorf ZH","Nel comune di Dielsdorf l'aumento dell'età pensionabile delle donne a 65 anni è stato respinto con il 66,9 percento dei voti. Anche la seconda proposta concernente l'AVS è stata respinta con il 45,8 percento dei voti. A Dielsdorf come nel 2017 gli elettroi hanno detto no - con il 58,2 percento dei voti – alla riforma dell'AVS."
87,36.9,36.9,63.1,"Hüttikon ZH","Hüttikon (ZH)","Hüttikon ZH","Da Hüttikon è arrivato un ""no"" alle urne per l'aumento dell'età pensionabile delle donne a 65 anni. I cittadini hanno respinto il testo con il 63,1 percento dei voti. La seconda proposta concernente l'AVS è stata invece accettata con il 65,7 percento dei voti. A Hüttikon come nel 2017 gli elettroi hanno detto no - con il 63,8 percento dei voti – alla riforma dell'AVS."
88,7.6,7.6,92.4,"Neerach ZH","Neerach (ZH)","Neerach ZH","A Neerach i cittadini hanno respinto, con il 92,4 percento dei voti, l'aumento dell'età pensionabile delle donne a 65 anni. La seconda proposta concernente l'AVS è stata invece accettata con il 73,3 percento dei voti. A Neerach come nel 2017 gli elettroi hanno detto no - con il 63,1 percento dei voti – alla riforma dell'AVS."
89,45.6,45.6,54.4,"Niederglatt ZH","Niederglatt (ZH)","Niederglatt ZH","Con il 54,4 percento di ""no"", i cittadini del comune di Niederglatt hanno bocciato l'aumento dell'età pensionabile delle donne a 65 anni. La seconda proposta concernente l'AVS è stata invece accettata con il 61,6 percento dei voti. A Niederglatt come nel 2017 gli elettroi hanno detto no - con il 62,4 percento dei voti – alla riforma dell'AVS."
90,56.9,56.9,43.1,"Niederhasli ZH","Niederhasli (ZH)","Niederhasli ZH","I cittadini di Niederhasli si sono espressi a favore dell'aumento dell'età pensionabile delle donne a 65 anni. Il testo è stato approvato con il 56,9 percento dei voti. La seconda proposta concernente l'AVS è stata invece respinta con il 8,6 percento dei voti. A Niederhasli come nel 2017 gli elettroi hanno detto no - con il 56,8 percento dei voti – alla riforma dell'AVS."
91,58.4,58.4,41.6,"Niederweningen ZH","Niederweningen (ZH)","Niederweningen ZH","Con il 58,4 percento di ""sì"", i cittadini del comune di Niederweningen hanno accolto l'aumento dell'età pensionabile delle donne a 65 anni. Anche la seconda proposta concernente l'AVS è stata accettata con il 79,5 percento dei voti. A Niederweningen come nel 2017 gli elettori hanno detto sì - con il 50,4 percento dei voti – alla riforma dell'AVS."
92,29.2,29.2,70.8,"Oberglatt ZH","Oberglatt (ZH)","Oberglatt ZH","No all'aumento dell'età pensionabile delle donne a 65 anni nel comune di Oberglatt: i cittadini hanno bocciato il testo con il 70,8 percento dei voti. Anche la seconda proposta concernente l'AVS è stata respinta con il 37,9 percento dei voti. A Oberglatt come nel 2017 gli elettroi hanno detto no - con il 60,5 percento dei voti – alla riforma dell'AVS."
