"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Text_f"
23,33.9,33.9,66.1,"Berg am Irchel ZH","Berg am Irchel (ZH)","Berg am Irchel ZH","C'est non à 66,1 pour cent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, à Berg am Irchel. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 51,3 pour cent des suffrages. Les citoyens de Berg am Irchel avaient déjà refusé la précédente révision de l'AVS en 2017."
24,26.9,26.9,73.1,"Buch am Irchel ZH","Buch am Irchel (ZH)","Buch am Irchel ZH","La réforme de l'AVS, qui prévoit de relever d'un an l'âge du départ à la retraite des femmes, échoue à Buch am Irchel avec 73,1 pour cent de non. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 69,7 pour cent des suffrages. Les citoyens de Buch am Irchel avaient déjà refusé la précédente révision de l'AVS en 2017."
25,61.8,61.8,38.2,"Dachsen ZH","Dachsen (ZH)","Dachsen ZH","Les électeurs de Dachsen valident la révision de l'AVS, qui prévoit de relever l'âge du départ à la retraite des femmes, avec 61,8 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 77,3 pour cent de non. Les citoyens de Dachsen avaient déjà refusé la précédente révision de l'AVS en 2017."
26,28.5,28.5,71.5,"Dorf ZH","Dorf (ZH)","Dorf ZH","A Dorf, les habitants sont défavorables à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 71,5 pour cent de non. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 55,6 pour cent de non. Les citoyens de Dorf avaient déjà refusé la précédente révision de l'AVS en 2017."
27,42.4,42.4,57.6,"Feuerthalen ZH","Feuerthalen (ZH)","Feuerthalen ZH","C'est non à 57,6 pour cent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, à Feuerthalen. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 62,4 pour cent des suffrages. Les citoyens de Feuerthalen avaient déjà refusé la précédente révision de l'AVS en 2017."
28,31,31,69,"Flaach ZH","Flaach (ZH)","Flaach ZH","Les habitants de Flaach rejettent la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 69 pour cent de non. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 61,1 pour cent de non. Les citoyens de Flaach avaient déjà refusé la précédente révision de l'AVS en 2017."
29,52.2,52.2,47.8,"Flurlingen ZH","Flurlingen (ZH)","Flurlingen ZH","C'est oui à 52,2 pour cent à la réforme de l'AVS à Flurlingen. Les femmes partiront à la retraite à l'âge de auf 65 ans. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 76,2 pour cent de non. Flurlingen avait accepté la précédente révision en 2017. Elle dit non cette fois-ci."
30,86.3,86.3,13.7,"Andelfingen ZH","Andelfingen (ZH)","Andelfingen ZH","Les habitants d'Andelfingen approuvent la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 86,3 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 53,1 pour cent de non. Les citoyens d'Andelfingen avaient déjà refusé la précédente révision de l'AVS en 2017."
31,74,74,26,"Henggart ZH","Henggart (ZH)","Henggart ZH","C'est oui à 74 pour cent à la réforme de l'AVS à Henggart. Les femmes partiront à la retraite à l'âge de auf 65 ans. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée par 68 pour cent des voix. Dans le camp du non en 2017 lors de la précédente révision de l'AVS, Henggart passe cette fois-ci du côté du oui."
32,26.6,26.6,73.4,"Humlikon ZH","Humlikon (ZH)","Humlikon ZH","La réforme de l'AVS, qui prévoit de relever d'un an l'âge du départ à la retraite des femmes, échoue à Humlikon avec 73,4 pour cent de non. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 58,9 pour cent des suffrages. Les citoyens de Humlikon avaient déjà refusé la précédente révision de l'AVS en 2017."
33,90.5,90.5,9.5,"Kleinandelfingen ZH","Kleinandelfingen (ZH)","Kleinandelfingen ZH","Les habitants de Kleinandelfingen approuvent la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 90,5 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 71,2 pour cent de non. Les citoyens de Kleinandelfingen avaient déjà refusé la précédente révision de l'AVS en 2017."
34,41.5,41.5,58.5,"Laufen-Uhwiesen ZH","Laufen-Uhwiesen (ZH)","Laufen-Uhwiesen ZH","C'est non à 58,5 pour cent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, à Laufen-Uhwiesen. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 64,8 pour cent de non. Les citoyens de Laufen-Uhwiesen avaient déjà refusé la précédente révision de l'AVS en 2017."
35,57.7,57.7,42.3,"Marthalen ZH","Marthalen (ZH)","Marthalen ZH","Les habitants de Marthalen approuvent la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 57,7 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée par 86,2 pour cent des voix. Dans le camp du non en 2017 lors de la précédente révision de l'AVS, Marthalen passe cette fois-ci du côté du oui."
37,3.1,3.1,96.9,"Ossingen ZH","Ossingen (ZH)","Ossingen ZH","La réforme de l'AVS, qui prévoit de relever d'un an l'âge du départ à la retraite des femmes, ne passe pas la rampe à Ossingen avec 96,9 pour cent des suffrages. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 64,9 pour cent de non. Les citoyens d'Ossingen avaient déjà refusé la précédente révision de l'AVS en 2017."
38,93.7,93.7,6.3,"Rheinau ZH","Rheinau (ZH)","Rheinau ZH","Les habitants de Rheinau acceptent la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 93,7 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée par 51,2 pour cent des voix. Les électeurs de Rheinau avaient déjà voté oui à la précédente réforme de l'AVS en 2017."
39,39.4,39.4,60.6,"Thalheim an der Thur ZH","Thalheim an der Thur (ZH)","Thalheim an der Thur ZH","Les habitants de Thalheim an der Thur rejettent la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 60,6 pour cent de non. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 66,3 pour cent des suffrages. Les citoyens de Thalheim an der Thur avaient déjà refusé la précédente révision de l'AVS en 2017."
40,40.3,40.3,59.7,"Trüllikon ZH","Trüllikon (ZH)","Trüllikon ZH","La réforme de l'AVS, qui prévoit de relever d'un an l'âge du départ à la retraite des femmes, échoue à Trüllikon avec 59,7 pour cent de non. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 66,1 pour cent des suffrages. Les citoyens de Trüllikon avaient déjà refusé la précédente révision de l'AVS en 2017."
41,39.6,39.6,60.4,"Truttikon ZH","Truttikon (ZH)","Truttikon ZH","A Truttikon, les habitants disent non à 60,4 pour cent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 64,1 pour cent des suffrages. Les citoyens de Truttikon avaient déjà refusé la précédente révision de l'AVS en 2017."
43,1.4,1.4,98.6,"Volken ZH","Volken (ZH)","Volken ZH","A Volken, les habitants sont défavorables à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 98,6 pour cent de non. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 56,9 pour cent des suffrages. Les citoyens de Volken avaient déjà refusé la précédente révision de l'AVS en 2017."
51,77.5,77.5,22.5,"Bachenbülach ZH","Bachenbülach (ZH)","Bachenbülach ZH","Les électeurs de Bachenbülach valident la révision de l'AVS, qui prévoit de relever l'âge du départ à la retraite des femmes, avec 77,5 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée par 77,4 pour cent des voix. Dans le camp du non en 2017 lors de la précédente révision de l'AVS, Bachenbülach passe cette fois-ci du côté du oui."
52,53.8,53.8,46.2,"Bassersdorf ZH","Bassersdorf (ZH)","Bassersdorf ZH","A Bassersdorf, les habitants disent oui à 53,8 pour cent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 74,6 pour cent de non. Les citoyens de Bassersdorf avaient déjà refusé la précédente révision de l'AVS en 2017."
53,21.3,21.3,78.7,"Bülach ZH","Bülach (ZH)","Bülach ZH","La réforme de l'AVS, qui prévoit de relever d'un an l'âge du départ à la retraite des femmes, ne passe pas la rampe à Bülach avec 78,7 pour cent des suffrages. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 61,9 pour cent des suffrages. Les citoyens de Bülach avaient déjà refusé la précédente révision de l'AVS en 2017."
54,55.8,55.8,44.2,"Dietlikon ZH","Dietlikon (ZH)","Dietlikon ZH","Les électeurs de Dietlikon valident la révision de l'AVS, qui prévoit de relever l'âge du départ à la retraite des femmes, avec 55,8 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 62,7 pour cent de non."
55,48.9,48.9,51.1,"Eglisau ZH","Eglisau (ZH)","Eglisau ZH","La réforme de l'AVS, qui prévoit de relever d'un an l'âge du départ à la retraite des femmes, ne passe pas la rampe à Eglisau avec 51,1 pour cent des suffrages. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 67,1 pour cent des suffrages. Les citoyens d'Eglisau avaient déjà refusé la précédente révision de l'AVS en 2017."
56,49.6,49.6,50.4,"Embrach ZH","Embrach (ZH)","Embrach ZH","Les habitants d'Embrach rejettent la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 50,4 pour cent de non. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 61,9 pour cent des suffrages. Les citoyens d'Embrach avaient déjà refusé la précédente révision de l'AVS en 2017."
57,49.4,49.4,50.6,"Freienstein-Teufen ZH","Freienstein-Teufen (ZH)","Freienstein-Teufen ZH","Les habitants de Freienstein-Teufen s'opposent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 50,6 pour cent de non. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 88,8 pour cent des suffrages. Les citoyens de Freienstein-Teufen avaient déjà refusé la précédente révision de l'AVS en 2017."
58,41.2,41.2,58.8,"Glattfelden ZH","Glattfelden (ZH)","Glattfelden ZH","A Glattfelden, les habitants disent non à 58,8 pour cent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 51,7 pour cent de non. Les citoyens de Glattfelden avaient déjà refusé la précédente révision de l'AVS en 2017."
59,51.4,51.4,48.6,"Hochfelden ZH","Hochfelden (ZH)","Hochfelden ZH","A Hochfelden, les habitants disent oui à 51,4 pour cent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée par 50,8 pour cent des voix. Dans le camp du non en 2017 lors de la précédente révision de l'AVS, Hochfelden passe cette fois-ci du côté du oui."
60,52,52,48,"Höri ZH","Höri (ZH)","Höri ZH","A Höri, les habitants disent oui à 52 pour cent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée par 64,2 pour cent des voix. Dans le camp du non en 2017 lors de la précédente révision de l'AVS, Höri passe cette fois-ci du côté du oui."
61,52.2,52.2,47.8,"Hüntwangen ZH","Hüntwangen (ZH)","Hüntwangen ZH","A Hüntwangen, les habitants sont favorables à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 52,2 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée par 61,7 pour cent des voix. Dans le camp du non en 2017 lors de la précédente révision de l'AVS, Hüntwangen passe cette fois-ci du côté du oui."
62,28.1,28.1,71.9,"Kloten ZH","Kloten (ZH)","Kloten ZH","A Kloten, les habitants sont défavorables à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 71,9 pour cent de non. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 94,2 pour cent des suffrages. Les citoyens de Kloten avaient déjà refusé la précédente révision de l'AVS en 2017."
63,59.7,59.7,40.3,"Lufingen ZH","Lufingen (ZH)","Lufingen ZH","A Lufingen, les habitants disent oui à 59,7 pour cent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée par 73,5 pour cent des voix. Dans le camp du non en 2017 lors de la précédente révision de l'AVS, Lufingen passe cette fois-ci du côté du oui."
64,35.4,35.4,64.6,"Nürensdorf ZH","Nürensdorf (ZH)","Nürensdorf ZH","A Nürensdorf, les habitants sont défavorables à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 64,6 pour cent de non. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 81,6 pour cent des suffrages. Les citoyens de Nürensdorf avaient déjà refusé la précédente révision de l'AVS en 2017."
65,53.5,53.5,46.5,"Oberembrach ZH","Oberembrach (ZH)","Oberembrach ZH","La réforme de l'AVS, qui prévoit de relever l'âge du départ à la retraite des femmes, passe la rampe à Oberembrach avec 53,5 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 99,5 pour cent de non. Les citoyens d'Oberembrach avaient déjà refusé la précédente révision de l'AVS en 2017."
66,14.1,14.1,85.9,"Opfikon ZH","Opfikon (ZH)","Opfikon ZH","C'est non à 85,9 pour cent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, à Opfikon. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 59,3 pour cent des suffrages. Les citoyens d'Opfikon avaient déjà refusé la précédente révision de l'AVS en 2017."
67,46.9,46.9,53.1,"Rafz ZH","Rafz (ZH)","Rafz ZH","La réforme de l'AVS, qui prévoit de relever d'un an l'âge du départ à la retraite des femmes, échoue à Rafz avec 53,1 pour cent de non. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 76,8 pour cent de non. Les citoyens de Rafz avaient déjà refusé la précédente révision de l'AVS en 2017."
68,15.3,15.3,84.7,"Rorbas ZH","Rorbas (ZH)","Rorbas ZH","A Rorbas, les habitants sont défavorables à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 84,7 pour cent de non. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 57,4 pour cent des suffrages. Les citoyens de Rorbas avaient déjà refusé la précédente révision de l'AVS en 2017."
69,70,70,30,"Wallisellen ZH","Wallisellen (ZH)","Wallisellen ZH","Les habitants de Wallisellen acceptent la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 70 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 52,8 pour cent de non. Les citoyens de Wallisellen avaient déjà refusé la précédente révision de l'AVS en 2017."
70,92.3,92.3,7.7,"Wasterkingen ZH","Wasterkingen (ZH)","Wasterkingen ZH","A Wasterkingen, les habitants disent oui à 92,3 pour cent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 50,2 pour cent de non. Les citoyens de Wasterkingen avaient déjà refusé la précédente révision de l'AVS en 2017."
71,73.3,73.3,26.7,"Wil ZH","Wil (ZH)","Wil ZH ZH","A Wil (ZH), les habitants disent oui à 73,3 pour cent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée par 61,4 pour cent des voix. Dans le camp du non en 2017 lors de la précédente révision de l'AVS, Wil (ZH) passe cette fois-ci du côté du oui."
72,6.4,6.4,93.6,"Winkel ZH","Winkel (ZH)","Winkel ZH","C'est non à 93,6 pour cent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, à Winkel. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 75,8 pour cent des suffrages. Les citoyens de Winkel avaient déjà refusé la précédente révision de l'AVS en 2017."
81,96.7,96.7,3.3,"Bachs ZH","Bachs (ZH)","Bachs ZH","A Bachs, les habitants sont favorables à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 96,7 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 56,3 pour cent de non. Les citoyens de Bachs avaient déjà refusé la précédente révision de l'AVS en 2017."
82,6.4,6.4,93.6,"Boppelsen ZH","Boppelsen (ZH)","Boppelsen ZH","Les habitants de Boppelsen rejettent la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 93,6 pour cent de non. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 57,2 pour cent des suffrages. Les citoyens de Boppelsen avaient déjà refusé la précédente révision de l'AVS en 2017."
83,43.5,43.5,56.5,"Buchs ZH","Buchs (ZH)","Buchs ZH","Les habitants de Buchs (ZH) rejettent la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 56,5 pour cent de non. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 72,4 pour cent des suffrages. Les citoyens de Buchs (ZH) avaient déjà refusé la précédente révision de l'AVS en 2017."
84,55.6,55.6,44.4,"Dällikon ZH","Dällikon (ZH)","Dällikon ZH","La réforme de l'AVS, qui prévoit de relever l'âge du départ à la retraite des femmes, passe la rampe à Dällikon avec 55,6 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 54 pour cent de non. Les citoyens de Dällikon avaient déjà refusé la précédente révision de l'AVS en 2017."
85,83.1,83.1,16.9,"Dänikon ZH","Dänikon (ZH)","Dänikon ZH","Les habitants de Dänikon acceptent la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 83,1 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée par 61,3 pour cent des voix. Dans le camp du non en 2017 lors de la précédente révision de l'AVS, Dänikon passe cette fois-ci du côté du oui."
86,33.1,33.1,66.9,"Dielsdorf ZH","Dielsdorf (ZH)","Dielsdorf ZH","A Dielsdorf, les habitants disent non à 66,9 pour cent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 54,2 pour cent de non. Les citoyens de Dielsdorf avaient déjà refusé la précédente révision de l'AVS en 2017."
87,36.9,36.9,63.1,"Hüttikon ZH","Hüttikon (ZH)","Hüttikon ZH","La réforme de l'AVS, qui prévoit de relever d'un an l'âge du départ à la retraite des femmes, ne passe pas la rampe à Hüttikon avec 63,1 pour cent des suffrages. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 65,7 pour cent des suffrages. Les citoyens de Hüttikon avaient déjà refusé la précédente révision de l'AVS en 2017."
88,7.6,7.6,92.4,"Neerach ZH","Neerach (ZH)","Neerach ZH","La réforme de l'AVS, qui prévoit de relever d'un an l'âge du départ à la retraite des femmes, échoue à Neerach avec 92,4 pour cent de non. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 73,3 pour cent des suffrages. Les citoyens de Neerach avaient déjà refusé la précédente révision de l'AVS en 2017."
