"Kantons_Nr","Gemeinde_Nr","Ja_Stimmen_In_Prozent","Ja_Stimmen_Absolut","Nein_Stimmen_Absolut","Stimmbeteiligung_In_Prozent","Eingelegte_Stimmzettel","Anzahl_Stimmberechtigte","Gueltige_Stimmen","Gebiet_Ausgezaehlt","Kanton_Short","Gemeinde_d","Gemeinde_f","Gemeinde_i","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Kanton_d","Kanton_f","Kanton_i","Ja_Stimmen_In_Prozent_Kanton","Highest_Yes_Kant","Highest_No_Kant"
1,12,62.2772748928061,6536,3959,,,,10495,TRUE,"ZH","Rifferswil","Rifferswil","Rifferswil","Rifferswil ZH","Rifferswil (ZH)","Rifferswil ZH","Zürich","Zurich","Zurigo",72.5363194243982,FALSE,FALSE
1,13,4.2204118578864,373,8465,,,,8838,TRUE,"ZH","Stallikon","Stallikon","Stallikon","Stallikon ZH","Stallikon (ZH)","Stallikon ZH","Zürich","Zurich","Zurigo",72.5363194243982,FALSE,FALSE
1,14,93.6152954808806,8079,551,,,,8630,TRUE,"ZH","Wettswil am Albis","Wettswil am Albis","Wettswil am Albis","Wettswil am Albis ZH","Wettswil am Albis (ZH)","Wettswil am Albis ZH","Zürich","Zurich","Zurigo",72.5363194243982,FALSE,FALSE
1,21,38.1959459459459,5653,9147,,,,14800,TRUE,"ZH","Adlikon","Adlikon","Adlikon","Adlikon ZH","Adlikon (ZH)","Adlikon ZH","Zürich","Zurich","Zurigo",72.5363194243982,FALSE,FALSE
1,22,71.5625430975038,5189,2062,,,,7251,TRUE,"ZH","Benken ZH","Benken (ZH)","Benken ZH","Benken ZH","Benken (ZH)","Benken ZH","Zürich","Zurich","Zurigo",72.5363194243982,FALSE,FALSE
1,23,33.8941964922287,2377,4636,,,,7013,TRUE,"ZH","Berg am Irchel","Berg am Irchel","Berg am Irchel","Berg am Irchel ZH","Berg am Irchel (ZH)","Berg am Irchel ZH","Zürich","Zurich","Zurigo",72.5363194243982,FALSE,FALSE
1,24,26.9185910893399,1154,3133,,,,4287,TRUE,"ZH","Buch am Irchel","Buch am Irchel","Buch am Irchel","Buch am Irchel ZH","Buch am Irchel (ZH)","Buch am Irchel ZH","Zürich","Zurich","Zurigo",72.5363194243982,FALSE,FALSE
1,25,61.7781016578612,6782,4196,,,,10978,TRUE,"ZH","Dachsen","Dachsen","Dachsen","Dachsen ZH","Dachsen (ZH)","Dachsen ZH","Zürich","Zurich","Zurigo",72.5363194243982,FALSE,FALSE
1,26,28.4880226667811,3318,8329,,,,11647,TRUE,"ZH","Dorf","Dorf","Dorf","Dorf ZH","Dorf (ZH)","Dorf ZH","Zürich","Zurich","Zurigo",72.5363194243982,FALSE,FALSE
1,27,42.4409015942826,6176,8376,,,,14552,TRUE,"ZH","Feuerthalen","Feuerthalen","Feuerthalen","Feuerthalen ZH","Feuerthalen (ZH)","Feuerthalen ZH","Zürich","Zurich","Zurigo",72.5363194243982,FALSE,FALSE
1,28,30.9861398757368,1945,4332,,,,6277,TRUE,"ZH","Flaach","Flaach","Flaach","Flaach ZH","Flaach (ZH)","Flaach ZH","Zürich","Zurich","Zurigo",72.5363194243982,FALSE,FALSE
1,29,52.162498272765,3775,3462,,,,7237,TRUE,"ZH","Flurlingen","Flurlingen","Flurlingen","Flurlingen ZH","Flurlingen (ZH)","Flurlingen ZH","Zürich","Zurich","Zurigo",72.5363194243982,FALSE,FALSE
1,30,86.2782191953588,6841,1088,,,,7929,TRUE,"ZH","Andelfingen","Andelfingen","Andelfingen","Andelfingen ZH","Andelfingen (ZH)","Andelfingen ZH","Zürich","Zurich","Zurigo",72.5363194243982,FALSE,FALSE
1,31,73.9703459637562,3592,1264,,,,4856,TRUE,"ZH","Henggart","Henggart","Henggart","Henggart ZH","Henggart (ZH)","Henggart ZH","Zürich","Zurich","Zurigo",72.5363194243982,FALSE,FALSE
1,32,26.5656162744316,2664,7364,,,,10028,TRUE,"ZH","Humlikon","Humlikon","Humlikon","Humlikon ZH","Humlikon (ZH)","Humlikon ZH","Zürich","Zurich","Zurigo",72.5363194243982,FALSE,FALSE
1,33,90.4683770883055,6065,639,,,,6704,TRUE,"ZH","Kleinandelfingen","Kleinandelfingen","Kleinandelfingen","Kleinandelfingen ZH","Kleinandelfingen (ZH)","Kleinandelfingen ZH","Zürich","Zurich","Zurigo",72.5363194243982,FALSE,FALSE
1,34,41.5105386416862,709,999,,,,1708,TRUE,"ZH","Laufen-Uhwiesen","Laufen-Uhwiesen","Laufen-Uhwiesen","Laufen-Uhwiesen ZH","Laufen-Uhwiesen (ZH)","Laufen-Uhwiesen ZH","Zürich","Zurich","Zurigo",72.5363194243982,FALSE,FALSE
1,35,57.6560554863952,3242,2381,,,,5623,TRUE,"ZH","Marthalen","Marthalen","Marthalen","Marthalen ZH","Marthalen (ZH)","Marthalen ZH","Zürich","Zurich","Zurigo",72.5363194243982,FALSE,FALSE
1,37,3.11149524632671,72,2242,,,,2314,TRUE,"ZH","Ossingen","Ossingen","Ossingen","Ossingen ZH","Ossingen (ZH)","Ossingen ZH","Zürich","Zurich","Zurigo",72.5363194243982,FALSE,FALSE
1,38,93.7360428762841,8395,561,,,,8956,TRUE,"ZH","Rheinau","Rheinau","Rheinau","Rheinau ZH","Rheinau (ZH)","Rheinau ZH","Zürich","Zurich","Zurigo",72.5363194243982,FALSE,FALSE
1,39,39.4095690532745,5807,8928,,,,14735,TRUE,"ZH","Thalheim an der Thur","Thalheim an der Thur","Thalheim an der Thur","Thalheim an der Thur ZH","Thalheim an der Thur (ZH)","Thalheim an der Thur ZH","Zürich","Zurich","Zurigo",72.5363194243982,FALSE,FALSE
1,40,40.2828706128863,769,1140,,,,1909,TRUE,"ZH","Trüllikon","Trüllikon","Trüllikon","Trüllikon ZH","Trüllikon (ZH)","Trüllikon ZH","Zürich","Zurich","Zurigo",72.5363194243982,FALSE,FALSE
1,41,39.6482144216858,5207,7926,,,,13133,TRUE,"ZH","Truttikon","Truttikon","Truttikon","Truttikon ZH","Truttikon (ZH)","Truttikon ZH","Zürich","Zurich","Zurigo",72.5363194243982,FALSE,FALSE
1,43,1.41614404207971,70,4873,,,,4943,TRUE,"ZH","Volken","Volken","Volken","Volken ZH","Volken (ZH)","Volken ZH","Zürich","Zurich","Zurigo",72.5363194243982,FALSE,FALSE
1,51,77.4973711882229,3685,1070,,,,4755,TRUE,"ZH","Bachenbülach","Bachenbülach","Bachenbülach","Bachenbülach ZH","Bachenbülach (ZH)","Bachenbülach ZH","Zürich","Zurich","Zurigo",72.5363194243982,FALSE,FALSE
1,52,53.7634408602151,6900,5934,,,,12834,TRUE,"ZH","Bassersdorf","Bassersdorf","Bassersdorf","Bassersdorf ZH","Bassersdorf (ZH)","Bassersdorf ZH","Zürich","Zurich","Zurigo",72.5363194243982,FALSE,FALSE
1,53,21.3398718658546,2698,9945,,,,12643,TRUE,"ZH","Bülach","Bülach","Bülach","Bülach ZH","Bülach (ZH)","Bülach ZH","Zürich","Zurich","Zurigo",72.5363194243982,FALSE,FALSE
1,54,55.8297413793103,5181,4099,,,,9280,TRUE,"ZH","Dietlikon","Dietlikon","Dietlikon","Dietlikon ZH","Dietlikon (ZH)","Dietlikon ZH","Zürich","Zurich","Zurigo",72.5363194243982,FALSE,FALSE
1,55,48.9308801591248,4920,5135,,,,10055,TRUE,"ZH","Eglisau","Eglisau","Eglisau","Eglisau ZH","Eglisau (ZH)","Eglisau ZH","Zürich","Zurich","Zurigo",72.5363194243982,FALSE,FALSE
1,56,49.6344476377754,9844,9989,,,,19833,TRUE,"ZH","Embrach","Embrach","Embrach","Embrach ZH","Embrach (ZH)","Embrach ZH","Zürich","Zurich","Zurigo",72.5363194243982,FALSE,FALSE
1,57,49.4279910189244,4623,4730,,,,9353,TRUE,"ZH","Freienstein-Teufen","Freienstein-Teufen","Freienstein-Teufen","Freienstein-Teufen ZH","Freienstein-Teufen (ZH)","Freienstein-Teufen ZH","Zürich","Zurich","Zurigo",72.5363194243982,FALSE,FALSE
1,58,41.1576704545455,4636,6628,,,,11264,TRUE,"ZH","Glattfelden","Glattfelden","Glattfelden","Glattfelden ZH","Glattfelden (ZH)","Glattfelden ZH","Zürich","Zurich","Zurigo",72.5363194243982,FALSE,FALSE
1,59,51.4378637452927,9015,8511,,,,17526,TRUE,"ZH","Hochfelden","Hochfelden","Hochfelden","Hochfelden ZH","Hochfelden (ZH)","Hochfelden ZH","Zürich","Zurich","Zurigo",72.5363194243982,FALSE,FALSE
1,60,51.9910263600673,4635,4280,,,,8915,TRUE,"ZH","Höri","Höri","Höri","Höri ZH","Höri (ZH)","Höri ZH","Zürich","Zurich","Zurigo",72.5363194243982,FALSE,FALSE
1,61,52.2130328092338,5745,5258,,,,11003,TRUE,"ZH","Hüntwangen","Hüntwangen","Hüntwangen","Hüntwangen ZH","Hüntwangen (ZH)","Hüntwangen ZH","Zürich","Zurich","Zurigo",72.5363194243982,FALSE,FALSE
1,62,28.0533926585095,2522,6468,,,,8990,TRUE,"ZH","Kloten","Kloten","Kloten","Kloten ZH","Kloten (ZH)","Kloten ZH","Zürich","Zurich","Zurigo",72.5363194243982,FALSE,FALSE
1,63,59.740475794377,7182,4840,,,,12022,TRUE,"ZH","Lufingen","Lufingen","Lufingen","Lufingen ZH","Lufingen (ZH)","Lufingen ZH","Zürich","Zurich","Zurigo",72.5363194243982,FALSE,FALSE
1,64,35.4255621975519,2489,4537,,,,7026,TRUE,"ZH","Nürensdorf","Nürensdorf","Nürensdorf","Nürensdorf ZH","Nürensdorf (ZH)","Nürensdorf ZH","Zürich","Zurich","Zurigo",72.5363194243982,FALSE,FALSE
1,65,53.4620165240915,7312,6365,,,,13677,TRUE,"ZH","Oberembrach","Oberembrach","Oberembrach","Oberembrach ZH","Oberembrach (ZH)","Oberembrach ZH","Zürich","Zurich","Zurigo",72.5363194243982,FALSE,FALSE
1,66,14.0813534021644,1132,6907,,,,8039,TRUE,"ZH","Opfikon","Opfikon","Opfikon","Opfikon ZH","Opfikon (ZH)","Opfikon ZH","Zürich","Zurich","Zurigo",72.5363194243982,FALSE,FALSE
1,67,46.8971004243281,5305,6007,,,,11312,TRUE,"ZH","Rafz","Rafz","Rafz","Rafz ZH","Rafz (ZH)","Rafz ZH","Zürich","Zurich","Zurigo",72.5363194243982,FALSE,FALSE
1,68,15.3242461792648,1484,8200,,,,9684,TRUE,"ZH","Rorbas","Rorbas","Rorbas","Rorbas ZH","Rorbas (ZH)","Rorbas ZH","Zürich","Zurich","Zurigo",72.5363194243982,FALSE,FALSE
1,69,69.9598331530975,9057,3889,,,,12946,TRUE,"ZH","Wallisellen","Wallisellen","Wallisellen","Wallisellen ZH","Wallisellen (ZH)","Wallisellen ZH","Zürich","Zurich","Zurigo",72.5363194243982,FALSE,FALSE
1,70,92.3352841230885,9782,812,,,,10594,TRUE,"ZH","Wasterkingen","Wasterkingen","Wasterkingen","Wasterkingen ZH","Wasterkingen (ZH)","Wasterkingen ZH","Zürich","Zurich","Zurigo",72.5363194243982,FALSE,FALSE
1,71,73.2570459843187,6914,2524,,,,9438,TRUE,"ZH","Wil ZH","Wil (ZH)","Wil ZH","Wil ZH","Wil (ZH)","Wil ZH ZH","Zürich","Zurich","Zurigo",72.5363194243982,FALSE,FALSE
1,72,6.44464217617898,507,7360,,,,7867,TRUE,"ZH","Winkel","Winkel","Winkel","Winkel ZH","Winkel (ZH)","Winkel ZH","Zürich","Zurich","Zurigo",72.5363194243982,FALSE,FALSE
1,81,96.6621098200046,8485,293,,,,8778,TRUE,"ZH","Bachs","Bachs","Bachs","Bachs ZH","Bachs (ZH)","Bachs ZH","Zürich","Zurich","Zurigo",72.5363194243982,FALSE,FALSE
1,82,6.37601064374168,623,9148,,,,9771,TRUE,"ZH","Boppelsen","Boppelsen","Boppelsen","Boppelsen ZH","Boppelsen (ZH)","Boppelsen ZH","Zürich","Zurich","Zurigo",72.5363194243982,FALSE,FALSE
1,83,43.5122838944495,2391,3104,,,,5495,TRUE,"ZH","Buchs ZH","Buchs (ZH)","Buchs ZH","Buchs ZH","Buchs (ZH)","Buchs ZH","Zürich","Zurich","Zurigo",72.5363194243982,FALSE,FALSE
1,84,55.6388043393429,7129,5684,,,,12813,TRUE,"ZH","Dällikon","Dällikon","Dällikon","Dällikon ZH","Dällikon (ZH)","Dällikon ZH","Zürich","Zurich","Zurigo",72.5363194243982,FALSE,FALSE
1,85,83.095197107936,9654,1964,,,,11618,TRUE,"ZH","Dänikon","Dänikon","Dänikon","Dänikon ZH","Dänikon (ZH)","Dänikon ZH","Zürich","Zurich","Zurigo",72.5363194243982,FALSE,FALSE
1,86,33.1438229870928,2157,4351,,,,6508,TRUE,"ZH","Dielsdorf","Dielsdorf","Dielsdorf","Dielsdorf ZH","Dielsdorf (ZH)","Dielsdorf ZH","Zürich","Zurich","Zurigo",72.5363194243982,FALSE,FALSE
1,87,36.8642822146007,3762,6443,,,,10205,TRUE,"ZH","Hüttikon","Hüttikon","Hüttikon","Hüttikon ZH","Hüttikon (ZH)","Hüttikon ZH","Zürich","Zurich","Zurigo",72.5363194243982,FALSE,FALSE
1,88,7.61772853185596,495,6003,,,,6498,TRUE,"ZH","Neerach","Neerach","Neerach","Neerach ZH","Neerach (ZH)","Neerach ZH","Zürich","Zurich","Zurigo",72.5363194243982,FALSE,FALSE
1,89,45.6389316553986,6818,8121,,,,14939,TRUE,"ZH","Niederglatt","Niederglatt","Niederglatt","Niederglatt ZH","Niederglatt (ZH)","Niederglatt ZH","Zürich","Zurich","Zurigo",72.5363194243982,FALSE,FALSE
1,90,56.8921194929528,6418,4863,,,,11281,TRUE,"ZH","Niederhasli","Niederhasli","Niederhasli","Niederhasli ZH","Niederhasli (ZH)","Niederhasli ZH","Zürich","Zurich","Zurigo",72.5363194243982,FALSE,FALSE
1,91,58.4214235377026,6632,4720,,,,11352,TRUE,"ZH","Niederweningen","Niederweningen","Niederweningen","Niederweningen ZH","Niederweningen (ZH)","Niederweningen ZH","Zürich","Zurich","Zurigo",72.5363194243982,FALSE,FALSE
1,92,29.238913610557,3811,9223,,,,13034,TRUE,"ZH","Oberglatt","Oberglatt","Oberglatt","Oberglatt ZH","Oberglatt (ZH)","Oberglatt ZH","Zürich","Zurich","Zurigo",72.5363194243982,FALSE,FALSE
1,93,71.8187186300561,4865,1909,,,,6774,TRUE,"ZH","Oberweningen","Oberweningen","Oberweningen","Oberweningen ZH","Oberweningen (ZH)","Oberweningen ZH","Zürich","Zurich","Zurigo",72.5363194243982,FALSE,FALSE
1,94,54.3781916491439,7241,6075,,,,13316,TRUE,"ZH","Otelfingen","Otelfingen","Otelfingen","Otelfingen ZH","Otelfingen (ZH)","Otelfingen ZH","Zürich","Zurich","Zurigo",72.5363194243982,FALSE,FALSE
1,95,43.0732232137207,6806,8995,,,,15801,TRUE,"ZH","Regensberg","Regensberg","Regensberg","Regensberg ZH","Regensberg (ZH)","Regensberg ZH","Zürich","Zurich","Zurigo",72.5363194243982,FALSE,FALSE
1,96,74.4440480437626,6260,2149,,,,8409,TRUE,"ZH","Regensdorf","Regensdorf","Regensdorf","Regensdorf ZH","Regensdorf (ZH)","Regensdorf ZH","Zürich","Zurich","Zurigo",72.5363194243982,FALSE,FALSE
1,97,73.9424004409536,5366,1891,,,,7257,TRUE,"ZH","Rümlang","Rümlang","Rümlang","Rümlang ZH","Rümlang (ZH)","Rümlang ZH","Zürich","Zurich","Zurigo",72.5363194243982,FALSE,FALSE
1,98,62.5438596491228,7843,4697,,,,12540,TRUE,"ZH","Schleinikon","Schleinikon","Schleinikon","Schleinikon ZH","Schleinikon (ZH)","Schleinikon ZH","Zürich","Zurich","Zurigo",72.5363194243982,FALSE,FALSE
1,99,30.1843669053786,3962,9164,,,,13126,TRUE,"ZH","Schöfflisdorf","Schöfflisdorf","Schöfflisdorf","Schöfflisdorf ZH","Schöfflisdorf (ZH)","Schöfflisdorf ZH","Zürich","Zurich","Zurigo",72.5363194243982,FALSE,FALSE
1,100,51.7592897073331,6296,5868,,,,12164,TRUE,"ZH","Stadel","Stadel","Stadel","Stadel ZH","Stadel (ZH)","Stadel ZH","Zürich","Zurich","Zurigo",72.5363194243982,FALSE,FALSE
1,101,41.9793879317127,5336,7375,,,,12711,TRUE,"ZH","Steinmaur","Steinmaur","Steinmaur","Steinmaur ZH","Steinmaur (ZH)","Steinmaur ZH","Zürich","Zurich","Zurigo",72.5363194243982,FALSE,FALSE
1,102,92.9837797057714,4930,372,,,,5302,TRUE,"ZH","Weiach","Weiach","Weiach","Weiach ZH","Weiach (ZH)","Weiach ZH","Zürich","Zurich","Zurigo",72.5363194243982,FALSE,FALSE
1,111,57.8729489688394,7689,5597,,,,13286,TRUE,"ZH","Bäretswil","Bäretswil","Bäretswil","Bäretswil ZH","Bäretswil (ZH)","Bäretswil ZH","Zürich","Zurich","Zurigo",72.5363194243982,FALSE,FALSE
1,112,66.5826921767549,9779,4908,,,,14687,TRUE,"ZH","Bubikon","Bubikon","Bubikon","Bubikon ZH","Bubikon (ZH)","Bubikon ZH","Zürich","Zurich","Zurigo",72.5363194243982,FALSE,FALSE
1,113,39.8136586302949,4145,6266,,,,10411,TRUE,"ZH","Dürnten","Dürnten","Dürnten","Dürnten ZH","Dürnten (ZH)","Dürnten ZH","Zürich","Zurich","Zurigo",72.5363194243982,FALSE,FALSE
1,114,31.9586137037841,4417,9404,,,,13821,TRUE,"ZH","Fischenthal","Fischenthal","Fischenthal","Fischenthal ZH","Fischenthal (ZH)","Fischenthal ZH","Zürich","Zurich","Zurigo",72.5363194243982,FALSE,FALSE
1,115,40.4249473395,4414,6505,,,,10919,TRUE,"ZH","Gossau ZH","Gossau (ZH)","Gossau ZH","Gossau ZH","Gossau (ZH)","Gossau ZH","Zürich","Zurich","Zurigo",72.5363194243982,FALSE,FALSE
1,116,99.8335710889206,4199,7,,,,4206,TRUE,"ZH","Grüningen","Grüningen","Grüningen","Grüningen ZH","Grüningen (ZH)","Grüningen ZH","Zürich","Zurich","Zurigo",72.5363194243982,FALSE,FALSE
1,117,3.35623159960746,342,9848,,,,10190,TRUE,"ZH","Hinwil","Hinwil","Hinwil","Hinwil ZH","Hinwil (ZH)","Hinwil ZH","Zürich","Zurich","Zurigo",72.5363194243982,FALSE,FALSE
1,118,97.2292510121458,7685,219,,,,7904,TRUE,"ZH","Rüti ZH","Rüti (ZH)","Rüti ZH","Rüti ZH","Rüti (ZH)","Rüti ZH","Zürich","Zurich","Zurigo",72.5363194243982,FALSE,FALSE
1,119,30.7442557442557,1231,2773,,,,4004,TRUE,"ZH","Seegräben","Seegräben","Seegräben","Seegräben ZH","Seegräben (ZH)","Seegräben ZH","Zürich","Zurich","Zurigo",72.5363194243982,FALSE,FALSE
1,120,95.464512406232,8272,393,,,,8665,TRUE,"ZH","Wald ZH","Wald (ZH)","Wald ZH","Wald ZH","Wald (ZH)","Wald ZH","Zürich","Zurich","Zurigo",72.5363194243982,FALSE,FALSE
1,121,32.2915764868843,3730,7821,,,,11551,TRUE,"ZH","Wetzikon ZH","Wetzikon (ZH)","Wetzikon ZH","Wetzikon ZH","Wetzikon (ZH)","Wetzikon ZH","Zürich","Zurich","Zurigo",72.5363194243982,FALSE,FALSE
1,131,50.2240143369176,3363,3333,,,,6696,TRUE,"ZH","Adliswil","Adliswil","Adliswil","Adliswil ZH","Adliswil (ZH)","Adliswil ZH","Zürich","Zurich","Zurigo",72.5363194243982,FALSE,FALSE
1,135,7.19122426868906,531,6853,,,,7384,TRUE,"ZH","Kilchberg ZH","Kilchberg (ZH)","Kilchberg ZH","Kilchberg ZH","Kilchberg (ZH)","Kilchberg ZH","Zürich","Zurich","Zurigo",72.5363194243982,FALSE,FALSE
1,136,55.6482385304819,6271,4998,,,,11269,TRUE,"ZH","Langnau am Albis","Langnau am Albis","Langnau am Albis","Langnau am Albis ZH","Langnau am Albis (ZH)","Langnau am Albis ZH","Zürich","Zurich","Zurigo",72.5363194243982,FALSE,FALSE
1,137,10.8487413677879,974,8004,,,,8978,TRUE,"ZH","Oberrieden","Oberrieden","Oberrieden","Oberrieden ZH","Oberrieden (ZH)","Oberrieden ZH","Zürich","Zurich","Zurigo",72.5363194243982,FALSE,FALSE
1,138,25,518,1554,,,,2072,TRUE,"ZH","Richterswil","Richterswil","Richterswil","Richterswil ZH","Richterswil (ZH)","Richterswil ZH","Zürich","Zurich","Zurigo",72.5363194243982,FALSE,FALSE
1,139,54.5845189013414,9400,7821,,,,17221,TRUE,"ZH","Rüschlikon","Rüschlikon","Rüschlikon","Rüschlikon ZH","Rüschlikon (ZH)","Rüschlikon ZH","Zürich","Zurich","Zurigo",72.5363194243982,FALSE,FALSE
1,141,40.816693649937,4538,6580,,,,11118,TRUE,"ZH","Thalwil","Thalwil","Thalwil","Thalwil ZH","Thalwil (ZH)","Thalwil ZH","Zürich","Zurich","Zurigo",72.5363194243982,FALSE,FALSE
1,151,43.6760861446533,7017,9049,,,,16066,TRUE,"ZH","Erlenbach ZH","Erlenbach (ZH)","Erlenbach ZH","Erlenbach ZH","Erlenbach (ZH)","Erlenbach ZH","Zürich","Zurich","Zurigo",72.5363194243982,FALSE,FALSE
1,152,11.0853355426678,669,5366,,,,6035,TRUE,"ZH","Herrliberg","Herrliberg","Herrliberg","Herrliberg ZH","Herrliberg (ZH)","Herrliberg ZH","Zürich","Zurich","Zurigo",72.5363194243982,FALSE,FALSE
1,153,37.0234789194648,5866,9978,,,,15844,TRUE,"ZH","Hombrechtikon","Hombrechtikon","Hombrechtikon","Hombrechtikon ZH","Hombrechtikon (ZH)","Hombrechtikon ZH","Zürich","Zurich","Zurigo",72.5363194243982,FALSE,FALSE
1,154,58.591831165287,6441,4552,,,,10993,TRUE,"ZH","Küsnacht ZH","Küsnacht (ZH)","Küsnacht ZH","Küsnacht ZH","Küsnacht (ZH)","Küsnacht ZH","Zürich","Zurich","Zurigo",72.5363194243982,FALSE,FALSE
1,155,70.7626764681313,8471,3500,,,,11971,TRUE,"ZH","Männedorf","Männedorf","Männedorf","Männedorf ZH","Männedorf (ZH)","Männedorf ZH","Zürich","Zurich","Zurigo",72.5363194243982,FALSE,FALSE
1,156,27.8653012997243,2830,7326,,,,10156,TRUE,"ZH","Meilen","Meilen","Meilen","Meilen ZH","Meilen (ZH)","Meilen ZH","Zürich","Zurich","Zurigo",72.5363194243982,FALSE,FALSE
1,157,61.5894039735099,5859,3654,,,,9513,TRUE,"ZH","Oetwil am See","Oetwil am See","Oetwil am See","Oetwil am See ZH","Oetwil am See (ZH)","Oetwil am See ZH","Zürich","Zurich","Zurigo",72.5363194243982,FALSE,FALSE
1,158,18.5733653144228,1781,7808,,,,9589,TRUE,"ZH","Stäfa","Stäfa","Stäfa","Stäfa ZH","Stäfa (ZH)","Stäfa ZH","Zürich","Zurich","Zurigo",72.5363194243982,FALSE,FALSE
1,159,60.76171875,6222,4018,,,,10240,TRUE,"ZH","Uetikon am See","Uetikon am See","Uetikon am See","Uetikon am See ZH","Uetikon am See (ZH)","Uetikon am See ZH","Zürich","Zurich","Zurigo",72.5363194243982,FALSE,FALSE
1,160,98.0408417124495,9458,189,,,,9647,TRUE,"ZH","Zumikon","Zumikon","Zumikon","Zumikon ZH","Zumikon (ZH)","Zumikon ZH","Zürich","Zurich","Zurigo",72.5363194243982,FALSE,FALSE
1,161,76.1521702698173,4544,1423,,,,5967,TRUE,"ZH","Zollikon","Zollikon","Zollikon","Zollikon ZH","Zollikon (ZH)","Zollikon ZH","Zürich","Zurich","Zurigo",72.5363194243982,FALSE,FALSE
1,172,66.9220313851477,5416,2677,,,,8093,TRUE,"ZH","Fehraltorf","Fehraltorf","Fehraltorf","Fehraltorf ZH","Fehraltorf (ZH)","Fehraltorf ZH","Zürich","Zurich","Zurigo",72.5363194243982,FALSE,FALSE
1,173,89.0905653242579,4712,577,,,,5289,TRUE,"ZH","Hittnau","Hittnau","Hittnau","Hittnau ZH","Hittnau (ZH)","Hittnau ZH","Zürich","Zurich","Zurigo",72.5363194243982,FALSE,FALSE
1,176,3.59383306751728,338,9067,,,,9405,TRUE,"ZH","Lindau","Lindau","Lindau","Lindau ZH","Lindau (ZH)","Lindau ZH","Zürich","Zurich","Zurigo",72.5363194243982,FALSE,FALSE
