"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Text_d"
11,73,73,27,"Ottenbach ZH","Ottenbach (ZH)","Ottenbach ZH","Ja zur Erhöhung der Mehrwertsteuer in Ottenbach mit 73 Prozent. Weil die Gemeinde das Frauenrentenalter 65 aber mit 58,6 Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Ottenbach damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Ottenbach eine Rentenreform mit 51,3 Nein-Stimmen abgelehnt."
12,76.2,76.2,23.8,"Rifferswil ZH","Rifferswil (ZH)","Rifferswil ZH","Ja zur Erhöhung der Mehrwertsteuer in Rifferswil mit 76,2 Prozent. Weil die Gemeinde das Frauenrentenalter 65 aber mit 71,2 Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Rifferswil damit gescheitert. Damit hat in Rifferswil im Vergleich zur letzten AHV-Abstimmung im Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 57,7 Prozent ein Ja in die Urne gelegt."
13,72,72,28,"Stallikon ZH","Stallikon (ZH)","Stallikon ZH","Die Gemeinde Stallikon hat die Erhöhung der Mehrwertsteuer mit 72 Prozent angenommen. Weil die Gemeinde das Frauenrentenalter 65 aber mit 57,1 Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Stallikon damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Stallikon eine Rentenreform mit 55,8 Nein-Stimmen abgelehnt."
14,98.1,98.1,1.9,"Wettswil am Albis ZH","Wettswil am Albis (ZH)","Wettswil am Albis ZH","Wettswil am Albis hat der Erhöhung der Mehrwertsteuer mit 98,1 Prozent zugestimmt. Weil die Gemeinde das Frauenrentenalter 65 aber mit 85 Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Wettswil am Albis damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Wettswil am Albis eine Rentenreform mit 52,3 Nein-Stimmen abgelehnt."
21,89.5,89.5,10.5,"Adlikon ZH","Adlikon (ZH)","Adlikon ZH","89,5 Prozent der Stimmbürgerinnen und Stimmbürger von Adlikon haben die Erhöhung der Mehrwertsteuer angenommen. Da die Gemeinde auch dem Frauenrentealter 65 mit 57,2 zugestimmt hat, ist die AHV-Reform in Adlikon damit angenommen worden. Damit hat in Adlikon im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 65 Prozent ein Nein in die Urne gelegt."
22,36.6,36.6,63.4,"Benken ZH","Benken (ZH)","Benken ZH","Benken ZH hat die Erhöhung der Mehrwertsteuer mit 63,4 Prozent abgelehnt. Obwohl die Gemeinde das Frauenrentenalter 65 mit 53,2 Ja-Stimmen angenommen hat, ist die AHV-Reform in Benken ZH damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Benken ZH eine Rentenreform mit 65,8 Nein-Stimmen abgelehnt."
23,63.3,63.3,36.7,"Berg am Irchel ZH","Berg am Irchel (ZH)","Berg am Irchel ZH","63,3 Prozent der Abstimmenden in der Gemeinde Berg am Irchel haben Ja gesagt zur Erhöhung der Mehrwertsteuer. Da die Gemeinde auch dem Frauenrentealter 65 mit 60 zugestimmt hat, ist die AHV-Reform in Berg am Irchel damit angenommen worden. Damit hat in Berg am Irchel im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 60,2 Prozent ein Nein in die Urne gelegt."
24,85.1,85.1,14.9,"Buch am Irchel ZH","Buch am Irchel (ZH)","Buch am Irchel ZH","85,1 Prozent der Stimmbürgerinnen und Stimmbürger von Buch am Irchel haben die Erhöhung der Mehrwertsteuer angenommen. Weil die Gemeinde das Frauenrentenalter 65 aber mit 67,7 Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Buch am Irchel damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Buch am Irchel eine Rentenreform mit 57,9 Nein-Stimmen abgelehnt."
25,52.3,52.3,47.7,"Dachsen ZH","Dachsen (ZH)","Dachsen ZH","52,3 Prozent der Stimmbürgerinnen und Stimmbürger von Dachsen haben die Erhöhung der Mehrwertsteuer angenommen. Da die Gemeinde auch dem Frauenrentealter 65 mit 53,4 zugestimmt hat, ist die AHV-Reform in Dachsen damit angenommen worden. Damit hat in Dachsen im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 52,7 Prozent ein Nein in die Urne gelegt."
26,8.6,8.6,91.4,"Dorf ZH","Dorf (ZH)","Dorf ZH","In Dorf hat die Stimmbevölkerung die Erhöhung der Mehrwertsteuer mit 91,4 Prozent abgelehnt. Obwohl die Gemeinde das Frauenrentenalter 65 mit 66,8 Ja-Stimmen angenommen hat, ist die AHV-Reform in Dorf damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Dorf eine Rentenreform mit 66,5 Nein-Stimmen abgelehnt."
27,67.7,67.7,32.3,"Feuerthalen ZH","Feuerthalen (ZH)","Feuerthalen ZH","67,7 Prozent der Abstimmenden in der Gemeinde Feuerthalen haben Ja gesagt zur Erhöhung der Mehrwertsteuer. Da die Gemeinde auch dem Frauenrentealter 65 mit 92,8 zugestimmt hat, ist die AHV-Reform in Feuerthalen damit angenommen worden. Damit hat in Feuerthalen im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 52 Prozent ein Nein in die Urne gelegt."
28,29.9,29.9,70.1,"Flaach ZH","Flaach (ZH)","Flaach ZH","In Flaach hat die Erhöhung der Mehrwertsteuer keine Mehrheit gefunden. Auf 70,1 Prozent der abgegebenen Stimmzettel stand ein Nein. Obwohl die Gemeinde das Frauenrentenalter 65 mit 57,7 Ja-Stimmen angenommen hat, ist die AHV-Reform in Flaach damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Flaach eine Rentenreform mit 61,9 Nein-Stimmen abgelehnt."
29,88.6,88.6,11.4,"Flurlingen ZH","Flurlingen (ZH)","Flurlingen ZH","88,6 Prozent der Abstimmenden in der Gemeinde Flurlingen haben Ja gesagt zur Erhöhung der Mehrwertsteuer. Weil die Gemeinde das Frauenrentenalter 65 aber mit 50,1 Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Flurlingen damit gescheitert. Damit hat in Flurlingen im Vergleich zur letzten AHV-Abstimmung im Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 53,5 Prozent ein Ja in die Urne gelegt."
30,24.4,24.4,75.6,"Andelfingen ZH","Andelfingen (ZH)","Andelfingen ZH","75,6 Prozent der Stimmbürgerinnen und Stimmbürger von Andelfingen sagen Nein zur Erhöhung der Mehrwertsteuer. Obwohl die Gemeinde das Frauenrentenalter 65 mit 89,4 Ja-Stimmen angenommen hat, ist die AHV-Reform in Andelfingen damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Andelfingen eine Rentenreform mit 51,7 Nein-Stimmen abgelehnt."
31,41.9,41.9,58.1,"Henggart ZH","Henggart (ZH)","Henggart ZH","Keine Mehrheit für die Erhöhung der Mehrwertsteuer in Henggart: Mit 58,1 Prozent hat die Gemeinde die Vorlage verworfen. Da die Gemeinde auch das Frauenrentenalter 65 mit 92,2 abgelehnt hat, ist die AHV-Reform in Henggart damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Henggart eine Rentenreform mit 52,1 Nein-Stimmen abgelehnt."
32,14.2,14.2,85.8,"Humlikon ZH","Humlikon (ZH)","Humlikon ZH","85,8 Prozent Nein zur Erhöhung der Mehrwertsteuer in Humlikon. Obwohl die Gemeinde das Frauenrentenalter 65 mit 85,8 Ja-Stimmen angenommen hat, ist die AHV-Reform in Humlikon damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Humlikon eine Rentenreform mit 66,1 Nein-Stimmen abgelehnt."
33,59.1,59.1,40.9,"Kleinandelfingen ZH","Kleinandelfingen (ZH)","Kleinandelfingen ZH","Ja zur Erhöhung der Mehrwertsteuer in Kleinandelfingen mit 59,1 Prozent. Weil die Gemeinde das Frauenrentenalter 65 aber mit 81,6 Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Kleinandelfingen damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Kleinandelfingen eine Rentenreform mit 56,9 Nein-Stimmen abgelehnt."
34,38,38,62,"Laufen-Uhwiesen ZH","Laufen-Uhwiesen (ZH)","Laufen-Uhwiesen ZH","Keine Mehrheit für die Erhöhung der Mehrwertsteuer in Laufen-Uhwiesen: Mit 62 Prozent hat die Gemeinde die Vorlage verworfen. Obwohl die Gemeinde das Frauenrentenalter 65 mit 78,1 Ja-Stimmen angenommen hat, ist die AHV-Reform in Laufen-Uhwiesen damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Laufen-Uhwiesen eine Rentenreform mit 58,1 Nein-Stimmen abgelehnt."
35,68.3,68.3,31.7,"Marthalen ZH","Marthalen (ZH)","Marthalen ZH","Ja zur Erhöhung der Mehrwertsteuer in Marthalen mit 68,3 Prozent. Da die Gemeinde auch dem Frauenrentealter 65 mit 86,8 zugestimmt hat, ist die AHV-Reform in Marthalen damit angenommen worden. Damit hat in Marthalen im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 61,9 Prozent ein Nein in die Urne gelegt."
37,44.7,44.7,55.3,"Ossingen ZH","Ossingen (ZH)","Ossingen ZH","Ossingen hat die Erhöhung der Mehrwertsteuer mit 55,3 Prozent abgelehnt. Obwohl die Gemeinde das Frauenrentenalter 65 mit 52,4 Ja-Stimmen angenommen hat, ist die AHV-Reform in Ossingen damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Ossingen eine Rentenreform mit 54,3 Nein-Stimmen abgelehnt."
38,68.1,68.1,31.9,"Rheinau ZH","Rheinau (ZH)","Rheinau ZH","Rheinau hat der Erhöhung der Mehrwertsteuer mit 68,1 Prozent zugestimmt. Weil die Gemeinde das Frauenrentenalter 65 aber mit 55,9 Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Rheinau damit gescheitert. Damit hat in Rheinau im Vergleich zur letzten AHV-Abstimmung im Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 52,7 Prozent ein Ja in die Urne gelegt."
39,39.2,39.2,60.8,"Thalheim an der Thur ZH","Thalheim an der Thur (ZH)","Thalheim an der Thur ZH","In Thalheim an der Thur hat die Erhöhung der Mehrwertsteuer keine Mehrheit gefunden. Auf 60,8 Prozent der abgegebenen Stimmzettel stand ein Nein. Da die Gemeinde auch das Frauenrentenalter 65 mit 50,3 abgelehnt hat, ist die AHV-Reform in Thalheim an der Thur damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Thalheim an der Thur eine Rentenreform mit 65,6 Nein-Stimmen abgelehnt."
40,53.4,53.4,46.6,"Trüllikon ZH","Trüllikon (ZH)","Trüllikon ZH","53,4 Prozent der Stimmbürgerinnen und Stimmbürger von Trüllikon haben die Erhöhung der Mehrwertsteuer angenommen. Da die Gemeinde auch dem Frauenrentealter 65 mit 64,3 zugestimmt hat, ist die AHV-Reform in Trüllikon damit angenommen worden. Damit hat in Trüllikon im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 59,6 Prozent ein Nein in die Urne gelegt."
41,16.7,16.7,83.3,"Truttikon ZH","Truttikon (ZH)","Truttikon ZH","Nein zur Erhöhung der Mehrwertsteuer in Truttikon. Die Gemeinde hat das Volksbegehren mit 83,3 Prozent abgelehnt. Da die Gemeinde auch das Frauenrentenalter 65 mit 69,2 abgelehnt hat, ist die AHV-Reform in Truttikon damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Truttikon eine Rentenreform mit 57,8 Nein-Stimmen abgelehnt."
43,49.7,49.7,50.3,"Volken ZH","Volken (ZH)","Volken ZH","In Volken hat die Stimmbevölkerung die Erhöhung der Mehrwertsteuer mit 50,3 Prozent abgelehnt. Da die Gemeinde auch das Frauenrentenalter 65 mit 55,5 abgelehnt hat, ist die AHV-Reform in Volken damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Volken eine Rentenreform mit 66,4 Nein-Stimmen abgelehnt."
51,34.2,34.2,65.8,"Bachenbülach ZH","Bachenbülach (ZH)","Bachenbülach ZH","65,8 Prozent Nein zur Erhöhung der Mehrwertsteuer in Bachenbülach. Obwohl die Gemeinde das Frauenrentenalter 65 mit 76 Ja-Stimmen angenommen hat, ist die AHV-Reform in Bachenbülach damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Bachenbülach eine Rentenreform mit 53,9 Nein-Stimmen abgelehnt."
52,61.6,61.6,38.4,"Bassersdorf ZH","Bassersdorf (ZH)","Bassersdorf ZH","Die Gemeinde Bassersdorf hat die Erhöhung der Mehrwertsteuer mit 61,6 Prozent angenommen. Da die Gemeinde auch dem Frauenrentealter 65 mit 71,1 zugestimmt hat, ist die AHV-Reform in Bassersdorf damit angenommen worden. Damit hat in Bassersdorf im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 53,6 Prozent ein Nein in die Urne gelegt."
53,21.4,21.4,78.6,"Bülach ZH","Bülach (ZH)","Bülach ZH","Bülach hat die Erhöhung der Mehrwertsteuer mit 78,6 Prozent abgelehnt. Obwohl die Gemeinde das Frauenrentenalter 65 mit 77,5 Ja-Stimmen angenommen hat, ist die AHV-Reform in Bülach damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Bülach eine Rentenreform mit 51,9 Nein-Stimmen abgelehnt."
54,10.3,10.3,89.7,"Dietlikon ZH","Dietlikon (ZH)","Dietlikon ZH","89,7 Prozent Nein zur Erhöhung der Mehrwertsteuer in Dietlikon. Da die Gemeinde auch das Frauenrentenalter 65 mit 60,4 abgelehnt hat, ist die AHV-Reform in Dietlikon damit gescheitert."
55,39.1,39.1,60.9,"Eglisau ZH","Eglisau (ZH)","Eglisau ZH","Eglisau hat die Erhöhung der Mehrwertsteuer mit 60,9 Prozent abgelehnt. Da die Gemeinde auch das Frauenrentenalter 65 mit 57 abgelehnt hat, ist die AHV-Reform in Eglisau damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Eglisau eine Rentenreform mit 50,9 Nein-Stimmen abgelehnt."
56,25.7,25.7,74.3,"Embrach ZH","Embrach (ZH)","Embrach ZH","In Embrach hat die Erhöhung der Mehrwertsteuer keine Mehrheit gefunden. Auf 74,3 Prozent der abgegebenen Stimmzettel stand ein Nein. Da die Gemeinde auch das Frauenrentenalter 65 mit 56,4 abgelehnt hat, ist die AHV-Reform in Embrach damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Embrach eine Rentenreform mit 54,5 Nein-Stimmen abgelehnt."
57,33.1,33.1,66.9,"Freienstein-Teufen ZH","Freienstein-Teufen (ZH)","Freienstein-Teufen ZH","66,9 Prozent der Stimmbürgerinnen und Stimmbürger von Freienstein-Teufen sagen Nein zur Erhöhung der Mehrwertsteuer. Da die Gemeinde auch das Frauenrentenalter 65 mit 57,3 abgelehnt hat, ist die AHV-Reform in Freienstein-Teufen damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Freienstein-Teufen eine Rentenreform mit 54,6 Nein-Stimmen abgelehnt."
58,80.8,80.8,19.2,"Glattfelden ZH","Glattfelden (ZH)","Glattfelden ZH","Die Gemeinde Glattfelden hat die Erhöhung der Mehrwertsteuer mit 80,8 Prozent angenommen. Weil die Gemeinde das Frauenrentenalter 65 aber mit 95,1 Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Glattfelden damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Glattfelden eine Rentenreform mit 58,4 Nein-Stimmen abgelehnt."
59,72.1,72.1,27.9,"Hochfelden ZH","Hochfelden (ZH)","Hochfelden ZH","Die Gemeinde Hochfelden hat die Erhöhung der Mehrwertsteuer mit 72,1 Prozent angenommen. Da die Gemeinde auch dem Frauenrentealter 65 mit 91,8 zugestimmt hat, ist die AHV-Reform in Hochfelden damit angenommen worden. Damit hat in Hochfelden im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 58,9 Prozent ein Nein in die Urne gelegt."
60,59.8,59.8,40.2,"Höri ZH","Höri (ZH)","Höri ZH","Die Gemeinde Höri hat die Erhöhung der Mehrwertsteuer mit 59,8 Prozent angenommen. Da die Gemeinde auch dem Frauenrentealter 65 mit 53,2 zugestimmt hat, ist die AHV-Reform in Höri damit angenommen worden. Damit hat in Höri im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 64 Prozent ein Nein in die Urne gelegt."
61,43.5,43.5,56.5,"Hüntwangen ZH","Hüntwangen (ZH)","Hüntwangen ZH","In Hüntwangen hat die Stimmbevölkerung die Erhöhung der Mehrwertsteuer mit 56,5 Prozent abgelehnt. Da die Gemeinde auch das Frauenrentenalter 65 mit 71,5 abgelehnt hat, ist die AHV-Reform in Hüntwangen damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Hüntwangen eine Rentenreform mit 54 Nein-Stimmen abgelehnt."
62,46.7,46.7,53.3,"Kloten ZH","Kloten (ZH)","Kloten ZH","In Kloten hat die Stimmbevölkerung die Erhöhung der Mehrwertsteuer mit 53,3 Prozent abgelehnt. Da die Gemeinde auch das Frauenrentenalter 65 mit 98,4 abgelehnt hat, ist die AHV-Reform in Kloten damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Kloten eine Rentenreform mit 55,9 Nein-Stimmen abgelehnt."
63,56.7,56.7,43.3,"Lufingen ZH","Lufingen (ZH)","Lufingen ZH","Die Gemeinde Lufingen hat die Erhöhung der Mehrwertsteuer mit 56,7 Prozent angenommen. Da die Gemeinde auch dem Frauenrentealter 65 mit 69 zugestimmt hat, ist die AHV-Reform in Lufingen damit angenommen worden. Damit hat in Lufingen im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 62,6 Prozent ein Nein in die Urne gelegt."
64,31.8,31.8,68.2,"Nürensdorf ZH","Nürensdorf (ZH)","Nürensdorf ZH","In Nürensdorf hat die Stimmbevölkerung die Erhöhung der Mehrwertsteuer mit 68,2 Prozent abgelehnt. Da die Gemeinde auch das Frauenrentenalter 65 mit 53,7 abgelehnt hat, ist die AHV-Reform in Nürensdorf damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Nürensdorf eine Rentenreform mit 59,8 Nein-Stimmen abgelehnt."
65,84.3,84.3,15.7,"Oberembrach ZH","Oberembrach (ZH)","Oberembrach ZH","84,3 Prozent in Oberembrach sagen Ja zur Erhöhung der Mehrwertsteuer . Weil die Gemeinde das Frauenrentenalter 65 aber mit 89 Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Oberembrach damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Oberembrach eine Rentenreform mit 64,7 Nein-Stimmen abgelehnt."
66,23.7,23.7,76.3,"Opfikon ZH","Opfikon (ZH)","Opfikon ZH","Keine Mehrheit für die Erhöhung der Mehrwertsteuer in Opfikon: Mit 76,3 Prozent hat die Gemeinde die Vorlage verworfen. Da die Gemeinde auch das Frauenrentenalter 65 mit 51 abgelehnt hat, ist die AHV-Reform in Opfikon damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Opfikon eine Rentenreform mit 57,3 Nein-Stimmen abgelehnt."
67,86.2,86.2,13.8,"Rafz ZH","Rafz (ZH)","Rafz ZH","86,2 Prozent der Stimmbürgerinnen und Stimmbürger von Rafz haben die Erhöhung der Mehrwertsteuer angenommen. Da die Gemeinde auch dem Frauenrentealter 65 mit 73 zugestimmt hat, ist die AHV-Reform in Rafz damit angenommen worden. Damit hat in Rafz im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 54,3 Prozent ein Nein in die Urne gelegt."
68,27.8,27.8,72.2,"Rorbas ZH","Rorbas (ZH)","Rorbas ZH","In Rorbas hat die Stimmbevölkerung die Erhöhung der Mehrwertsteuer mit 72,2 Prozent abgelehnt. Da die Gemeinde auch das Frauenrentenalter 65 mit 79,8 abgelehnt hat, ist die AHV-Reform in Rorbas damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Rorbas eine Rentenreform mit 54 Nein-Stimmen abgelehnt."
69,4.4,4.4,95.6,"Wallisellen ZH","Wallisellen (ZH)","Wallisellen ZH","In Wallisellen hat die Erhöhung der Mehrwertsteuer keine Mehrheit gefunden. Auf 95,6 Prozent der abgegebenen Stimmzettel stand ein Nein. Da die Gemeinde auch das Frauenrentenalter 65 mit 62,3 abgelehnt hat, ist die AHV-Reform in Wallisellen damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Wallisellen eine Rentenreform mit 53,3 Nein-Stimmen abgelehnt."
