"Kantons_Nr","Gemeinde_Nr","Ja_Stimmen_In_Prozent","Ja_Stimmen_Absolut","Nein_Stimmen_Absolut","Stimmbeteiligung_In_Prozent","Eingelegte_Stimmzettel","Anzahl_Stimmberechtigte","Gueltige_Stimmen","Gebiet_Ausgezaehlt","Kanton_Short","Gemeinde_d","Gemeinde_f","Gemeinde_i","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Kanton_d","Kanton_f","Kanton_i","Ja_Stimmen_In_Prozent_Kanton","Highest_Yes_Kant","Highest_No_Kant"
1,23,70.0382394841419,9341,3996,,,,13337,TRUE,"ZH","Berg am Irchel","Berg am Irchel","Berg am Irchel","Berg am Irchel ZH","Berg am Irchel (ZH)","Berg am Irchel ZH","Zürich","Zurich","Zurigo",71.7730537289754,FALSE,FALSE
1,24,40.7472067039106,4668,6788,,,,11456,TRUE,"ZH","Buch am Irchel","Buch am Irchel","Buch am Irchel","Buch am Irchel ZH","Buch am Irchel (ZH)","Buch am Irchel ZH","Zürich","Zurich","Zurigo",71.7730537289754,FALSE,FALSE
1,25,65.0277863538129,8425,4531,,,,12956,TRUE,"ZH","Dachsen","Dachsen","Dachsen","Dachsen ZH","Dachsen (ZH)","Dachsen ZH","Zürich","Zurich","Zurigo",71.7730537289754,FALSE,FALSE
1,26,21.133796698523,973,3631,,,,4604,TRUE,"ZH","Dorf","Dorf","Dorf","Dorf ZH","Dorf (ZH)","Dorf ZH","Zürich","Zurich","Zurigo",71.7730537289754,FALSE,FALSE
1,27,41.4274050891278,6089,8609,,,,14698,TRUE,"ZH","Feuerthalen","Feuerthalen","Feuerthalen","Feuerthalen ZH","Feuerthalen (ZH)","Feuerthalen ZH","Zürich","Zurich","Zurigo",71.7730537289754,FALSE,FALSE
1,28,56.1062897020667,6271,4906,,,,11177,TRUE,"ZH","Flaach","Flaach","Flaach","Flaach ZH","Flaach (ZH)","Flaach ZH","Zürich","Zurich","Zurigo",71.7730537289754,FALSE,FALSE
1,29,85.6112446828186,4629,778,,,,5407,TRUE,"ZH","Flurlingen","Flurlingen","Flurlingen","Flurlingen ZH","Flurlingen (ZH)","Flurlingen ZH","Zürich","Zurich","Zurigo",71.7730537289754,FALSE,FALSE
1,30,64.9044538627407,8729,4720,,,,13449,TRUE,"ZH","Andelfingen","Andelfingen","Andelfingen","Andelfingen ZH","Andelfingen (ZH)","Andelfingen ZH","Zürich","Zurich","Zurigo",71.7730537289754,FALSE,FALSE
1,31,72.1585966946941,9955,3841,,,,13796,TRUE,"ZH","Henggart","Henggart","Henggart","Henggart ZH","Henggart (ZH)","Henggart ZH","Zürich","Zurich","Zurigo",71.7730537289754,FALSE,FALSE
1,32,26.4927023440955,2995,8310,,,,11305,TRUE,"ZH","Humlikon","Humlikon","Humlikon","Humlikon ZH","Humlikon (ZH)","Humlikon ZH","Zürich","Zurich","Zurigo",71.7730537289754,FALSE,FALSE
1,33,63.8139995053178,2580,1463,,,,4043,TRUE,"ZH","Kleinandelfingen","Kleinandelfingen","Kleinandelfingen","Kleinandelfingen ZH","Kleinandelfingen (ZH)","Kleinandelfingen ZH","Zürich","Zurich","Zurigo",71.7730537289754,FALSE,FALSE
1,34,55.1914789820311,6788,5511,,,,12299,TRUE,"ZH","Laufen-Uhwiesen","Laufen-Uhwiesen","Laufen-Uhwiesen","Laufen-Uhwiesen ZH","Laufen-Uhwiesen (ZH)","Laufen-Uhwiesen ZH","Zürich","Zurich","Zurigo",71.7730537289754,FALSE,FALSE
1,35,29.9200947025747,1011,2368,,,,3379,TRUE,"ZH","Marthalen","Marthalen","Marthalen","Marthalen ZH","Marthalen (ZH)","Marthalen ZH","Zürich","Zurich","Zurigo",71.7730537289754,FALSE,FALSE
1,37,2.56910196123409,224,8495,,,,8719,TRUE,"ZH","Ossingen","Ossingen","Ossingen","Ossingen ZH","Ossingen (ZH)","Ossingen ZH","Zürich","Zurich","Zurigo",71.7730537289754,FALSE,FALSE
1,38,33.5832552327398,1075,2126,,,,3201,TRUE,"ZH","Rheinau","Rheinau","Rheinau","Rheinau ZH","Rheinau (ZH)","Rheinau ZH","Zürich","Zurich","Zurigo",71.7730537289754,FALSE,FALSE
1,39,55.6125941136208,4875,3891,,,,8766,TRUE,"ZH","Thalheim an der Thur","Thalheim an der Thur","Thalheim an der Thur","Thalheim an der Thur ZH","Thalheim an der Thur (ZH)","Thalheim an der Thur ZH","Zürich","Zurich","Zurigo",71.7730537289754,FALSE,FALSE
1,40,14.5206438068579,1660,9772,,,,11432,TRUE,"ZH","Trüllikon","Trüllikon","Trüllikon","Trüllikon ZH","Trüllikon (ZH)","Trüllikon ZH","Zürich","Zurich","Zurigo",71.7730537289754,FALSE,FALSE
1,41,85.6077795786062,2641,444,,,,3085,TRUE,"ZH","Truttikon","Truttikon","Truttikon","Truttikon ZH","Truttikon (ZH)","Truttikon ZH","Zürich","Zurich","Zurigo",71.7730537289754,FALSE,FALSE
1,43,20.7273802483737,701,2681,,,,3382,TRUE,"ZH","Volken","Volken","Volken","Volken ZH","Volken (ZH)","Volken ZH","Zürich","Zurich","Zurigo",71.7730537289754,FALSE,FALSE
1,51,33.2524098536237,4657,9348,,,,14005,TRUE,"ZH","Bachenbülach","Bachenbülach","Bachenbülach","Bachenbülach ZH","Bachenbülach (ZH)","Bachenbülach ZH","Zürich","Zurich","Zurigo",71.7730537289754,FALSE,FALSE
1,52,57.3420585896887,9376,6975,,,,16351,TRUE,"ZH","Bassersdorf","Bassersdorf","Bassersdorf","Bassersdorf ZH","Bassersdorf (ZH)","Bassersdorf ZH","Zürich","Zurich","Zurigo",71.7730537289754,FALSE,FALSE
1,53,13.0885650224215,934,6202,,,,7136,TRUE,"ZH","Bülach","Bülach","Bülach","Bülach ZH","Bülach (ZH)","Bülach ZH","Zürich","Zurich","Zurigo",71.7730537289754,FALSE,FALSE
1,54,35.3785765933271,3425,6256,,,,9681,TRUE,"ZH","Dietlikon","Dietlikon","Dietlikon","Dietlikon ZH","Dietlikon (ZH)","Dietlikon ZH","Zürich","Zurich","Zurigo",71.7730537289754,FALSE,FALSE
1,55,60.2231198307367,6262,4136,,,,10398,TRUE,"ZH","Eglisau","Eglisau","Eglisau","Eglisau ZH","Eglisau (ZH)","Eglisau ZH","Zürich","Zurich","Zurigo",71.7730537289754,FALSE,FALSE
1,56,83.2866660229796,8626,1731,,,,10357,TRUE,"ZH","Embrach","Embrach","Embrach","Embrach ZH","Embrach (ZH)","Embrach ZH","Zürich","Zurich","Zurigo",71.7730537289754,FALSE,FALSE
1,57,16.8812877263581,839,4131,,,,4970,TRUE,"ZH","Freienstein-Teufen","Freienstein-Teufen","Freienstein-Teufen","Freienstein-Teufen ZH","Freienstein-Teufen (ZH)","Freienstein-Teufen ZH","Zürich","Zurich","Zurigo",71.7730537289754,FALSE,FALSE
1,58,47.0322726246897,4168,4694,,,,8862,TRUE,"ZH","Glattfelden","Glattfelden","Glattfelden","Glattfelden ZH","Glattfelden (ZH)","Glattfelden ZH","Zürich","Zurich","Zurigo",71.7730537289754,FALSE,FALSE
1,59,12.2454142947502,968,6937,,,,7905,TRUE,"ZH","Hochfelden","Hochfelden","Hochfelden","Hochfelden ZH","Hochfelden (ZH)","Hochfelden ZH","Zürich","Zurich","Zurigo",71.7730537289754,FALSE,FALSE
1,60,27.9709635874019,2389,6152,,,,8541,TRUE,"ZH","Höri","Höri","Höri","Höri ZH","Höri (ZH)","Höri ZH","Zürich","Zurich","Zurigo",71.7730537289754,FALSE,FALSE
1,61,2.71838729383018,178,6370,,,,6548,TRUE,"ZH","Hüntwangen","Hüntwangen","Hüntwangen","Hüntwangen ZH","Hüntwangen (ZH)","Hüntwangen ZH","Zürich","Zurich","Zurigo",71.7730537289754,FALSE,FALSE
1,62,48.16767730029,1827,1966,,,,3793,TRUE,"ZH","Kloten","Kloten","Kloten","Kloten ZH","Kloten (ZH)","Kloten ZH","Zürich","Zurich","Zurigo",71.7730537289754,FALSE,FALSE
1,63,64.2170864710465,9892,5512,,,,15404,TRUE,"ZH","Lufingen","Lufingen","Lufingen","Lufingen ZH","Lufingen (ZH)","Lufingen ZH","Zürich","Zurich","Zurigo",71.7730537289754,FALSE,FALSE
1,64,31.1863913928468,2145,4733,,,,6878,TRUE,"ZH","Nürensdorf","Nürensdorf","Nürensdorf","Nürensdorf ZH","Nürensdorf (ZH)","Nürensdorf ZH","Zürich","Zurich","Zurigo",71.7730537289754,FALSE,FALSE
1,65,31.9052211048354,4632,9886,,,,14518,TRUE,"ZH","Oberembrach","Oberembrach","Oberembrach","Oberembrach ZH","Oberembrach (ZH)","Oberembrach ZH","Zürich","Zurich","Zurigo",71.7730537289754,FALSE,FALSE
1,66,2.1382862494147,137,6270,,,,6407,TRUE,"ZH","Opfikon","Opfikon","Opfikon","Opfikon ZH","Opfikon (ZH)","Opfikon ZH","Zürich","Zurich","Zurigo",71.7730537289754,FALSE,FALSE
1,67,97.1155124285524,7306,217,,,,7523,TRUE,"ZH","Rafz","Rafz","Rafz","Rafz ZH","Rafz (ZH)","Rafz ZH","Zürich","Zurich","Zurigo",71.7730537289754,FALSE,FALSE
1,68,97.7921627557508,8460,191,,,,8651,TRUE,"ZH","Rorbas","Rorbas","Rorbas","Rorbas ZH","Rorbas (ZH)","Rorbas ZH","Zürich","Zurich","Zurigo",71.7730537289754,FALSE,FALSE
1,69,58.8242636045931,9426,6598,,,,16024,TRUE,"ZH","Wallisellen","Wallisellen","Wallisellen","Wallisellen ZH","Wallisellen (ZH)","Wallisellen ZH","Zürich","Zurich","Zurigo",71.7730537289754,FALSE,FALSE
1,70,42.4663350721825,7001,9485,,,,16486,TRUE,"ZH","Wasterkingen","Wasterkingen","Wasterkingen","Wasterkingen ZH","Wasterkingen (ZH)","Wasterkingen ZH","Zürich","Zurich","Zurigo",71.7730537289754,FALSE,FALSE
1,71,79.4665131452696,4141,1070,,,,5211,TRUE,"ZH","Wil ZH","Wil (ZH)","Wil ZH","Wil ZH","Wil (ZH)","Wil ZH ZH","Zürich","Zurich","Zurigo",71.7730537289754,FALSE,FALSE
1,72,11.8170266836086,279,2082,,,,2361,TRUE,"ZH","Winkel","Winkel","Winkel","Winkel ZH","Winkel (ZH)","Winkel ZH","Zürich","Zurich","Zurigo",71.7730537289754,FALSE,FALSE
1,81,37.272912839355,5478,9219,,,,14697,TRUE,"ZH","Bachs","Bachs","Bachs","Bachs ZH","Bachs (ZH)","Bachs ZH","Zürich","Zurich","Zurigo",71.7730537289754,FALSE,FALSE
1,82,96.6389194283022,6153,214,,,,6367,TRUE,"ZH","Boppelsen","Boppelsen","Boppelsen","Boppelsen ZH","Boppelsen (ZH)","Boppelsen ZH","Zürich","Zurich","Zurigo",71.7730537289754,FALSE,FALSE
1,83,27.9349012602957,2815,7262,,,,10077,TRUE,"ZH","Buchs ZH","Buchs (ZH)","Buchs ZH","Buchs ZH","Buchs (ZH)","Buchs ZH","Zürich","Zurich","Zurigo",71.7730537289754,FALSE,FALSE
1,84,64.4207723035952,7257,4008,,,,11265,TRUE,"ZH","Dällikon","Dällikon","Dällikon","Dällikon ZH","Dällikon (ZH)","Dällikon ZH","Zürich","Zurich","Zurigo",71.7730537289754,FALSE,FALSE
1,85,32.6559020044543,1173,2419,,,,3592,TRUE,"ZH","Dänikon","Dänikon","Dänikon","Dänikon ZH","Dänikon (ZH)","Dänikon ZH","Zürich","Zurich","Zurigo",71.7730537289754,FALSE,FALSE
1,86,21.7840523700607,2762,9917,,,,12679,TRUE,"ZH","Dielsdorf","Dielsdorf","Dielsdorf","Dielsdorf ZH","Dielsdorf (ZH)","Dielsdorf ZH","Zürich","Zurich","Zurigo",71.7730537289754,FALSE,FALSE
1,87,80.4302103250478,8413,2047,,,,10460,TRUE,"ZH","Hüttikon","Hüttikon","Hüttikon","Hüttikon ZH","Hüttikon (ZH)","Hüttikon ZH","Zürich","Zurich","Zurigo",71.7730537289754,FALSE,FALSE
1,88,76.4060356652949,8912,2752,,,,11664,TRUE,"ZH","Neerach","Neerach","Neerach","Neerach ZH","Neerach (ZH)","Neerach ZH","Zürich","Zurich","Zurigo",71.7730537289754,FALSE,FALSE
1,89,87.0944353815479,9610,1424,,,,11034,TRUE,"ZH","Niederglatt","Niederglatt","Niederglatt","Niederglatt ZH","Niederglatt (ZH)","Niederglatt ZH","Zürich","Zurich","Zurigo",71.7730537289754,FALSE,FALSE
1,90,41.358024691358,2613,3705,,,,6318,TRUE,"ZH","Niederhasli","Niederhasli","Niederhasli","Niederhasli ZH","Niederhasli (ZH)","Niederhasli ZH","Zürich","Zurich","Zurigo",71.7730537289754,FALSE,FALSE
1,91,28.3957365400383,3117,7860,,,,10977,TRUE,"ZH","Niederweningen","Niederweningen","Niederweningen","Niederweningen ZH","Niederweningen (ZH)","Niederweningen ZH","Zürich","Zurich","Zurigo",71.7730537289754,FALSE,FALSE
1,92,80.1063122923588,6028,1497,,,,7525,TRUE,"ZH","Oberglatt","Oberglatt","Oberglatt","Oberglatt ZH","Oberglatt (ZH)","Oberglatt ZH","Zürich","Zurich","Zurigo",71.7730537289754,FALSE,FALSE
1,93,97.9282278949316,5294,112,,,,5406,TRUE,"ZH","Oberweningen","Oberweningen","Oberweningen","Oberweningen ZH","Oberweningen (ZH)","Oberweningen ZH","Zürich","Zurich","Zurigo",71.7730537289754,FALSE,FALSE
1,94,16.6044987001243,1469,7378,,,,8847,TRUE,"ZH","Otelfingen","Otelfingen","Otelfingen","Otelfingen ZH","Otelfingen (ZH)","Otelfingen ZH","Zürich","Zurich","Zurigo",71.7730537289754,FALSE,FALSE
1,95,69.2049469964664,7834,3486,,,,11320,TRUE,"ZH","Regensberg","Regensberg","Regensberg","Regensberg ZH","Regensberg (ZH)","Regensberg ZH","Zürich","Zurich","Zurigo",71.7730537289754,FALSE,FALSE
1,96,58.172099676278,7727,5556,,,,13283,TRUE,"ZH","Regensdorf","Regensdorf","Regensdorf","Regensdorf ZH","Regensdorf (ZH)","Regensdorf ZH","Zürich","Zurich","Zurigo",71.7730537289754,FALSE,FALSE
1,97,18.6631091138885,1329,5792,,,,7121,TRUE,"ZH","Rümlang","Rümlang","Rümlang","Rümlang ZH","Rümlang (ZH)","Rümlang ZH","Zürich","Zurich","Zurigo",71.7730537289754,FALSE,FALSE
1,98,42.8561718325177,6305,8407,,,,14712,TRUE,"ZH","Schleinikon","Schleinikon","Schleinikon","Schleinikon ZH","Schleinikon (ZH)","Schleinikon ZH","Zürich","Zurich","Zurigo",71.7730537289754,FALSE,FALSE
1,99,56.0378303895779,8947,7019,,,,15966,TRUE,"ZH","Schöfflisdorf","Schöfflisdorf","Schöfflisdorf","Schöfflisdorf ZH","Schöfflisdorf (ZH)","Schöfflisdorf ZH","Zürich","Zurich","Zurigo",71.7730537289754,FALSE,FALSE
1,100,75.2418645558487,1711,563,,,,2274,TRUE,"ZH","Stadel","Stadel","Stadel","Stadel ZH","Stadel (ZH)","Stadel ZH","Zürich","Zurich","Zurigo",71.7730537289754,FALSE,FALSE
1,101,54.345889539323,8541,7175,,,,15716,TRUE,"ZH","Steinmaur","Steinmaur","Steinmaur","Steinmaur ZH","Steinmaur (ZH)","Steinmaur ZH","Zürich","Zurich","Zurigo",71.7730537289754,FALSE,FALSE
1,102,48.1880444178469,7247,7792,,,,15039,TRUE,"ZH","Weiach","Weiach","Weiach","Weiach ZH","Weiach (ZH)","Weiach ZH","Zürich","Zurich","Zurigo",71.7730537289754,FALSE,FALSE
1,111,16.754478398314,318,1580,,,,1898,TRUE,"ZH","Bäretswil","Bäretswil","Bäretswil","Bäretswil ZH","Bäretswil (ZH)","Bäretswil ZH","Zürich","Zurich","Zurigo",71.7730537289754,FALSE,FALSE
1,112,65.1630434782609,3597,1923,,,,5520,TRUE,"ZH","Bubikon","Bubikon","Bubikon","Bubikon ZH","Bubikon (ZH)","Bubikon ZH","Zürich","Zurich","Zurigo",71.7730537289754,FALSE,FALSE
1,113,51.782346284421,5491,5113,,,,10604,TRUE,"ZH","Dürnten","Dürnten","Dürnten","Dürnten ZH","Dürnten (ZH)","Dürnten ZH","Zürich","Zurich","Zurigo",71.7730537289754,FALSE,FALSE
1,114,72.7619893428064,8193,3067,,,,11260,TRUE,"ZH","Fischenthal","Fischenthal","Fischenthal","Fischenthal ZH","Fischenthal (ZH)","Fischenthal ZH","Zürich","Zurich","Zurigo",71.7730537289754,FALSE,FALSE
1,115,55.6813261582235,9002,7165,,,,16167,TRUE,"ZH","Gossau ZH","Gossau (ZH)","Gossau ZH","Gossau ZH","Gossau (ZH)","Gossau ZH","Zürich","Zurich","Zurigo",71.7730537289754,FALSE,FALSE
1,116,86.7062056994069,5994,919,,,,6913,TRUE,"ZH","Grüningen","Grüningen","Grüningen","Grüningen ZH","Grüningen (ZH)","Grüningen ZH","Zürich","Zurich","Zurigo",71.7730537289754,FALSE,FALSE
1,117,8.48360655737705,621,6699,,,,7320,TRUE,"ZH","Hinwil","Hinwil","Hinwil","Hinwil ZH","Hinwil (ZH)","Hinwil ZH","Zürich","Zurich","Zurigo",71.7730537289754,FALSE,FALSE
1,118,57.9829117105043,6922,5016,,,,11938,TRUE,"ZH","Rüti ZH","Rüti (ZH)","Rüti ZH","Rüti ZH","Rüti (ZH)","Rüti ZH","Zürich","Zurich","Zurigo",71.7730537289754,FALSE,FALSE
1,119,9.48296402192042,796,7598,,,,8394,TRUE,"ZH","Seegräben","Seegräben","Seegräben","Seegräben ZH","Seegräben (ZH)","Seegräben ZH","Zürich","Zurich","Zurigo",71.7730537289754,FALSE,FALSE
1,120,74.2079761461051,9955,3460,,,,13415,TRUE,"ZH","Wald ZH","Wald (ZH)","Wald ZH","Wald ZH","Wald (ZH)","Wald ZH","Zürich","Zurich","Zurigo",71.7730537289754,FALSE,FALSE
1,121,38.2967032967033,2788,4492,,,,7280,TRUE,"ZH","Wetzikon ZH","Wetzikon (ZH)","Wetzikon ZH","Wetzikon ZH","Wetzikon (ZH)","Wetzikon ZH","Zürich","Zurich","Zurigo",71.7730537289754,FALSE,FALSE
1,131,61.2676056338028,3915,2475,,,,6390,TRUE,"ZH","Adliswil","Adliswil","Adliswil","Adliswil ZH","Adliswil (ZH)","Adliswil ZH","Zürich","Zurich","Zurigo",71.7730537289754,FALSE,FALSE
1,135,37.4368519010901,4224,7059,,,,11283,TRUE,"ZH","Kilchberg ZH","Kilchberg (ZH)","Kilchberg ZH","Kilchberg ZH","Kilchberg (ZH)","Kilchberg ZH","Zürich","Zurich","Zurigo",71.7730537289754,FALSE,FALSE
1,136,84.5680628272251,6461,1179,,,,7640,TRUE,"ZH","Langnau am Albis","Langnau am Albis","Langnau am Albis","Langnau am Albis ZH","Langnau am Albis (ZH)","Langnau am Albis ZH","Zürich","Zurich","Zurigo",71.7730537289754,FALSE,FALSE
1,137,55.1076720052786,9187,7484,,,,16671,TRUE,"ZH","Oberrieden","Oberrieden","Oberrieden","Oberrieden ZH","Oberrieden (ZH)","Oberrieden ZH","Zürich","Zurich","Zurigo",71.7730537289754,FALSE,FALSE
1,138,43.2077182077182,6673,8771,,,,15444,TRUE,"ZH","Richterswil","Richterswil","Richterswil","Richterswil ZH","Richterswil (ZH)","Richterswil ZH","Zürich","Zurich","Zurigo",71.7730537289754,FALSE,FALSE
1,139,38.3738814317673,5489,8815,,,,14304,TRUE,"ZH","Rüschlikon","Rüschlikon","Rüschlikon","Rüschlikon ZH","Rüschlikon (ZH)","Rüschlikon ZH","Zürich","Zurich","Zurigo",71.7730537289754,FALSE,FALSE
1,141,47.8066419259682,5024,5485,,,,10509,TRUE,"ZH","Thalwil","Thalwil","Thalwil","Thalwil ZH","Thalwil (ZH)","Thalwil ZH","Zürich","Zurich","Zurigo",71.7730537289754,FALSE,FALSE
1,151,58.3324648254299,5597,3998,,,,9595,TRUE,"ZH","Erlenbach ZH","Erlenbach (ZH)","Erlenbach ZH","Erlenbach ZH","Erlenbach (ZH)","Erlenbach ZH","Zürich","Zurich","Zurigo",71.7730537289754,FALSE,FALSE
1,152,82.6576576576577,2202,462,,,,2664,TRUE,"ZH","Herrliberg","Herrliberg","Herrliberg","Herrliberg ZH","Herrliberg (ZH)","Herrliberg ZH","Zürich","Zurich","Zurigo",71.7730537289754,FALSE,FALSE
1,153,12.5293951650832,1332,9299,,,,10631,TRUE,"ZH","Hombrechtikon","Hombrechtikon","Hombrechtikon","Hombrechtikon ZH","Hombrechtikon (ZH)","Hombrechtikon ZH","Zürich","Zurich","Zurigo",71.7730537289754,FALSE,FALSE
1,154,20.2496787222324,1103,4344,,,,5447,TRUE,"ZH","Küsnacht ZH","Küsnacht (ZH)","Küsnacht ZH","Küsnacht ZH","Küsnacht (ZH)","Küsnacht ZH","Zürich","Zurich","Zurigo",71.7730537289754,FALSE,FALSE
1,155,83.6153846153846,8696,1704,,,,10400,TRUE,"ZH","Männedorf","Männedorf","Männedorf","Männedorf ZH","Männedorf (ZH)","Männedorf ZH","Zürich","Zurich","Zurigo",71.7730537289754,FALSE,FALSE
1,156,46.1991750147319,784,913,,,,1697,TRUE,"ZH","Meilen","Meilen","Meilen","Meilen ZH","Meilen (ZH)","Meilen ZH","Zürich","Zurich","Zurigo",71.7730537289754,FALSE,FALSE
1,157,54.4621321755909,2258,1888,,,,4146,TRUE,"ZH","Oetwil am See","Oetwil am See","Oetwil am See","Oetwil am See ZH","Oetwil am See (ZH)","Oetwil am See ZH","Zürich","Zurich","Zurigo",71.7730537289754,FALSE,FALSE
1,158,33.1462107680531,2598,5240,,,,7838,TRUE,"ZH","Stäfa","Stäfa","Stäfa","Stäfa ZH","Stäfa (ZH)","Stäfa ZH","Zürich","Zurich","Zurigo",71.7730537289754,FALSE,FALSE
1,159,25.4612546125461,2829,8282,,,,11111,TRUE,"ZH","Uetikon am See","Uetikon am See","Uetikon am See","Uetikon am See ZH","Uetikon am See (ZH)","Uetikon am See ZH","Zürich","Zurich","Zurigo",71.7730537289754,FALSE,FALSE
1,160,58.3986254295533,8497,6053,,,,14550,TRUE,"ZH","Zumikon","Zumikon","Zumikon","Zumikon ZH","Zumikon (ZH)","Zumikon ZH","Zürich","Zurich","Zurigo",71.7730537289754,FALSE,FALSE
1,161,65.3019255935689,3493,1856,,,,5349,TRUE,"ZH","Zollikon","Zollikon","Zollikon","Zollikon ZH","Zollikon (ZH)","Zollikon ZH","Zürich","Zurich","Zurigo",71.7730537289754,FALSE,FALSE
1,172,54.2246465546031,9742,8224,,,,17966,TRUE,"ZH","Fehraltorf","Fehraltorf","Fehraltorf","Fehraltorf ZH","Fehraltorf (ZH)","Fehraltorf ZH","Zürich","Zurich","Zurigo",71.7730537289754,FALSE,FALSE
1,173,49.4878083970567,3430,3501,,,,6931,TRUE,"ZH","Hittnau","Hittnau","Hittnau","Hittnau ZH","Hittnau (ZH)","Hittnau ZH","Zürich","Zurich","Zurigo",71.7730537289754,FALSE,FALSE
1,176,28.9850833577069,3964,9712,,,,13676,TRUE,"ZH","Lindau","Lindau","Lindau","Lindau ZH","Lindau (ZH)","Lindau ZH","Zürich","Zurich","Zurigo",71.7730537289754,FALSE,FALSE
